df_hash,22ZHK4.VLRYU9
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.RVYZ
person_label,V56
date_time_start,2025-10-31_14-49-46.217000_+03
date_time_start_unix,1761907786.217
date_time_end,2025-10-31_14-58-01.513000_+03
length_difference_noticed,no

time,quality
20.020,56
20.943,57
21.799,53
22.993,65
23.903,61
24.797,63
25.967,66
26.845,47
27.772,34
28.943,40
29.975,42
30.745,31
32.061,56
32.843,51
33.719,37
34.989,38
35.815,36
36.789,44
38.349,41
38.789,48
39.715,39
40.885,40
41.957,42
42.663,27
43.859,27
44.882,42
45.662,43
46.927,59
47.757,42
48.786,49
49.807,51
51.028,44
51.804,58
52.780,62
53.707,59
54.584,70
55.851,59
56.729,35
57.560,41
58.776,50
59.800,37
60.531,56
62.091,66
62.634,63
63.554,60
64.729,70
65.602,66
66.576,73
67.944,63
68.575,58
69.525,58
70.720,59
71.549,55
72.524,67
73.794,69
74.530,64
75.741,66
76.619,64
77.886,54
78.666,69
79.592,70
80.521,71
81.396,85
82.712,83
83.493,86
84.471,83
85.589,59
86.561,47
87.442,55
88.803,58
89.537,55
90.503,65
91.874,76
92.557,83
93.343,81
94.654,76
95.389,75
96.318,81
97.487,81
98.363,78
99.504,77
100.601,73
101.533,71
102.261,73
103.528,72
104.358,69
105.235,68
106.453,65
107.332,65
108.209,65
109.522,66
110.305,69
111.190,80
112.742,76
113.279,69
114.157,73
115.570,75
116.255,72
117.176,72
118.435,66
119.227,62
120.155,65
121.423,65
122.203,68
123.129,74
124.299,78
125.174,77
126.113,77
127.270,75
128.291,61
129.076,65
130.244,80
131.170,68
132.048,50
133.218,65
134.291,72
135.117,72
136.267,73
137.118,60
137.995,52
139.214,53
140.092,44
141.018,44
142.188,49
143.159,49
143.993,48
145.162,51
146.039,67
146.966,72
148.136,85
149.170,81
149.941,77
151.109,67
152.035,67
153.209,74
154.085,74
155.164,78
155.886,81
157.106,83
157.983,80
158.863,44
160.081,26
160.957,0
161.837,0
163.295,0
164.083,0
164.808,0
166.027,38
166.906,50
168.128,44
169.046,56
170.035,47
170.804,43
171.975,25
172.904,37
173.925,39
174.948,37
175.936,42
176.825,68
177.970,64
178.848,69
179.725,68
180.944,70
181.877,61
182.699,49
183.963,47
184.889,37
185.722,22
186.938,22
188.061,46
188.695,47
189.865,50
191.035,54
191.669,73
192.888,69
193.767,70
194.943,68
195.813,41
196.739,29
197.906,28
198.835,27
199.713,21
200.594,21
201.810,8
202.732,38
203.805,34
204.832,28
205.953,33
206.635,47
207.757,34
208.635,29
209.609,42
210.749,53
211.660,61
212.534,46
213.731,31
214.630,46
215.753,58
216.737,60
217.802,62
218.581,67
219.773,73
220.674,67
221.504,62
222.872,50
223.552,41
224.724,42
225.794,36
226.527,35
227.451,42
228.623,73
229.596,85
230.672,68
231.836,39
232.620,46
233.594,65
234.716,63
235.604,67
236.520,77
237.592,82
238.469,44
239.393,29
240.616,26
241.444,21
242.415,6
243.539,16
244.560,20
245.437,0
246.560,20
247.436,21
248.317,37
249.487,37
250.413,26
251.388,0
252.653,16
253.485,17
254.265,31
255.439,31
256.412,24
257.330,21
258.457,32
259.383,24
260.212,19
261.430,20
262.357,22
263.280,32
264.453,24
265.282,21
266.208,40
267.378,46
268.448,45
269.185,0
270.354,36
271.278,34
272.187,43
273.371,38
274.204,41
275.370,36
276.300,34
277.226,0
278.246,0
279.417,0
280.391,28
281.078,27
282.298,20
283.219,0
284.051,28
285.269,27
286.147,18
287.121,24
288.249,28
289.215,31
289.999,35
291.219,28
292.095,28
293.021,0
294.192,0
295.070,0
295.997,22
297.167,24
298.046,28
299.215,0
300.139,34
301.065,47
301.944,51
303.119,49
304.039,5
304.921,10
306.089,12
307.014,0
307.889,34
309.060,0
309.986,0
311.057,36
312.085,37
313.006,24
313.837,0
315.348,25
315.933,33
316.810,33
318.030,25
319.102,25
319.898,2
321.003,0
321.881,39
322.759,49
324.269,44
324.855,43
326.073,40
327.047,44
327.877,32
328.757,0
329.926,0
331.198,6
331.923,0
332.898,6
333.825,0
334.703,0
335.874,0
336.801,0
337.678,0
338.938,33
339.821,0
340.660,0
341.868,0
342.889,0
343.624,27
344.864,40
345.767,26
346.599,0
347.816,54
348.693,11
349.643,3
350.789,39
351.668,0
352.547,0
353.776,45
354.689,35
355.662,25
356.932,38
357.914,31
358.541,29
359.757,40
360.638,50
361.515,46
362.733,41
363.611,29
364.489,0
366.114,6
366.585,0
367.464,0
368.633,25
369.706,34
370.485,39
371.606,31
372.532,31
373.413,30
374.630,39
375.506,39
376.453,21
377.602,0
378.574,0
379.357,1
380.576,10
381.455,17
382.384,7
383.595,31
384.723,29
385.354,24
386.524,30
387.742,24
388.331,21
389.504,34
390.437,41
391.301,41
392.476,35
393.638,29
394.275,26
395.588,35
396.371,27
397.395,38
398.471,0
399.391,0
400.271,0
401.441,0
402.364,0
403.245,0
404.460,0
405.341,26
406.362,26
407.434,30
408.332,36
409.193,48
410.460,44
411.289,29
412.265,31
413.385,6
414.262,8
415.141,7
416.360,11
417.241,0
418.259,0
419.368,0
420.210,15
421.136,10
422.329,0
423.184,21
424.158,28
425.325,19
426.231,0
427.172,0
428.257,0
429.278,0
430.058,0
431.273,48
432.155,47
433.033,37
434.296,37
