df_hash,22ZHK4.VLRYU9
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.RVYZ
person_label,V56
date_time_start,2025-10-31_14-49-46.217000_+03
date_time_start_unix,1761907786.217
date_time_end,2025-10-31_14-58-01.513000_+03
length_difference_noticed,no

time,spo2
86.467,92
86.610,91
87.389,91
89.592,91
90.363,91
91.143,91
97.627,91
99.284,91
101.481,91
103.087,91
106.792,91
111.374,91
112.057,91
118.345,91
119.858,91
125.857,91
126.688,91
127.511,91
129.169,92
131.265,92
131.947,92
133.461,92
139.309,92
141.697,92
145.451,92
146.133,92
148.380,93
149.110,93
150.134,93
150.724,93
153.641,93
154.473,93
165.201,93
180.701,93
183.772,93
187.571,93
188.411,93
200.249,93
207.027,93
208.924,92
210.386,92
217.650,92
225.304,91
226.285,91
227.096,91
227.936,91
228.743,91
233.105,91
254.213,91
287.269,90
334.145,90
334.845,90
