df_hash,22ZHK4.VLRYU9
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.RVYZ
person_label,V56
date_time_start,2025-10-31_14-49-46.217000_+03
date_time_start_unix,1761907786.217
date_time_end,2025-10-31_14-58-01.513000_+03
length_difference_noticed,no

time,rr_int
10.364,4160
11.193,1190
11.488,915
11.534,270
11.632,15
11.636,40
11.680,10
11.684,10
11.687,75
11.876,215
12.755,850
12.908,10
13.438,10
13.484,625
13.488,10
13.491,10
13.587,10
13.728,95
13.731,20
13.757,15
14.023,195
14.026,15
14.118,15
15.093,355
15.096,1025
15.434,10
15.775,225
15.778,460
16.751,10
17.579,910
18.411,880
19.228,805
19.240,785
19.403,10
19.432,150
19.968,90
19.971,485
20.652,10
20.702,745
20.948,10
21.479,245
22.308,555
22.311,895
22.406,10
22.409,10
22.454,10
22.457,15
22.503,15
22.507,20
22.510,20
22.701,15
23.139,25
23.283,735
23.432,10
24.112,265
24.160,595
25.227,10
25.230,1060
25.526,10
25.818,335
25.821,295
26.501,10
27.329,755
27.357,775
28.158,10
28.163,775
28.304,10
28.308,185
28.353,10
28.356,10
28.404,15
28.408,10
28.460,15
28.987,70
28.996,570
29.828,10
29.914,895
29.985,10
30.254,290
30.258,10
30.693,485
31.672,10
31.765,905
31.769,185
31.818,20
31.827,20
31.834,20
31.912,15
32.363,10
32.399,455
32.403,10
32.450,10
33.033,60
33.862,695
33.866,830
34.154,10
34.837,290
34.840,590
34.885,10
35.665,10
35.669,815
35.672,15
37.225,10
37.372,1600
37.615,120
37.619,295
37.908,10
38.396,20
39.566,670
40.011,1300
40.544,355
40.641,525
40.735,10
40.739,175
41.370,15
41.515,655
41.521,155
42.101,30
42.106,585
42.346,10
42.929,195
42.934,560
43.099,10
43.615,170
43.761,575
44.295,10
44.343,650
44.346,10
45.123,15
45.126,805
45.270,10
45.415,215
45.464,15
45.513,15
45.565,15
45.578,135
45.581,15
45.987,20
46.000,380
46.829,10
46.934,910
47.073,145
47.079,15
47.084,10
47.122,10
47.127,15
47.132,10
47.137,10
47.687,10
48.487,590
48.490,785
48.633,10
48.637,115
48.702,25
48.707,15
48.719,20
48.731,20
48.736,15
48.744,15
48.753,10
48.793,10
48.800,15
48.880,15
48.883,20
49.169,20
49.172,360
49.315,10
49.319,180
49.414,10
49.462,70
49.465,10
49.852,10
50.680,470
50.684,810
51.562,10
51.655,840
52.387,10
52.391,845
52.436,10
53.215,10
53.219,825
53.362,10
53.365,120
53.410,20
53.414,15
53.418,15
53.608,15
54.190,20
54.197,805
54.341,10
54.354,10
54.727,40
54.730,460
54.735,10
55.412,10
55.560,700
55.702,160
55.712,15
55.750,20
55.754,35
56.140,50
56.145,390
56.969,10
56.972,835
57.213,10
57.798,215
57.801,595
58.627,10
58.631,865
59.455,10
59.459,800
59.602,10
59.605,170
59.650,15
59.654,15
59.657,10
59.805,10
59.897,10
59.900,15
60.138,30
60.142,495
60.435,10
60.577,260
60.967,55
60.970,405
61.698,15
62.527,785
62.530,850
62.673,10
63.355,10
63.404,740
64.184,10
64.187,850
64.868,10
65.744,750
65.750,785
65.796,10
65.845,15
65.988,170
65.991,65
66.674,15
66.719,720
66.722,10
66.877,10
66.963,50
66.967,20
66.995,160
67.012,10
67.015,10
67.019,15
67.022,10
67.255,235
67.259,15
67.308,10
67.312,10
67.317,10
67.404,30
67.553,155
67.700,50
68.913,655
68.920,740
69.742,10
69.745,795
70.429,10
70.573,700
70.866,10
71.156,245
71.159,510
71.984,10
71.996,800
72.379,10
72.813,10
73.642,850
73.646,870
74.471,10
74.617,775
74.620,160
74.667,15
74.672,10
74.675,10
74.808,15
74.812,10
74.815,10
74.822,10
74.825,10
75.153,15
75.906,435
76.713,715
77.396,765
77.399,770
78.273,10
78.276,820
79.053,15
79.056,790
79.833,10
79.882,735
80.662,155
80.665,615
81.295,10
81.299,770
82.125,10
82.953,800
82.958,820
83.099,15
83.636,210
84.367,525
84.370,680
84.464,10
84.527,15
84.534,110
84.631,15
84.660,95
84.664,15
84.667,10
84.670,15
84.935,20
85.734,320
86.463,770
86.566,770
87.340,10
87.344,780
87.975,10
87.980,700
87.983,15
88.120,15
88.124,125
88.225,15
88.267,20
88.271,15
88.274,15
88.279,20
88.318,20
88.808,35
89.546,470
89.583,755
90.314,10
90.319,760
91.045,10
91.049,785
91.879,10
92.565,765
92.724,735
93.288,150
93.292,550
93.532,10
93.922,215
93.925,500
94.661,10
95.484,725
95.630,735
96.165,180
96.179,555
96.460,10
96.465,155
96.869,25
97.578,515
97.584,725
97.776,15
97.822,10
97.827,230
98.407,10
98.410,545
99.236,10
99.239,785
99.528,10
99.531,340
99.577,15
99.582,10
99.628,10
99.673,10
99.918,15
99.921,15
99.925,290
100.611,10
101.411,710
101.478,760
101.576,10
102.162,265
102.209,500
103.038,10
103.042,790
103.136,10
103.672,220
103.964,590
104.501,250
104.550,575
104.746,10
104.793,230
104.797,10
105.088,20
105.091,10
105.528,410
105.915,255
106.061,470
106.743,145
106.747,615
106.889,10
107.428,205
107.575,555
108.254,10
109.083,790
109.814,820
110.644,770
111.326,735
111.337,710
112.008,10
112.012,725
112.842,10
113.129,775
113.591,340
113.912,435
114.397,10
114.401,780
114.543,10
114.549,125
114.592,15
114.598,20
