df_hash,22ZHK4.VLRYU9
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.RVYZ
person_label,V56
date_time_start,2025-10-31_14-49-46.217000_+03
date_time_start_unix,1761907786.217
date_time_end,2025-10-31_14-58-01.513000_+03
length_difference_noticed,no

time,temperature
5.442,32.438
6.416,32.469
7.439,32.469
8.415,32.469
9.438,32.500
10.413,32.531
11.437,32.531
12.412,32.531
13.435,32.562
14.485,32.625
15.437,32.656
16.460,32.656
17.435,32.719
18.408,32.750
19.436,32.781
20.407,32.781
21.431,32.812
22.412,32.812
23.429,32.844
24.405,32.875
25.428,32.906
26.403,32.938
27.427,32.938
28.452,32.969
29.552,32.969
30.401,33.000
31.425,33.000
32.499,33.094
33.424,33.062
34.398,33.062
35.423,33.031
36.689,33.062
37.421,33.094
38.399,33.094
39.420,33.125
40.540,33.125
41.418,33.125
42.442,33.125
43.437,33.125
44.440,33.156
45.516,33.156
46.440,33.188
47.444,33.250
48.438,33.281
49.417,33.312
50.440,33.438
51.558,33.438
52.439,33.500
53.523,33.500
54.435,33.500
55.409,33.562
56.450,33.531
57.408,33.500
58.432,33.500
59.407,33.531
60.430,33.469
61.435,33.500
62.430,33.469
63.409,33.531
64.625,33.594
65.403,33.562
66.476,33.625
67.548,33.594
68.426,33.625
69.401,33.625
70.424,33.594
71.400,33.625
72.439,33.688
73.398,33.688
74.422,33.688
75.446,33.719
76.420,33.688
77.544,33.750
78.419,33.781
79.447,33.750
80.418,33.750
81.591,33.781
82.452,33.750
83.434,33.750
84.513,33.750
85.440,33.750
86.415,33.812
87.471,33.812
88.413,33.812
89.437,33.844
90.517,33.906
91.435,33.906
92.411,33.906
93.438,33.938
94.507,33.969
95.433,34.000
96.606,33.969
97.432,34.031
98.478,34.000
99.508,34.031
100.454,34.031
101.538,34.031
102.407,34.062
103.428,34.062
104.404,34.031
105.524,34.000
106.402,34.031
107.426,34.031
108.401,34.031
109.531,34.062
110.400,34.031
111.472,34.031
112.755,34.031
113.426,34.031
114.448,34.062
115.576,34.094
116.396,34.125
117.419,34.125
118.548,34.125
119.519,34.156
120.394,34.188
121.515,34.188
122.441,34.188
123.562,34.219
124.540,34.219
125.415,34.219
126.633,34.219
127.414,34.250
128.437,34.250
129.412,34.188
130.533,34.188
131.411,34.188
132.386,34.219
133.423,34.219
134.462,34.219
135.412,34.250
136.387,34.250
137.407,34.250
138.479,34.250
139.406,34.281
140.421,34.250
141.405,34.250
142.429,34.250
143.404,34.281
144.437,34.312
145.522,34.312
146.426,34.281
147.403,34.312
148.770,34.375
149.400,34.406
150.424,34.438
151.402,34.406
152.471,34.375
153.398,34.406
154.421,34.375
155.396,34.406
156.444,34.406
157.444,34.438
158.462,34.375
159.394,34.375
160.417,34.438
161.431,34.438
162.416,34.469
163.440,34.500
164.415,34.469
165.439,34.469
166.486,34.438
167.391,34.469
168.461,34.438
169.389,34.469
170.411,34.438
171.435,34.406
172.410,34.438
173.385,34.438
174.432,34.438
175.384,34.438
176.407,34.469
177.629,34.469
178.406,34.469
179.407,34.438
180.405,34.438
181.380,34.500
182.413,34.500
183.382,34.500
184.600,34.469
185.378,34.500
186.401,34.500
187.425,34.469
188.497,34.438
189.424,34.469
190.399,34.469
191.422,34.469
192.397,34.469
193.421,34.531
194.396,34.531
195.420,34.562
196.399,34.562
197.441,34.594
198.394,34.625
199.417,34.625
200.393,34.656
201.423,34.656
202.586,34.656
203.415,34.656
204.391,34.656
205.511,34.719
206.438,34.719
207.453,34.688
208.388,34.688
209.509,34.688
210.442,34.688
211.411,34.688
212.385,34.688
213.408,34.688
214.391,34.656
215.408,34.594
216.388,34.625
217.411,34.656
218.431,34.688
219.448,34.688
220.429,34.719
221.404,34.719
222.508,34.719
223.403,34.750
224.378,34.750
225.401,34.781
226.453,34.750
227.407,34.750
228.375,34.750
229.398,34.750
230.471,34.750
231.422,34.719
232.373,34.750
233.396,34.719
234.457,34.750
235.395,34.719
236.530,34.688
237.394,34.656
238.418,34.625
239.399,34.625
240.423,34.625
241.395,34.656
242.420,34.656
243.390,34.656
244.414,34.625
245.442,34.656
246.413,34.688
247.387,34.656
248.412,34.750
249.386,34.719
250.556,34.688
251.393,34.656
252.460,34.656
253.490,34.656
254.408,34.688
255.383,34.688
256.653,34.719
257.433,34.781
258.405,34.719
259.626,34.750
260.408,34.812
261.379,34.844
262.403,34.844
263.575,34.844
264.402,34.844
265.377,34.875
266.449,34.875
267.624,34.844
268.452,34.875
269.374,34.844
270.398,34.844
271.378,34.812
272.397,34.812
273.376,34.781
274.395,34.781
275.376,34.781
276.394,34.781
277.369,34.812
278.445,34.812
279.424,34.812
280.398,34.812
281.417,34.844
282.390,34.844
283.365,34.875
284.391,34.875
285.414,34.844
286.388,34.875
287.437,34.844
288.387,34.781
289.413,34.688
290.385,34.719
291.409,34.719
292.386,34.719
293.800,34.688
294.385,34.656
295.407,34.781
296.382,34.750
297.405,34.750
298.380,34.812
299.404,34.906
300.379,34.875
301.404,34.875
302.378,34.875
303.402,34.938
304.522,34.969
305.400,34.875
306.386,34.906
307.401,34.906
308.374,34.906
309.401,34.906
310.373,34.906
311.397,34.938
312.372,34.906
313.399,34.875
314.370,34.875
315.405,34.875
316.369,34.875
317.393,34.875
