df_hash,22ZHK4.A7NV4E
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.T6MJ
person_label,V11
date_time_start,2025-05-22_10-27-42.020000_+03
date_time_start_unix,1747898862.02
date_time_end,2025-05-22_10-35-22.993000_+03
length_difference_noticed,no

time,ppg_quality
58.257,90
60.277,87
62.297,85
63.307,84
64.317,83
66.337,81
67.347,77
69.357,46
70.367,34
71.377,23
72.387,22
73.397,23
75.417,19
76.427,21
78.447,41
80.467,67
81.477,75
82.487,77
83.497,77
84.507,78
86.527,76
88.547,76
90.567,52
91.577,36
93.597,22
94.607,22
95.617,30
97.637,7
100.667,11
101.667,28
103.687,45
105.707,37
107.727,49
108.737,43
109.747,57
110.757,47
112.777,31
114.797,62
116.817,33
118.837,32
120.857,35
121.867,21
123.887,22
124.897,21
125.907,27
126.917,36
127.927,46
129.947,59
131.967,65
132.977,72
134.987,74
137.007,76
139.027,64
141.047,58
143.067,63
145.087,60
146.097,58
147.107,56
148.117,58
149.127,64
150.137,72
151.147,78
152.157,79
154.177,81
156.197,81
158.217,84
161.247,79
162.257,76
163.267,75
164.277,77
165.287,77
167.307,80
169.327,78
171.347,83
172.357,87
174.377,82
176.397,78
177.407,74
178.417,68
180.437,72
182.457,68
183.467,65
184.477,66
185.487,63
186.497,57
187.507,53
188.517,51
189.527,51
190.537,42
191.547,38
193.567,34
195.587,25
197.607,24
198.617,31
199.627,31
200.637,35
201.647,39
202.657,39
203.667,37
204.677,41
206.697,61
207.707,63
208.717,57
209.727,54
210.737,48
211.747,44
212.757,56
213.767,62
214.777,64
216.797,43
217.807,40
219.827,36
221.847,44
223.867,28
225.887,25
227.907,37
228.917,45
229.927,50
230.937,50
232.957,45
234.977,53
236.997,69
239.017,67
241.037,70
242.047,82
243.057,82
244.067,74
245.077,71
247.097,56
248.107,48
249.117,45
252.147,41
253.157,41
254.167,48
256.187,62
258.207,83
260.227,87
261.237,87
263.257,69
265.277,78
267.297,83
269.317,71
271.337,94
273.357,95
274.367,89
275.377,83
277.397,58
278.407,36
279.417,45
280.427,34
282.447,58
283.457,69
284.467,80
285.477,74
286.487,91
288.507,98
289.517,96
290.527,88
292.547,57
294.567,58
296.587,53
297.597,66
298.607,60
299.617,60
301.637,65
303.657,67
305.677,63
307.697,70
308.707,70
309.717,71
310.727,70
311.737,71
312.747,72
314.767,77
316.787,76
317.797,76
318.807,76
319.817,74
321.837,74
322.847,73
323.857,72
324.867,72
325.877,73
327.897,72
329.917,72
330.927,73
332.947,63
334.967,72
336.987,62
337.997,63
339.007,63
341.027,62
343.047,74
344.057,72
346.077,72
348.097,77
349.107,77
350.117,76
351.127,78
353.147,84
354.157,81
355.167,81
356.177,79
357.187,65
359.207,45
361.227,51
362.237,49
364.257,39
366.277,46
368.297,78
369.307,87
370.317,84
371.327,83
372.337,84
374.357,90
375.367,94
376.377,88
378.397,70
380.417,64
382.437,39
383.447,34
385.467,36
387.487,45
389.507,49
391.527,46
393.547,52
394.557,52
395.567,45
396.577,43
397.587,35
398.597,29
400.617,42
402.637,62
404.657,57
405.667,51
406.677,42
407.687,36
408.697,35
409.707,36
411.727,34
412.737,34
413.747,41
415.767,55
417.787,76
419.807,82
420.817,78
422.837,78
423.847,79
424.857,79
426.877,80
427.887,83
428.897,82
430.917,83
431.927,87
432.937,88
433.947,86
434.957,84
435.967,83
436.977,84
437.987,84
438.997,84
440.007,83
442.027,84
444.047,54
446.067,35
447.077,32
448.087,30
450.107,30
451.117,23
452.127,13
453.137,22
454.147,29
455.157,25
457.177,37
