df_hash,22ZHK4.A7NV4E
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.T6MJ
person_label,V11
date_time_start,2025-05-22_10-27-42.020000_+03
date_time_start_unix,1747898862.02
date_time_end,2025-05-22_10-35-22.993000_+03
length_difference_noticed,no

time,battery
12.774,39
22.859,39
32.756,39
42.753,39
52.744,39
62.738,39
72.731,39
82.823,39
92.768,39
102.764,39
112.761,39
122.752,39
132.796,39
142.767,39
152.731,39
162.725,39
172.722,39
182.761,39
192.706,39
202.749,39
212.746,39
222.736,39
232.778,39
242.726,39
252.874,39
262.711,39
272.727,39
282.748,38
292.792,38
302.735,38
312.730,38
322.723,38
332.737,38
342.711,38
352.721,38
362.698,38
372.692,38
382.686,38
392.680,38
402.743,38
412.716,38
422.710,38
432.755,38
442.699,38
452.691,38
