df_hash,22ZHK4.A7NV4E
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.T6MJ
person_label,V11
date_time_start,2025-05-22_10-27-42.020000_+03
date_time_start_unix,1747898862.02
date_time_end,2025-05-22_10-35-22.993000_+03
length_difference_noticed,no

time,rr_int
10.870,5340
10.874,10
12.526,10
14.182,1620
14.188,1700
14.913,10
15.011,805
15.888,10
15.894,850
16.717,10
17.546,825
17.698,885
17.741,165
17.744,10
17.748,10
17.753,10
17.839,10
18.374,30
18.379,605
19.204,10
19.349,795
19.353,140
19.404,90
19.415,10
19.496,35
20.763,505
20.767,830
21.648,10
22.421,825
22.567,835
22.570,160
22.766,10
22.811,55
22.814,15
23.396,10
23.399,590
23.404,10
23.545,125
23.548,10
23.600,45
23.603,15
24.078,10
24.225,610
24.907,165
24.910,690
25.761,10
26.029,850
26.034,195
26.566,55
27.393,610
27.594,815
27.697,160
27.832,55
27.837,10
28.222,10
28.953,535
29.002,765
29.782,10
30.611,845
30.858,845
30.905,170
30.914,30
31.053,50
31.056,15
31.060,10
31.735,20
32.561,595
32.951,1015
33.122,605
35.730,985
36.220,1575
36.997,315
37.002,1070
37.850,10
37.853,310
37.876,235
37.878,10
38.947,1215
39.093,240
39.097,10
39.101,15
39.483,375
39.635,10
40.312,170
40.316,660
41.141,10
41.872,825
42.702,755
43.530,785
44.358,840
44.554,845
44.558,175
44.654,15
45.189,10
45.342,650
45.382,160
45.386,20
45.389,15
45.392,10
46.016,15
46.162,620
46.165,195
46.211,15
46.908,25
47.677,615
47.820,865
48.651,185
48.795,685
48.799,185
48.844,10
48.850,10
49.477,20
50.504,675
51.281,885
52.013,860
52.857,825
53.719,820
54.526,870
54.534,850
55.327,10
56.205,830
56.209,830
56.988,10
57.282,835
57.813,200
57.963,635
58.008,180
58.111,10
58.708,15
58.788,610
58.792,10
58.838,175
58.840,15
58.983,15
59.520,15
60.349,615
61.179,850
62.007,820
62.201,820
62.835,195
62.839,630
63.664,10
63.810,835
63.813,165
63.858,20
63.863,20
63.959,10
64.348,15
65.321,565
65.326,775
66.004,200
66.150,600
66.153,175
66.735,25
66.979,620
66.994,155
67.027,20
67.031,30
67.034,10
67.808,10
68.928,775
69.075,1300
70.781,850
70.882,785
70.927,150
70.930,20
70.933,30
70.937,10
71.463,10
71.561,540
71.565,160
71.615,10
71.619,20
71.853,20
72.390,10
72.976,560
73.219,800
73.267,190
73.852,25
73.856,585
74.632,10
74.829,795
74.978,185
74.981,10
74.985,15
75.461,15
76.144,585
76.436,815
76.440,175
76.634,15
76.637,15
76.973,10
77.272,595
77.560,200
77.850,15
78.032,565
78.533,220
79.361,580
79.507,800
79.511,175
79.653,15
79.657,20
79.754,10
80.229,10
80.898,535
81.165,765
81.701,205
81.902,580
81.947,160
81.952,35
81.959,25
82.432,15
83.115,500
83.261,690
83.408,165
83.672,75
84.383,390
84.626,675
84.630,200
85.065,35
85.894,485
85.897,775
86.576,10
86.869,745
86.872,230
86.920,10
87.259,35
87.551,455
87.600,195
87.604,10
87.652,10
87.655,10
88.136,35
88.234,500
88.858,170
88.968,595
89.211,10
89.215,230
89.649,10
90.622,540
90.967,960
92.280,330
93.937,1410
94.084,1635
94.087,135
94.137,10
94.144,20
94.147,15
94.769,10
95.497,480
96.326,900
96.865,790
96.868,450
96.914,10
97.009,260
99.108,1435
99.641,640
100.380,635
100.917,635
101.591,620
101.884,715
103.058,275
104.811,1125
105.345,1795
106.467,540
108.420,1075
110.077,2010
110.318,1635
110.321,270
110.366,10
110.369,15
110.372,10
110.418,10
110.513,200
110.756,220
112.219,715
112.222,735
113.097,10
113.926,870
114.071,870
114.075,175
114.078,15
114.218,35
114.803,10
115.486,580
115.729,805
115.732,195
116.314,15
116.606,605
116.660,200
117.145,20
117.289,610
117.292,150
117.435,20
117.484,15
117.986,15
118.141,545
119.097,225
120.214,1005
120.312,1015
120.409,220
120.607,10
120.772,415
120.802,10
121.433,660
122.115,10
122.261,700
122.265,170
123.042,25
123.090,590
123.093,175
123.139,20
123.142,10
123.146,10
123.677,10
124.504,595
125.187,780
125.479,740
125.484,195
125.576,15
125.582,10
126.016,30
126.162,520
126.175,195
126.213,15
126.218,10
126.876,10
126.991,575
127.624,205
127.721,560
127.820,235
127.871,10
128.551,515
128.570,175
129.087,20
129.476,630
129.964,190
130.061,630
130.068,165
130.211,10
130.308,20
130.314,20
130.319,10
130.749,10
131.036,585
131.040,220
131.426,10
131.768,505
131.772,180
131.819,15
131.830,10
132.158,20
132.987,445
133.669,755
133.674,765
134.498,10
134.502,825
134.644,10
134.648,185
134.790,10
135.181,20
136.009,550
136.451,760
136.746,380
137.569,395
137.813,810
137.816,225
138.251,10
138.255,490
139.144,10
139.227,760
139.231,175
139.373,15
139.913,35
140.592,565
140.884,810
141.150,295
141.172,10
141.176,10
141.180,10
141.230,15
141.238,10
141.247,145
141.323,15
141.326,10
142.395,265
142.398,795
142.541,165
142.546,40
142.549,15
142.985,10
143.126,535
143.133,180
143.224,10
143.228,10
143.273,15
143.280,10
143.284,15
143.812,20
143.955,540
143.961,180
144.687,20
144.784,610
144.789,160
144.833,15
144.838,10
144.849,10
145.321,10
145.695,595
145.762,175
145.765,15
145.768,15
146.179,10
146.978,585
147.124,835
