df_hash,22ZHK4.YQ10CM
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9FSC
person_label,V25
date_time_start,2025-08-05_11-47-51.382000_+03
date_time_start_unix,1754376471.382
date_time_end,2025-08-05_12-00-13.165000_+03
length_difference_noticed,no

time,rr_int
10.302,4190
11.131,1295
11.959,905
12.106,985
14.202,1005
15.177,995
16.152,1015
17.134,1065
17.812,665
18.640,1000
19.467,845
20.295,810
20.298,850
21.124,10
21.954,835
22.987,775
23.809,805
24.634,1080
25.463,835
26.438,865
27.413,920
28.242,970
29.071,845
30.045,855
30.875,905
31.569,860
32.532,810
33.361,885
34.189,905
35.026,835
35.896,850
36.724,860
37.553,805
38.528,855
39.356,900
40.185,825
41.014,865
41.884,885
42.678,820
43.500,785
44.231,835
45.060,810
45.889,770
46.723,850
47.595,820
48.533,870
49.353,915
50.032,870
50.861,780
51.739,780
52.567,845
52.571,865
53.396,10
54.078,805
54.907,775
55.882,815
55.936,900
56.857,10
57.686,965
58.573,880
59.346,860
60.370,890
61.147,905
61.878,795
62.776,795
63.584,815
64.364,815
64.418,790
65.047,10
66.022,800
66.997,920
67.826,930
68.739,835
69.484,865
70.458,950
71.189,875
71.287,805
72.120,10
72.993,840
73.676,840
73.732,790
74.505,10
75.333,795
76.310,875
77.137,920
78.112,860
78.977,925
79.915,950
80.744,885
81.574,825
82.402,900
83.279,875
84.111,845
85.034,820
85.911,905
86.740,925
87.570,835
88.398,835
89.226,835
90.062,835
90.742,840
91.567,750
92.298,760
93.134,760
93.815,765
94.491,740
95.320,765
96.249,785
97.026,810
97.709,810
98.686,820
99.513,860
100.344,865
101.170,820
102.049,840
102.827,875
103.656,875
104.534,780
105.362,835
105.420,895
106.337,10
107.168,935
107.849,830
108.678,790
109.652,845
110.498,885
110.547,855
111.222,10
112.041,765
112.870,780
113.699,815
114.381,810
115.214,770
116.185,850
117.014,910
117.989,940
119.261,920
119.796,920
120.767,975
121.597,940
122.425,830
123.258,825
124.131,830
124.962,855
125.642,815
126.471,755
127.153,765
128.128,795
128.957,875
129.011,830
129.688,10
130.517,795
131.492,860
132.355,875
133.003,835
133.832,805
133.888,730
134.515,10
135.343,735
136.220,820
137.050,895
137.984,855
138.853,870
139.682,895
140.510,890
141.339,810
142.169,800
142.997,855
143.051,910
144.267,10
144.808,880
145.780,890
146.022,920
146.750,10
147.579,955
148.408,935
149.383,865
150.223,850
150.967,865
151.771,810
152.454,740
153.283,775
154.120,815
154.941,820
155.772,800
156.646,865
156.701,900
157.475,10
158.304,825
158.992,775
159.669,755
160.389,710
161.087,700
161.913,710
162.594,755
163.422,775
164.108,745
164.983,780
165.912,860
166.640,875
166.644,810
167.469,10
167.473,755
168.152,10
168.980,770
169.662,800
170.491,745
171.222,730
172.055,765
172.880,810
173.562,805
174.245,750
174.541,745
174.599,260
174.635,10
175.074,10
175.805,460
176.487,720
177.170,685
177.852,720
178.584,725
179.415,765
180.241,770
181.069,850
181.128,870
181.902,10
182.727,865
183.580,825
184.385,820
185.116,800
186.094,735
186.630,725
187.456,785
188.284,840
189.113,830
189.942,825
190.774,860
191.654,865
192.479,895
193.305,795
193.988,755
194.670,745
195.402,745
195.507,740
196.182,10
196.913,735
197.888,775
198.717,870
199.400,855
200.277,800
201.072,815
201.889,830
202.617,780
203.445,760
204.128,755
204.810,760
205.653,740
206.370,765
207.199,790
208.028,805
208.710,780
209.549,805
210.400,850
211.196,800
211.931,750
212.759,785
213.439,785
214.121,725
214.853,725
215.096,730
215.681,215
215.684,560
216.371,15
217.047,710
217.730,705
217.733,695
218.460,10
219.142,705
219.825,730
220.654,715
221.336,710
222.068,745
222.898,785
223.725,770
224.407,795
225.285,790
225.919,790
226.747,750
227.478,760
227.576,800
228.405,10
229.136,860
229.965,815
230.793,805
231.768,870
232.597,910
233.426,860
234.255,810
235.083,820
235.912,860
236.649,820
237.472,755
238.168,760
238.837,770
239.669,760
239.763,720
240.397,10
240.404,755
241.227,10
242.119,815
242.737,805
242.740,785
243.566,10
243.712,760
243.859,225
244.396,10
245.224,575
245.520,885
245.683,400
245.766,10
246.931,370
247.468,925
247.617,545
247.761,300
249.270,1135
249.415,320
249.419,215
250.634,530
250.638,710
251.902,10
252.584,1280
253.413,680
253.706,790
254.145,305
254.827,415
255.509,735
256.236,725
256.928,710
257.605,695
258.288,680
258.976,685
259.702,665
260.238,665
260.263,655
260.554,10
260.632,185
260.634,15
260.969,10
261.603,440
262.188,660
262.870,680
263.554,655
264.284,650
265.018,660
265.506,665
266.234,670
266.774,645
267.065,670
267.452,170
268.137,465
268.731,650
269.403,640
269.990,620
270.524,620
271.208,620
271.889,635
271.893,655
272.620,10
273.304,700
274.035,690
274.667,700
275.496,750
276.227,775
276.910,735
277.592,735
278.421,755
279.152,720
279.835,720
280.518,715
281.200,690
281.956,700
282.615,695
282.767,705
283.296,180
283.978,515
284.563,680
284.821,670
285.246,225
285.928,445
285.938,650
286.514,10
287.196,640
287.879,675
288.025,685
288.561,175
289.292,525
289.976,680
290.657,710
291.340,710
292.071,680
292.771,695
292.899,700
293.446,205
294.119,470
294.708,685
295.386,665
296.068,690
296.800,675
297.482,695
298.164,700
298.850,725
299.679,700
300.407,735
301.090,685
301.775,740
302.454,695
303.187,710
