df_hash,22ZHK4.YQ10CM
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9FSC
person_label,V25
date_time_start,2025-08-05_11-47-51.382000_+03
date_time_start_unix,1754376471.382
date_time_end,2025-08-05_12-00-13.165000_+03
length_difference_noticed,no

time,omega
35.953,0.575
36.779,0.572
38.580,0.575
39.457,0.572
40.339,0.575
42.138,0.572
42.733,0.572
43.555,0.573
45.117,0.572
46.187,0.573
46.823,0.572
47.794,0.574
48.678,0.572
50.185,0.568
50.916,0.563
51.794,0.563
52.624,0.563
54.231,0.568
54.964,0.567
55.934,0.568
56.039,0.574
58.664,0.580
59.401,0.580
60.467,0.582
62.031,0.578
62.805,0.580
63.640,0.580
64.417,0.578
64.468,0.578
67.881,0.573
68.761,0.573
69.632,0.575
70.757,0.580
71.245,0.581
71.354,0.581
73.054,0.581
73.730,0.580
73.784,0.580
75.486,0.580
76.327,0.579
78.173,0.576
79.047,0.572
79.972,0.570
80.798,0.570
81.730,0.570
82.554,0.569
83.334,0.568
84.163,0.568
85.967,0.568
86.795,0.568
87.582,0.568
88.453,0.567
89.477,0.567
90.114,0.567
92.451,0.567
93.203,0.565
93.879,0.565
94.645,0.565
95.376,0.560
96.355,0.560
97.183,0.560
97.810,0.562
98.700,0.567
99.712,0.567
100.370,0.564
101.226,0.565
102.294,0.567
102.883,0.573
103.761,0.579
104.589,0.581
105.416,0.586
105.669,0.590
107.192,0.589
107.904,0.589
108.783,0.589
109.710,0.589
110.543,0.585
110.791,0.589
112.093,0.589
113.071,0.589
113.764,0.590
114.436,0.590
115.308,0.590
116.288,0.589
119.861,0.589
120.820,0.589
121.647,0.591
122.577,0.589
123.321,0.586
124.381,0.583
125.115,0.581
127.306,0.581
128.185,0.581
129.009,0.580
129.064,0.577
130.572,0.577
133.165,0.574
133.886,0.573
133.937,0.573
135.400,0.572
136.471,0.570
137.116,0.569
138.049,0.567
138.906,0.565
139.734,0.563
140.565,0.563
141.594,0.562
142.317,0.562
143.050,0.562
143.106,0.561
145.831,0.559
147.778,0.556
148.487,0.556
149.442,0.554
150.371,0.554
152.609,0.554
153.435,0.554
154.180,0.554
156.700,0.552
160.413,0.550
161.150,0.550
162.649,0.550
163.628,0.552
165.086,0.552
166.697,0.552
167.527,0.552
169.133,0.554
169.715,0.552
171.379,0.550
172.115,0.550
172.939,0.550
173.617,0.552
174.303,0.552
174.598,0.552
177.225,0.547
178.006,0.544
178.736,0.546
179.471,0.546
180.297,0.546
181.127,0.549
181.177,0.549
183.800,0.551
184.437,0.551
185.363,0.551
186.790,0.551
187.513,0.552
188.342,0.551
189.220,0.551
190.098,0.552
190.831,0.552
191.803,0.551
192.532,0.549
193.358,0.548
194.141,0.546
194.787,0.548
195.456,0.548
195.662,0.546
197.065,0.544
198.138,0.544
200.377,0.542
201.151,0.542
201.993,0.541
203.501,0.541
204.375,0.541
204.867,0.542
206.474,0.542
208.763,0.542
211.249,0.544
212.083,0.542
212.813,0.542
214.223,0.544
217.785,0.545
220.755,0.545
221.401,0.548
222.196,0.545
222.908,0.545
223.777,0.548
224.562,0.550
225.387,0.550
226.758,0.554
227.536,0.551
230.023,0.554
230.851,0.554
231.823,0.551
232.652,0.550
233.484,0.550
234.557,0.550
235.239,0.550
238.892,0.550
239.721,0.550
239.787,0.550
240.453,0.548
242.211,0.548
259.754,0.549
260.301,0.549
267.222,0.549
269.459,0.547
271.946,0.545
273.326,0.543
274.774,0.540
275.553,0.534
276.388,0.528
277.646,0.524
278.527,0.521
279.306,0.521
282.637,0.521
282.815,0.506
284.764,0.487
284.883,0.487
288.093,0.487
292.957,0.484
295.444,0.477
296.221,0.475
297.583,0.471
298.317,0.471
299.149,0.475
309.674,0.482
310.356,0.490
316.302,0.493
318.427,0.496
327.320,0.498
328.203,0.503
328.737,0.514
329.180,0.503
329.430,0.502
330.734,0.502
332.100,0.505
340.436,0.505
341.342,0.501
349.362,0.505
350.133,0.505
350.770,0.505
352.772,0.507
356.921,0.512
358.639,0.530
359.353,0.548
370.710,0.555
371.983,0.548
375.438,0.533
377.928,0.519
379.583,0.511
380.024,0.511
381.453,0.511
384.188,0.519
386.110,0.528
393.088,0.543
405.028,0.543
405.911,0.543
406.593,0.544
409.314,0.543
450.511,0.550
467.672,0.550
469.127,0.550
471.421,0.543
472.546,0.536
485.755,0.529
485.807,0.525
487.512,0.532
