df_hash,22ZHK4.YQ10CM
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9FSC
person_label,V25
date_time_start,2025-08-05_11-47-51.382000_+03
date_time_start_unix,1754376471.382
date_time_end,2025-08-05_12-00-13.165000_+03
length_difference_noticed,no

time,quality
15.618,68
17.129,88
17.714,67
18.595,62
19.812,66
20.689,74
21.807,75
22.979,70
23.664,73
24.540,51
25.766,55
26.636,60
27.564,63
28.735,66
29.669,77
30.536,83
31.706,79
32.776,82
33.512,86
34.682,84
35.608,83
36.485,84
37.654,83
38.822,84
39.506,86
40.826,85
41.699,83
42.671,84
43.793,82
44.530,82
45.404,81
46.717,90
47.551,86
48.526,85
49.597,72
50.620,80
51.352,75
52.720,71
53.448,73
54.666,82
55.544,80
56.470,83
57.350,71
58.564,63
59.689,71
60.322,85
61.491,85
62.376,77
63.300,75
64.514,74
65.345,83
66.270,79
67.479,72
68.316,70
69.270,79
70.413,82
71.436,83
72.216,83
73.387,79
74.313,78
75.193,82
76.608,86
77.432,78
78.459,75
79.334,77
80.357,80
81.137,85
82.307,82
83.234,79
84.354,83
85.332,86
86.207,84
87.085,79
88.304,82
89.185,82
90.204,78
91.280,76
92.156,76
93.126,69
94.278,71
95.128,74
96.006,83
97.225,84
98.249,77
99.029,81
100.199,84
101.075,81
102.003,88
103.174,85
104.050,85
104.978,84
106.147,80
107.023,77
107.950,74
109.119,77
110.046,74
111.212,79
112.287,80
113.314,77
114.091,73
115.210,80
115.994,87
116.884,74
118.040,68
118.967,68
119.944,83
121.063,88
121.940,90
122.818,75
124.048,70
124.914,70
125.841,81
127.011,78
127.890,75
128.767,78
129.984,76
130.862,78
131.788,84
132.958,85
133.981,83
134.715,74
135.932,61
136.910,67
137.736,64
139.100,62
139.834,80
140.708,92
141.879,80
142.806,80
143.683,80
144.860,77
145.730,75
146.657,88
147.874,85
148.753,87
149.630,83
150.960,78
151.726,78
152.799,71
154.115,72
154.700,78
155.578,83
156.793,79
157.674,76
158.554,77
159.767,76
160.653,55
161.525,44
162.789,69
163.718,81
164.498,80
165.717,72
166.595,68
167.718,70
168.691,74
169.615,74
170.446,77
171.761,82
172.783,84
173.419,81
174.686,84
175.516,76
176.395,75
177.755,68
178.503,79
179.367,80
180.777,70
181.463,60
182.390,63
183.571,75
184.534,81
185.655,81
186.533,67
187.412,71
188.594,78
189.650,70
190.535,68
191.310,84
192.628,85
193.455,86
194.284,70
195.499,62
196.380,69
197.262,83
198.435,81
199.354,65
200.233,69
201.498,80
202.328,82
203.302,85
204.426,83
205.303,78
206.181,83
207.738,88
208.421,84
209.195,85
210.386,79
211.345,81
212.126,81
213.345,78
214.270,75
215.147,78
216.364,80
217.224,80
218.073,76
219.292,77
220.170,79
221.047,84
222.268,80
223.150,76
224.021,77
225.242,77
226.117,85
226.994,80
228.213,84
229.091,78
230.114,76
231.195,75
232.068,76
232.943,77
234.190,79
235.040,79
236.256,80
237.135,81
238.156,79
239.235,73
240.109,71
240.985,82
241.914,81
243.081,82
243.959,77
244.885,83
246.055,74
247.035,52
248.005,40
249.029,40
249.954,28
250.882,20
252.008,22
252.904,27
253.807,0
254.976,0
255.904,26
256.923,38
258.047,72
258.971,71
259.850,76
261.018,75
261.850,79
262.728,79
263.897,83
264.824,82
265.701,79
266.871,78
267.797,77
268.687,81
269.894,78
270.772,81
271.676,78
272.867,79
273.790,71
274.624,63
275.842,63
276.719,69
277.741,77
278.816,81
279.718,82
280.569,81
281.938,80
282.761,80
283.543,81
284.807,82
285.649,76
286.565,73
287.736,71
288.615,78
289.541,76
290.709,73
291.587,76
292.756,82
293.683,85
294.703,84
295.487,80
296.657,78
297.631,79
298.460,82
299.633,80
300.581,79
301.434,81
302.615,82
303.536,83
304.407,87
305.578,84
306.504,79
307.381,81
308.551,83
309.478,84
310.549,82
311.622,84
312.743,84
313.329,86
314.555,87
315.425,83
316.350,87
317.521,85
318.593,84
319.360,79
320.495,77
321.372,74
322.250,70
323.468,71
324.346,73
325.227,73
326.442,75
327.611,83
328.461,85
329.564,85
330.293,81
331.170,77
332.390,78
333.266,84
334.193,85
335.367,76
336.536,73
337.166,41
338.336,36
339.409,39
340.140,40
341.359,39
342.237,47
343.114,44
344.581,61
345.166,65
346.089,68
347.259,67
348.138,72
349.302,74
350.233,81
351.160,81
352.178,82
353.205,76
354.136,69
355.010,62
356.224,62
357.106,60
357.983,67
359.298,68
360.090,64
360.956,68
362.175,70
363.349,77
364.170,77
365.174,72
366.026,38
366.904,43
368.124,43
369.292,38
369.877,41
371.144,53
372.220,69
372.851,70
374.069,76
374.947,76
375.889,71
377.339,65
378.066,69
379.090,78
380.257,88
380.991,87
382.066,75
382.993,61
383.870,53
384.804,44
385.965,44
386.844,44
387.769,42
389.035,47
389.817,73
390.836,81
391.912,84
393.034,84
393.717,82
394.885,81
395.808,83
396.689,81
397.859,78
398.883,73
399.714,74
401.077,65
401.756,66
402.637,66
404.148,63
404.730,67
405.753,79
406.780,87
407.707,87
408.585,90
409.997,89
410.681,84
411.565,83
412.774,86
413.748,91
414.725,86
415.700,83
416.722,79
417.650,77
418.675,80
419.647,80
420.480,81
421.698,78
422.719,79
423.454,86
424.673,73
425.550,46
426.427,54
427.739,62
428.523,32
429.451,32
