df_hash,22ZHK4.YQ10CM
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9FSC
person_label,V25
date_time_start,2025-08-05_11-47-51.382000_+03
date_time_start_unix,1754376471.382
date_time_end,2025-08-05_12-00-13.165000_+03
length_difference_noticed,no

time,battery
9.717,71
19.718,71
29.705,71
39.698,71
49.691,71
59.695,71
69.699,71
79.672,71
89.667,71
99.714,71
109.799,71
119.695,71
129.786,71
139.735,71
149.773,71
159.715,71
169.809,71
179.659,71
189.659,71
199.692,71
209.707,71
219.679,71
229.672,71
239.666,71
249.670,71
259.653,71
269.647,71
279.640,71
289.655,70
299.676,70
309.675,70
319.663,70
329.657,70
339.650,70
349.643,70
359.658,70
369.632,70
379.624,70
389.666,70
399.662,70
409.653,70
419.654,70
429.706,70
439.634,70
449.678,70
459.621,70
469.614,70
479.608,70
489.650,70
499.682,70
509.637,70
519.631,70
529.640,70
539.620,70
549.633,70
559.609,70
569.714,70
579.743,70
589.640,70
599.731,70
609.726,70
619.636,70
629.715,70
639.709,70
649.606,70
659.600,70
669.594,70
679.614,70
689.631,70
699.625,70
709.619,70
719.630,70
729.608,70
