df_hash,22ZHK4.YQ10CM
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9FSC
person_label,V25
date_time_start,2025-08-05_11-47-51.382000_+03
date_time_start_unix,1754376471.382
date_time_end,2025-08-05_12-00-13.165000_+03
length_difference_noticed,no

time,heart_rate
15.615,63
16.837,61
17.711,62
18.589,65
19.808,67
20.685,69
21.606,71
22.784,71
23.659,74
24.536,72
25.755,71
26.633,70
27.559,68
28.729,67
29.656,67
30.533,67
31.703,67
32.591,68
33.506,69
34.676,69
35.602,70
36.480,70
37.650,70
38.581,71
39.459,71
40.821,71
41.553,71
42.450,70
43.602,70
44.524,71
45.401,72
46.634,73
47.546,74
48.521,74
49.593,73
50.492,71
51.349,71
52.716,71
53.445,72
54.327,73
55.541,74
56.420,74
57.345,73
58.517,71
59.684,70
60.318,69
61.488,68
62.366,69
63.292,70
64.470,72
65.340,73
66.266,74
67.476,74
68.313,72
69.266,71
70.409,70
71.355,69
72.213,69
73.383,69
74.309,70
75.190,72
76.603,73
77.284,72
78.456,71
79.331,70
80.284,69
81.134,68
82.304,68
83.230,68
84.165,68
85.327,69
86.204,69
87.081,69
88.300,69
89.179,69
90.118,70
91.274,71
92.151,72
93.066,74
94.273,76
95.125,78
96.003,79
97.221,79
98.125,78
99.025,77
100.195,76
101.072,75
101.999,73
103.169,72
104.046,71
104.972,71
106.142,71
107.020,71
107.947,71
109.116,70
110.042,70
110.925,70
112.094,71
113.311,72
113.896,73
115.067,74
115.990,75
116.867,75
118.037,73
118.963,71
119.941,69
121.060,67
121.937,66
122.814,66
124.038,67
124.911,68
125.838,70
127.007,72
127.884,74
128.762,75
129.981,75
130.858,75
131.784,73
132.954,72
133.938,72
134.709,73
135.928,74
136.809,75
137.732,75
138.909,74
139.783,72
140.705,70
141.876,70
142.802,70
143.679,70
144.850,70
145.727,70
146.653,69
147.826,68
148.749,67
149.626,67
150.945,67
151.723,68
152.796,70
154.111,72
154.696,74
155.574,75
156.767,75
157.670,73
158.547,72
159.728,72
160.644,73
161.521,72
162.695,77
163.629,80
164.495,81
165.714,80
166.591,79
167.715,78
168.688,77
169.610,76
170.442,76
171.689,77
172.541,78
173.416,78
174.641,78
175.512,78
176.390,78
177.632,79
178.486,80
179.363,81
180.593,81
181.460,80
182.384,79
183.562,77
184.438,76
185.364,75
186.529,75
187.407,76
188.580,77
189.506,77
190.414,76
191.307,74
192.533,72
193.359,71
194.281,71
195.459,73
196.377,75
197.254,78
198.424,79
199.350,78
200.228,77
201.439,76
202.324,75
203.212,75
204.376,76
205.298,77
206.176,78
207.371,79
208.274,79
209.189,78
210.369,78
211.250,77
212.123,77
213.341,76
214.224,76
215.139,78
216.319,79
217.218,79
218.070,80
219.289,81
220.166,81
221.044,82
222.263,82
223.142,82
224.017,82
225.236,81
226.113,80
226.991,79
228.210,79
229.087,78
230.024,78
231.183,77
232.061,75
232.938,74
234.184,72
235.035,71
235.986,71
237.131,71
238.041,73
238.938,74
240.104,76
240.982,78
241.908,79
243.078,78
243.956,78
244.882,77
246.052,76
247.030,76
247.860,76
249.025,76
249.905,76
250.878,76
252.000,76
252.901,76
253.803,76
254.973,76
255.899,80
256.782,79
257.949,80
258.876,81
259.756,83
260.994,84
261.846,85
262.724,86
263.894,87
264.820,88
265.698,88
266.868,89
267.794,89
268.671,90
269.890,91
270.768,92
271.672,93
272.864,93
273.783,93
274.619,92
275.837,91
276.715,89
277.647,87
278.811,86
279.714,85
280.566,84
281.931,84
282.686,84
283.540,85
284.767,85
285.636,86
286.562,86
287.732,87
288.609,88
289.536,88
290.706,88
291.583,88
292.511,88
293.679,88
294.649,88
295.483,88
296.653,88
297.585,88
298.457,88
299.627,88
300.578,87
301.431,87
302.600,86
303.527,86
304.404,85
305.574,85
306.500,84
307.378,84
308.548,84
309.474,84
310.358,84
311.524,84
312.452,84
313.326,84
314.544,84
315.421,83
316.304,83
317.518,83
318.431,83
319.336,83
320.491,83
321.369,83
322.246,83
323.465,84
324.342,85
325.220,86
326.439,86
327.321,87
328.445,87
329.433,87
330.290,87
331.167,87
332.386,86
333.263,85
334.190,84
335.360,84
336.532,84
337.163,84
338.333,84
339.212,84
340.137,84
341.343,85
342.233,85
343.111,84
344.576,84
345.158,83
346.084,82
347.254,82
348.132,82
349.062,82
350.228,81
351.154,81
352.043,81
353.202,81
354.130,81
355.005,82
356.176,83
357.101,84
357.979,85
359.152,85
360.075,85
360.953,85
362.171,84
363.344,83
363.929,83
365.171,83
366.023,83
366.900,83
368.119,83
368.999,83
369.874,83
371.094,83
372.216,83
372.847,83
374.066,83
374.944,83
375.877,83
377.060,83
377.929,82
378.813,81
380.026,80
380.893,80
381.772,80
382.987,81
383.865,81
384.791,80
385.961,80
386.839,83
387.764,81
388.938,84
389.812,84
390.745,84
391.908,84
393.029,84
393.712,84
394.882,84
395.764,84
396.685,84
397.855,84
398.745,83
399.711,82
401.073,82
401.710,82
402.633,81
403.808,81
404.682,80
405.610,79
406.776,78
407.703,78
408.580,77
409.755,77
410.676,77
411.554,77
412.730,77
413.704,77
414.551,77
415.698,77
416.635,77
417.505,77
418.671,76
419.599,76
420.475,75
421.694,74
422.574,74
423.449,73
424.667,72
425.545,72
426.422,76
427.649,79
428.518,76
429.445,75
