df_hash,22ZHK4.6M747Q
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.CN3T
person_label,V72
date_time_start,2025-11-03_12-57-37.237000_+03
date_time_start_unix,1762160257.237
date_time_end,2025-11-03_13-06-23.614000_+03
length_difference_noticed,no

time,perfusion_ir
52.292,0.110
52.926,0.110
63.120,0.110
64.871,0.110
64.967,0.110
66.731,0.110
66.820,0.110
68.042,0.110
69.501,0.110
80.079,0.110
80.620,0.110
81.158,0.110
83.002,0.110
83.057,0.110
87.544,0.110
90.823,0.110
91.339,0.110
93.142,0.110
95.287,0.110
96.168,0.110
96.603,0.110
98.069,0.110
101.288,0.120
105.768,0.120
106.941,0.120
108.745,0.120
109.866,0.120
111.670,0.120
112.252,0.120
113.508,0.120
114.008,0.120
115.231,0.120
118.364,0.120
119.571,0.120
119.714,0.120
121.517,0.120
122.057,0.120
124.446,0.120
128.208,0.120
130.493,0.120
131.083,0.120
131.758,0.120
135.416,0.120
136.739,0.120
137.956,0.120
140.873,0.120
141.456,0.120
142.724,0.120
143.262,0.120
143.944,0.120
144.528,0.120
146.267,0.120
149.452,0.120
154.768,0.120
156.084,0.120
159.445,0.120
159.979,0.120
164.128,0.120
164.957,0.120
165.344,0.120
166.078,0.120
166.758,0.120
169.683,0.120
170.377,0.120
170.950,0.120
175.926,0.120
176.603,0.120
177.047,0.120
179.625,0.120
181.335,0.120
182.710,0.130
183.479,0.130
184.116,0.130
184.744,0.130
185.490,0.130
185.868,0.130
192.449,0.130
193.278,0.130
193.570,0.130
195.472,0.130
196.203,0.130
196.544,0.130
197.376,0.120
198.257,0.120
200.152,0.120
201.370,0.120
202.050,0.120
203.464,0.120
203.862,0.120
204.634,0.120
205.319,0.120
206.831,0.120
208.244,0.120
208.632,0.120
210.101,0.120
210.585,0.120
211.270,0.110
211.715,0.110
215.238,0.110
217.653,0.110
218.777,0.110
219.310,0.110
223.711,0.120
230.090,0.120
262.305,0.130
293.708,0.130
294.684,0.130
306.232,0.130
