df_hash,22ZHK4.6M747Q
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.CN3T
person_label,V72
date_time_start,2025-11-03_12-57-37.237000_+03
date_time_start_unix,1762160257.237
date_time_end,2025-11-03_13-06-23.614000_+03
length_difference_noticed,no

time,heart_rate
7.877,47
8.804,46
9.681,46
10.997,46
11.777,46
12.704,46
13.874,46
14.758,46
15.726,94
16.848,95
17.725,95
18.603,95
19.821,95
20.699,95
21.626,96
22.798,96
23.673,95
24.599,94
25.818,94
26.695,94
27.573,93
28.748,93
29.741,93
30.547,94
31.772,95
32.741,95
33.520,95
34.739,95
35.617,95
36.494,95
37.713,95
38.616,95
39.468,96
40.686,96
41.564,97
42.490,98
43.660,99
44.538,99
45.464,100
46.783,100
47.560,101
48.461,101
49.706,101
50.607,100
51.450,99
52.631,99
53.508,98
54.387,98
55.604,97
56.505,97
57.359,97
58.578,97
59.455,102
60.333,99
61.552,102
62.430,101
63.355,101
64.528,101
65.411,101
66.332,101
67.539,101
68.425,100
69.375,99
70.473,97
71.409,96
72.277,95
73.495,96
74.373,96
75.252,97
76.469,96
77.395,95
78.302,94
79.443,93
80.564,93
81.247,93
82.417,93
83.391,96
84.221,94
85.391,94
86.317,91
87.194,91
88.413,90
89.291,90
90.168,88
91.387,92
92.264,90
93.147,91
94.391,90
95.292,90
96.173,91
97.334,92
98.234,93
99.138,94
100.308,95
101.335,96
102.161,98
103.282,96
104.208,96
105.104,102
106.256,98
107.426,99
108.060,98
109.283,98
110.156,98
111.033,99
112.261,100
113.422,100
114.016,100
115.624,100
116.103,100
117.029,100
118.201,100
119.077,100
120.009,98
121.174,97
122.100,96
122.977,96
124.391,96
125.073,97
126.082,97
127.170,97
128.047,97
129.022,97
130.143,97
131.021,98
131.947,98
133.168,99
134.400,99
134.973,99
136.091,99
137.018,98
137.895,97
139.065,96
139.991,96
140.926,97
142.087,98
143.208,99
143.842,99
145.061,98
145.938,98
146.816,98
148.087,98
148.912,99
149.790,99
151.009,100
151.886,100
152.836,99
153.983,99
154.861,99
155.792,99
156.960,99
157.835,98
158.760,97
160.225,96
160.856,96
161.747,97
162.904,98
163.832,98
164.707,97
165.928,96
166.807,94
167.681,93
168.903,93
169.777,94
170.707,95
171.945,96
172.781,97
173.677,98
174.896,98
175.777,98
176.651,97
177.846,97
178.747,97
179.630,97
180.849,98
181.771,98
182.625,97
183.772,96
184.749,95
185.573,95
186.889,95
187.669,96
188.546,97
189.814,98
190.667,98
191.520,99
192.742,98
193.665,98
194.591,99
195.738,99
196.590,99
197.517,99
198.708,100
199.564,100
200.490,100
201.660,100
202.586,99
203.468,99
204.640,98
205.560,98
206.438,98
207.706,99
208.534,99
209.753,99
210.630,98
211.555,98
212.434,98
213.609,99
214.481,99
215.439,100
216.578,101
217.504,101
218.430,101
219.577,101
220.478,101
221.454,100
222.531,100
223.451,100
224.329,100
225.548,100
226.425,100
227.306,100
228.522,100
229.399,100
230.302,100
231.544,100
232.374,100
233.348,100
234.484,100
235.347,100
236.708,100
237.443,100
238.466,103
239.295,101
240.514,101
241.343,101
242.220,101
243.390,101
244.317,101
245.254,95
246.413,98
247.290,97
248.168,97
249.388,96
250.264,96
251.146,96
252.361,96
253.533,96
254.164,96
255.334,96
256.212,96
257.141,96
258.312,96
259.257,96
260.112,96
261.323,64
262.208,82
263.137,49
269.033,62
270.252,58
271.152,57
272.056,54
273.235,55
274.104,55
275.029,55
276.222,53
277.077,53
278.028,63
279.173,59
280.099,58
280.977,58
282.147,58
283.073,58
283.951,54
285.121,54
286.047,55
286.927,56
288.192,57
289.021,57
289.898,59
291.117,61
291.994,59
293.167,59
294.091,59
294.968,59
295.894,59
297.065,59
297.942,59
298.909,59
300.038,59
300.964,59
301.843,59
303.061,59
303.938,59
304.816,59
305.986,59
306.912,56
307.790,57
308.960,67
309.903,63
310.763,58
311.983,59
312.862,60
313.743,60
314.956,59
315.920,59
316.808,59
317.933,59
318.808,59
319.733,59
320.904,59
321.833,59
322.707,59
323.877,56
324.852,55
325.681,53
326.851,54
327.777,54
328.703,54
329.825,53
330.825,59
331.628,62
332.847,63
333.732,63
334.606,62
335.826,63
336.702,64
337.576,63
338.795,59
339.676,57
340.602,56
341.769,57
342.672,57
343.621,56
344.768,56
345.620,56
346.546,59
347.813,60
348.594,58
349.715,58
350.690,58
351.567,58
352.493,52
353.665,54
354.590,54
355.470,54
356.637,53
357.587,53
358.441,53
359.615,57
360.537,55
361.419,54
362.585,53
363.514,61
364.389,64
365.607,59
366.485,59
367.362,57
368.585,55
369.459,53
370.336,53
371.555,53
372.441,53
373.310,53
374.529,53
375.406,53
376.352,53
377.502,53
378.403,53
379.306,53
380.507,54
381.354,52
382.303,52
383.450,52
384.377,52
385.254,52
386.424,52
387.350,52
388.239,52
389.398,52
390.327,52
391.201,52
392.372,52
393.298,52
394.177,52
395.366,51
396.271,51
397.149,51
398.368,51
399.246,51
400.123,51
401.352,51
402.219,51
403.096,51
404.315,51
405.196,51
406.070,60
407.312,64
408.168,66
409.044,63
410.458,63
411.140,63
412.066,63
413.285,63
414.117,63
415.089,63
416.210,63
417.088,63
418.014,63
419.184,70
420.112,75
420.993,77
422.229,74
423.084,74
423.961,75
425.131,75
426.110,74
426.935,74
