df_hash,22ZHK4.6M747Q
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.CN3T
person_label,V72
date_time_start,2025-11-03_12-57-37.237000_+03
date_time_start_unix,1762160257.237
date_time_end,2025-11-03_13-06-23.614000_+03
length_difference_noticed,no

time,ppg_quality
57.697,58
58.707,55
59.717,57
60.727,57
62.747,57
64.767,59
66.787,69
68.797,77
69.807,72
71.827,64
73.847,57
75.867,49
76.877,48
78.897,46
79.907,50
82.937,60
84.957,67
86.977,70
88.997,68
90.007,65
92.027,67
93.037,70
94.047,69
96.067,68
98.087,66
100.107,58
101.117,52
102.127,43
104.147,22
105.157,28
107.177,35
109.197,42
111.217,60
113.237,77
114.247,91
115.257,90
116.267,88
118.287,81
119.297,80
120.307,79
122.327,79
124.347,76
125.357,71
126.367,70
129.397,63
131.417,65
133.437,66
135.457,70
136.467,75
137.477,78
138.487,81
140.507,82
142.527,80
143.537,79
144.547,80
146.567,76
148.587,76
149.597,77
151.617,79
152.627,76
153.637,76
155.657,78
157.677,79
158.687,79
159.697,79
160.707,77
162.727,80
163.737,83
164.747,85
166.767,83
167.777,85
169.797,85
170.807,85
173.837,80
175.857,75
177.877,75
178.887,76
180.907,76
181.917,77
183.937,82
184.947,83
186.967,84
188.987,84
191.007,79
193.027,76
196.057,77
198.077,79
200.097,81
202.117,84
204.137,86
205.147,84
207.167,82
209.187,77
211.207,76
213.227,78
214.237,79
215.247,82
217.267,81
218.277,81
219.287,81
220.297,80
222.317,72
224.337,70
225.347,62
226.357,54
229.387,53
231.407,38
233.427,21
234.437,8
235.447,8
236.457,1
243.527,2
244.537,9
246.557,11
248.577,22
250.597,1
251.607,11
252.617,22
253.627,23
255.647,21
257.667,33
258.677,39
259.687,44
260.697,44
261.707,33
263.727,17
264.737,17
266.757,23
268.777,12
269.787,6
281.907,2
283.927,6
285.947,7
287.967,2
288.977,5
289.987,9
293.017,3
295.037,7
297.057,7
299.077,12
300.087,9
301.097,14
303.117,39
304.127,37
306.147,49
308.167,75
309.177,78
310.187,68
311.197,53
312.207,20
315.237,32
317.257,3
319.277,1
320.287,15
321.297,30
323.317,44
325.337,47
326.347,52
327.357,64
328.367,72
330.387,60
332.407,49
334.427,56
336.447,51
338.467,63
339.477,65
341.497,72
343.517,60
345.537,36
347.557,3
355.637,10
356.647,18
358.667,15
359.677,8
375.837,2
377.857,12
378.867,35
379.877,30
380.887,18
381.897,12
382.907,2
390.977,27
392.997,55
396.027,50
398.047,35
400.067,32
401.077,21
402.087,14
404.107,33
405.117,41
406.127,41
407.137,40
409.157,32
411.177,25
413.197,12
415.217,6
417.237,7
418.247,16
420.267,26
422.287,28
424.307,24
428.347,31
429.357,37
430.367,44
431.377,46
433.397,33
435.417,35
437.437,25
438.447,19
440.467,9
442.487,4
443.497,28
444.507,43
446.527,56
448.547,52
449.557,46
450.567,40
451.577,40
453.597,40
456.627,40
457.637,48
459.657,70
461.677,73
462.687,71
464.707,64
466.727,60
468.747,65
470.767,76
472.787,88
473.797,90
475.817,95
477.837,101
479.857,98
481.877,99
483.897,95
486.927,89
488.947,86
489.957,84
490.967,82
492.987,56
493.997,44
496.017,27
497.027,20
498.037,11
499.047,2
504.097,19
506.117,3
508.137,11
511.167,5
512.177,11
514.197,13
515.207,38
517.227,46
519.247,44
521.267,49
