df_hash,22ZHK4.6M747Q
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.CN3T
person_label,V72
date_time_start,2025-11-03_12-57-37.237000_+03
date_time_start_unix,1762160257.237
date_time_end,2025-11-03_13-06-23.614000_+03
length_difference_noticed,no

time,omega
52.296,0.781
52.931,0.778
63.125,0.771
64.915,0.763
64.970,0.759
66.768,0.755
66.824,0.759
68.045,0.763
69.505,0.760
80.083,0.763
80.624,0.768
81.170,0.760
83.005,0.768
83.061,0.773
87.685,0.773
90.829,0.773
91.345,0.776
93.145,0.776
95.290,0.773
96.172,0.765
96.607,0.773
98.114,0.773
101.294,0.787
105.774,0.805
106.947,0.806
108.749,0.806
109.873,0.802
111.673,0.802
112.258,0.802
113.532,0.793
114.015,0.793
115.239,0.798
118.387,0.798
119.613,0.798
119.719,0.798
121.521,0.789
122.061,0.789
124.450,0.789
128.235,0.789
130.500,0.797
131.118,0.789
131.765,0.780
135.565,0.772
136.746,0.758
138.044,0.751
140.923,0.751
141.464,0.757
142.727,0.757
143.266,0.746
143.948,0.757
144.725,0.764
146.280,0.761
149.458,0.775
154.773,0.772
156.088,0.772
159.448,0.772
159.983,0.772
164.132,0.782
164.961,0.794
165.348,0.794
166.083,0.794
166.761,0.794
169.697,0.794
170.463,0.800
170.954,0.800
175.929,0.800
176.606,0.800
177.050,0.800
179.629,0.809
181.341,0.804
182.745,0.803
183.483,0.803
184.119,0.793
184.747,0.793
185.499,0.784
185.964,0.772
192.453,0.766
193.282,0.766
193.574,0.766
195.476,0.759
196.207,0.766
196.548,0.769
197.379,0.772
198.260,0.769
200.200,0.772
201.375,0.776
202.054,0.772
203.468,0.772
203.866,0.772
204.638,0.776
205.323,0.783
206.835,0.792
208.248,0.792
208.635,0.795
210.110,0.791
210.594,0.791
211.279,0.791
211.721,0.791
215.277,0.781
217.661,0.781
218.782,0.781
219.316,0.791
223.769,0.791
230.126,0.796
262.309,0.796
293.714,0.796
294.708,0.805
306.235,0.805
