df_hash,22ZHK4.6M747Q
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.CN3T
person_label,V72
date_time_start,2025-11-03_12-57-37.237000_+03
date_time_start_unix,1762160257.237
date_time_end,2025-11-03_13-06-23.614000_+03
length_difference_noticed,no

time,temperature
384.718,36.531
385.693,36.531
386.716,36.531
387.840,36.562
388.744,36.625
389.691,36.594
390.714,36.531
391.689,36.531
392.713,36.594
393.786,36.594
394.712,36.656
395.709,36.719
396.722,36.719
397.726,36.688
398.709,36.688
399.684,36.750
400.708,36.750
401.683,36.750
402.759,36.750
404.026,36.719
404.706,36.750
405.787,36.750
406.856,36.781
407.849,36.781
408.703,36.750
409.678,36.719
410.702,36.750
411.726,36.750
412.729,36.781
413.731,36.812
414.699,36.812
415.675,36.812
416.709,36.812
417.673,36.844
418.697,36.875
419.772,36.875
420.696,36.844
421.719,36.844
422.694,36.875
423.718,36.875
424.793,36.875
425.671,36.844
426.696,36.812
427.861,36.844
428.691,36.781
429.720,36.812
430.716,36.812
431.713,36.844
432.688,36.812
433.712,36.812
435.050,36.781
435.760,36.812
436.689,36.812
437.709,36.938
438.733,36.938
439.708,36.969
440.753,36.969
441.707,37.000
442.682,37.000
443.706,37.000
444.683,37.000
445.704,37.000
446.680,37.031
447.703,36.875
448.678,36.875
449.897,36.812
450.677,36.844
451.837,36.844
452.676,36.844
453.699,36.875
454.682,36.844
455.698,36.812
456.673,36.844
457.723,36.844
458.672,36.844
459.753,36.875
460.674,36.875
461.695,36.875
462.970,36.875
463.693,36.844
464.668,36.875
465.938,36.875
466.668,36.875
467.691,36.875
468.863,36.875
469.690,36.875
470.739,36.875
471.737,36.844
472.664,36.844
473.732,36.844
474.665,36.812
475.686,36.844
476.710,36.781
477.685,36.781
478.708,36.781
479.684,36.781
480.707,36.781
481.682,36.781
482.714,36.812
483.681,36.844
484.717,36.875
485.874,36.875
486.704,36.938
487.678,36.906
488.713,36.906
489.684,36.906
490.756,36.938
491.685,36.906
492.700,36.906
493.726,36.875
494.705,36.906
495.684,36.844
496.697,36.844
497.672,36.875
498.696,36.875
499.678,36.875
500.698,36.875
501.721,36.906
502.696,36.906
503.866,36.906
504.692,36.812
505.865,36.812
506.691,36.750
507.766,36.625
508.690,36.531
509.665,36.406
510.983,36.250
512.056,36.062
512.687,35.906
513.717,35.688
514.686,35.562
515.767,35.375
516.685,35.219
517.757,35.062
518.711,34.875
519.719,34.750
520.712,34.656
