df_hash,22ZHK4.6M747Q
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.CN3T
person_label,V72
date_time_start,2025-11-03_12-57-37.237000_+03
date_time_start_unix,1762160257.237
date_time_end,2025-11-03_13-06-23.614000_+03
length_difference_noticed,no

time,rr_int
9.779,4300
9.782,675
9.786,20
9.877,20
10.754,15
10.757,850
10.855,10
10.904,140
10.911,10
10.941,20
11.008,65
11.095,15
11.101,10
11.106,10
11.110,10
11.290,20
11.296,35
11.301,25
11.306,220
11.973,690
12.753,10
13.240,655
13.290,625
13.923,10
14.217,655
14.222,275
14.227,20
14.232,10
14.264,10
14.508,20
15.191,260
15.973,640
15.977,660
16.458,10
16.506,675
16.701,10
16.706,305
16.946,10
16.951,20
17.677,325
18.261,600
18.359,590
18.505,10
18.510,240
18.652,155
18.658,10
18.965,230
18.968,10
19.627,675
20.358,10
20.922,625
21.431,575
22.113,615
22.851,660
22.993,705
23.527,10
24.063,655
24.648,635
25.332,580
26.013,715
26.744,625
26.754,690
27.280,10
27.284,605
27.865,10
27.869,580
28.548,10
29.084,620
30.013,600
30.352,625
30.888,620
30.892,595
31.571,10
32.204,615
32.210,650
32.838,10
33.666,665
33.670,620
34.110,220
34.449,355
34.667,10
35.226,610
35.909,610
36.591,685
36.884,665
37.176,225
37.181,355
37.764,10
38.395,580
38.399,600
39.030,10
39.522,565
40.102,605
40.785,595
41.320,580
41.906,615
42.588,605
42.912,635
43.125,260
43.709,325
43.712,590
44.245,10
44.249,570
44.831,10
45.514,565
45.659,585
46.049,185
46.344,430
46.731,215
46.743,340
47.171,10
47.877,610
47.880,635
48.633,10
49.124,670
49.725,640
50.391,565
50.928,610
51.515,595
52.192,610
52.874,665
52.878,640
53.558,10
53.562,660
53.565,15
54.678,15
54.682,1145
55.117,10
55.120,465
55.660,10
56.239,495
56.335,535
56.342,215
56.483,15
56.498,15
57.213,260
57.752,540
58.362,555
59.024,595
59.553,635
60.138,595
60.141,540
60.723,10
61.210,560
61.942,595
62.483,610
63.014,635
63.063,570
63.600,10
64.525,555
64.818,585
64.917,600
65.403,10
66.086,630
66.720,610
66.770,590
67.354,10
68.035,640
68.747,700
69.458,710
69.506,695
69.986,10
70.571,575
71.253,630
71.798,585
71.939,615
72.375,10
72.911,545
73.648,615
74.178,620
74.862,640
75.592,710
76.275,610
76.957,690
77.639,710
78.247,715
78.911,640
79.592,585
80.028,580
80.573,575
80.860,590
81.686,305
82.222,845
82.953,565
83.050,650
83.660,10
84.318,735
85.050,645
85.732,715
85.737,750
86.415,10
86.999,650
87.537,625
88.072,525
88.657,565
89.342,560
90.023,605
90.760,720
91.289,670
91.348,675
92.170,10
92.704,685
92.947,680
93.922,320
94.614,920
95.189,630
95.897,660
96.555,650
96.744,650
96.847,340
96.852,10
96.899,10
96.902,30
97.140,220
97.968,630
98.115,195
98.131,15
98.412,40
98.944,355
99.480,610
100.211,555
100.601,690
101.234,445
101.240,600
101.434,10
101.722,175
102.259,300
102.697,520
102.701,505
103.234,10
103.822,510
104.382,525
104.940,570
105.622,630
106.310,700
106.889,630
107.440,580
107.962,585
108.693,595
109.230,605
109.769,605
110.351,565
110.936,555
111.618,590
112.155,625
113.132,635
113.434,640
113.958,595
114.543,550
115.079,565
115.671,580
115.762,575
116.347,10
116.884,630
117.566,605
117.569,665
118.305,10
118.346,665
118.979,10
119.516,695
119.618,650
120.199,10
120.783,585
121.319,610
122.051,595
122.587,630
123.174,610
123.321,565
123.859,10
124.401,615
125.276,590
125.286,675
125.659,10
126.195,630
126.926,555
127.462,625
128.152,620
128.730,630
129.266,615
129.851,575
130.390,575
131.071,585
131.707,615
132.338,635
132.489,625
132.635,185
132.645,15
132.652,15
132.873,15
133.459,330
134.048,580
134.678,590
135.409,635
135.945,700
136.725,685
137.213,605
137.946,650
138.431,595
139.016,555
139.552,605
140.139,585
140.820,590
141.356,620
141.941,570
142.672,630
143.221,620
143.896,650
144.476,635
144.726,570
145.012,10
145.744,605
146.257,615
146.962,620
147.499,640
148.109,570
148.620,570
149.302,585
149.595,625
149.888,265
150.716,360
151.106,885
151.545,305
152.083,505
152.520,500
153.063,495
153.595,500
154.031,515
154.732,545
155.298,610
156.035,640
156.274,670
156.277,190
156.323,15
156.326,10
156.329,10
156.713,20
157.253,370
157.941,650
158.468,645
159.199,630
159.738,625
159.886,605
160.325,180
160.865,385
161.393,540
161.982,575
162.660,595
163.343,700
164.078,700
164.759,645
165.295,650
166.029,685
166.706,675
167.279,645
167.925,635
168.559,585
169.047,590
169.631,590
170.314,590
170.850,665
171.435,570
171.581,615
172.123,10
172.664,600
173.385,575
173.532,650
173.922,210
174.604,400
175.189,655
175.888,660
176.456,645
177.019,610
177.724,555
178.260,575
178.845,585
179.479,620
180.064,670
180.795,630
181.283,645
181.287,630
182.014,10
182.697,675
183.379,690
184.017,630
184.500,590
185.187,595
185.771,620
186.353,600
186.902,575
187.035,605
187.041,10
187.046,10
187.084,20
187.090,20
187.096,20
187.101,15
187.282,15
187.425,20
188.107,445
188.839,630
189.375,645
189.380,605
189.911,10
190.497,570
191.035,575
191.718,605
192.349,640
193.031,630
193.519,585
194.153,600
194.642,585
195.371,605
195.908,620
196.445,625
197.198,565
197.711,580
198.249,585
198.297,630
