df_hash,22ZHK4.QGNKHU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.M000
person_label,V84
date_time_start,2025-11-03_17-16-01.922000_+03
date_time_start_unix,1762175761.922
date_time_end,2025-11-03_17-24-49.400000_+03
length_difference_noticed,no

time,temperature
5.229,32.281
6.203,32.312
7.227,32.375
8.201,32.438
9.225,32.438
10.249,32.469
11.233,32.531
12.205,32.562
13.225,32.594
14.198,32.594
15.221,32.750
16.213,32.812
17.220,32.812
18.195,32.844
19.218,32.875
20.391,32.906
21.217,32.938
22.195,32.906
23.230,32.938
24.190,32.969
25.214,32.906
26.189,32.906
27.213,32.969
28.188,32.969
29.211,33.031
30.186,33.062
31.259,33.094
32.336,33.156
33.209,33.219
34.184,33.219
35.207,33.156
36.280,33.188
37.206,33.250
38.181,33.281
39.204,33.312
40.179,33.344
41.256,33.344
42.178,33.344
43.204,33.344
44.250,33.375
45.237,33.406
46.175,33.406
47.216,33.375
48.191,33.375
49.249,33.406
50.172,33.406
51.196,33.438
52.332,33.438
53.216,33.438
54.223,33.469
55.193,33.531
56.217,33.469
57.584,33.531
58.216,33.531
59.190,33.562
60.214,33.531
61.237,33.594
62.407,33.688
63.188,33.719
64.213,33.719
65.198,33.719
66.212,33.844
67.333,33.812
68.231,33.844
69.184,33.844
70.256,33.875
71.182,33.875
72.206,33.781
73.476,33.781
74.206,33.812
75.185,33.844
76.229,33.812
77.226,33.844
78.202,33.844
79.177,33.875
80.205,33.875
81.470,33.875
82.198,33.906
83.179,33.938
84.198,33.969
85.174,33.969
86.245,34.000
87.369,34.031
88.389,34.031
89.218,34.031
90.440,34.094
91.169,34.125
92.195,34.125
93.216,34.156
94.192,34.188
95.174,34.219
96.189,34.219
97.213,34.250
98.259,34.281
99.179,34.281
100.235,34.250
101.412,34.250
102.185,34.250
103.209,34.219
104.339,34.156
105.216,34.094
106.232,34.094
107.212,34.062
108.181,34.062
109.204,34.062
110.378,34.094
111.257,34.125
112.227,34.125
113.245,34.156
114.177,34.219
115.204,34.406
116.181,34.438
117.226,34.469
118.515,34.469
119.209,34.469
120.173,34.500
121.449,34.500
122.172,34.500
123.200,34.500
124.177,34.531
125.194,34.406
126.220,34.406
127.193,34.438
128.168,34.438
129.216,34.438
130.179,34.438
131.241,34.438
132.196,34.469
133.195,34.469
134.164,34.469
135.187,34.500
136.603,34.500
137.186,34.469
138.433,34.469
139.185,34.500
140.160,34.500
141.239,34.469
142.453,34.469
143.182,34.469
144.157,34.500
145.181,34.500
146.253,34.500
147.425,34.562
148.193,34.562
149.178,34.562
150.202,34.594
151.177,34.656
152.603,34.625
153.175,34.594
154.199,34.562
155.174,34.562
156.197,34.625
157.195,34.562
158.260,34.562
159.414,34.594
160.197,34.594
161.170,34.625
162.221,34.656
163.217,34.688
164.192,34.781
165.167,34.812
166.191,34.781
167.166,34.844
168.192,34.844
169.165,34.844
170.211,34.812
171.164,34.812
172.191,34.844
173.603,34.812
174.189,34.781
175.161,34.781
176.184,34.781
177.159,34.781
178.183,34.781
179.158,34.781
180.283,34.812
181.157,34.812
182.180,34.812
183.155,34.844
184.328,34.812
185.397,34.812
186.178,34.844
187.152,34.875
188.176,34.844
189.398,34.875
190.175,34.906
191.151,34.906
192.234,34.906
193.150,34.875
194.464,34.875
195.147,34.875
196.173,34.875
197.146,34.844
198.170,34.875
199.198,34.844
200.168,34.844
201.292,34.812
202.166,34.812
203.205,34.844
204.166,34.844
205.196,34.812
206.166,34.812
207.188,34.875
208.401,34.875
209.257,34.906
210.263,34.906
211.185,35.000
212.308,35.000
213.184,34.969
214.159,35.000
215.183,35.000
216.158,35.031
217.279,35.000
218.156,35.000
219.180,35.000
220.196,35.000
221.179,34.969
222.251,34.938
223.226,34.969
224.152,35.000
225.176,35.000
226.346,35.000
227.175,35.062
228.151,35.031
229.174,34.969
230.175,35.000
231.321,34.969
232.150,35.000
233.171,35.031
234.146,35.031
235.170,35.031
236.145,35.031
237.168,35.000
238.240,35.000
239.221,35.062
240.196,35.062
241.167,35.094
242.435,35.062
243.169,35.031
244.139,35.062
245.166,35.062
246.186,35.062
247.210,35.031
248.185,35.031
249.160,35.000
250.184,35.000
251.256,35.000
252.183,34.969
253.218,34.938
254.182,34.875
255.157,34.875
256.180,34.875
257.155,34.906
258.236,34.938
259.157,34.938
260.178,34.938
261.201,34.938
262.380,35.031
263.397,35.062
264.174,35.125
265.203,35.094
266.248,35.125
267.148,35.094
268.321,35.062
269.185,35.062
270.179,35.031
271.147,35.031
272.169,35.000
273.296,34.969
274.168,34.969
275.195,34.969
276.167,34.969
277.142,35.000
278.165,35.031
279.165,35.031
280.170,35.062
281.141,35.062
282.163,35.062
283.138,35.094
284.434,35.094
285.137,35.094
286.161,35.094
287.173,35.062
288.159,35.062
289.134,35.062
290.158,35.031
291.133,35.031
292.157,34.969
293.132,35.000
294.155,34.969
295.153,34.938
296.154,34.906
297.183,34.906
298.201,34.875
299.200,34.875
300.395,34.875
301.175,34.781
302.150,34.781
303.211,34.750
304.151,34.812
305.173,34.812
306.148,34.844
307.172,34.844
308.195,34.812
309.174,34.812
310.145,34.781
311.169,34.875
312.144,34.875
313.171,34.875
314.143,34.844
315.166,34.844
316.534,34.812
317.214,34.812
318.143,34.781
