df_hash,22ZHK4.QGNKHU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.M000
person_label,V84
date_time_start,2025-11-03_17-16-01.922000_+03
date_time_start_unix,1762175761.922
date_time_end,2025-11-03_17-24-49.400000_+03
length_difference_noticed,no

time,omega
39.792,0.568
41.550,0.575
42.771,0.571
43.408,0.575
44.018,0.575
45.259,0.575
45.795,0.575
46.616,0.575
48.472,0.574
49.154,0.574
49.208,0.574
52.226,0.573
54.222,0.573
54.709,0.571
55.391,0.568
55.988,0.566
57.392,0.563
58.573,0.563
59.050,0.563
59.742,0.566
60.360,0.566
61.043,0.560
62.070,0.552
62.171,0.550
62.669,0.546
64.461,0.542
64.513,0.541
65.729,0.541
66.947,0.541
67.045,0.540
68.118,0.540
68.755,0.540
70.064,0.540
70.654,0.539
76.112,0.539
76.839,0.540
77.574,0.540
78.063,0.540
78.987,0.540
79.715,0.540
80.204,0.540
81.623,0.539
82.351,0.537
87.520,0.537
88.296,0.542
89.910,0.546
90.639,0.546
91.366,0.546
95.172,0.542
95.711,0.542
96.393,0.537
97.801,0.537
98.925,0.540
99.071,0.540
100.384,0.534
101.121,0.534
101.801,0.538
102.485,0.538
102.536,0.532
103.849,0.532
104.623,0.529
105.214,0.529
105.945,0.532
106.535,0.529
107.161,0.525
107.947,0.525
109.792,0.529
111.892,0.532
112.721,0.533
113.159,0.533
113.842,0.533
114.573,0.533
115.395,0.533
115.596,0.533
121.059,0.533
123.199,0.533
124.617,0.533
126.470,0.533
127.101,0.533
127.639,0.533
128.274,0.534
129.783,0.534
131.590,0.531
132.714,0.531
133.482,0.534
134.128,0.534
136.072,0.534
136.953,0.537
138.163,0.531
138.760,0.531
140.086,0.528
140.656,0.531
141.440,0.531
142.158,0.531
142.606,0.531
143.380,0.531
143.436,0.535
144.604,0.535
145.385,0.537
147.767,0.535
147.871,0.537
149.038,0.537
149.720,0.544
150.415,0.544
150.990,0.540
151.671,0.537
152.164,0.538
152.255,0.534
154.157,0.534
156.254,0.537
156.916,0.539
158.202,0.539
158.257,0.539
159.473,0.539
160.155,0.539
162.107,0.537
164.838,0.538
165.316,0.539
167.022,0.539
168.088,0.541
170.000,0.539
170.732,0.539
171.368,0.539
172.632,0.539
173.224,0.540
174.591,0.540
175.411,0.540
176.536,0.540
178.680,0.544
179.022,0.544
181.013,0.544
181.066,0.539
183.064,0.541
183.743,0.541
184.185,0.533
184.870,0.533
185.506,0.537
187.940,0.529
189.796,0.525
191.009,0.525
192.396,0.526
193.544,0.526
194.037,0.526
195.003,0.529
195.348,0.529
195.982,0.537
196.572,0.532
197.441,0.532
197.932,0.532
198.514,0.532
199.197,0.532
201.150,0.531
202.913,0.529
208.162,0.529
208.216,0.529
210.216,0.531
210.996,0.531
211.481,0.531
212.307,0.531
213.531,0.531
214.116,0.531
214.896,0.531
215.384,0.526
216.066,0.522
216.760,0.522
217.431,0.522
219.238,0.522
221.728,0.522
222.454,0.522
222.989,0.522
223.720,0.522
224.253,0.522
225.038,0.526
225.574,0.526
226.875,0.526
228.014,0.523
229.811,0.523
232.348,0.527
233.565,0.527
233.807,0.523
234.928,0.527
235.522,0.527
237.366,0.527
238.591,0.531
247.996,0.527
250.486,0.521
250.970,0.521
253.066,0.527
258.334,0.519
263.841,0.527
265.982,0.527
274.902,0.528
275.153,0.528
294.067,0.543
341.643,0.625
342.178,0.625
342.767,0.625
345.843,0.644
347.054,0.663
349.101,0.691
360.408,0.659
368.015,0.643
373.167,0.625
373.863,0.623
374.892,0.623
375.423,0.629
376.158,0.623
376.658,0.609
377.475,0.603
377.915,0.603
380.702,0.603
381.032,0.606
381.568,0.606
382.105,0.603
383.323,0.593
385.858,0.593
392.370,0.593
394.729,0.593
394.978,0.593
396.236,0.602
396.779,0.602
396.845,0.602
400.044,0.602
401.849,0.602
416.734,0.604
417.448,0.604
417.945,0.606
418.569,0.612
419.151,0.618
439.396,0.612
440.701,0.605
441.237,0.599
445.389,0.610
446.016,0.618
449.574,0.629
452.106,0.618
452.850,0.612
453.472,0.612
461.715,0.612
462.543,0.621
463.189,0.621
463.858,0.621
464.491,0.621
465.032,0.612
465.707,0.604
466.402,0.591
466.787,0.577
468.635,0.576
469.996,0.572
477.118,0.570
478.488,0.574
478.775,0.579
483.847,0.574
484.235,0.570
488.620,0.564
493.674,0.564
501.981,0.564
515.196,0.564
516.114,0.564
517.977,0.556
518.423,0.562
520.753,0.567
