df_hash,22ZHK4.QGNKHU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.M000
person_label,V84
date_time_start,2025-11-03_17-16-01.922000_+03
date_time_start_unix,1762175761.922
date_time_end,2025-11-03_17-24-49.400000_+03
length_difference_noticed,no

time,perfusion_ir
39.552,0.130
41.547,0.140
42.768,0.140
43.404,0.140
44.004,0.130
45.255,0.130
45.792,0.130
46.568,0.130
48.468,0.130
49.148,0.130
49.203,0.130
52.222,0.130
54.218,0.130
54.705,0.130
55.351,0.130
55.976,0.130
57.389,0.130
58.564,0.130
59.047,0.130
59.738,0.130
60.274,0.130
60.994,0.130
62.066,0.130
62.167,0.130
62.665,0.130
64.455,0.130
64.510,0.130
65.725,0.130
66.944,0.130
67.041,0.130
68.114,0.120
68.752,0.120
70.061,0.120
70.649,0.120
76.108,0.120
76.802,0.120
77.379,0.120
78.059,0.120
78.984,0.120
79.472,0.120
80.200,0.130
81.620,0.130
82.348,0.130
87.516,0.130
88.292,0.130
89.906,0.130
90.635,0.140
91.273,0.140
95.169,0.140
95.704,0.140
96.386,0.140
97.703,0.140
98.921,0.150
99.068,0.150
100.354,0.150
101.115,0.150
101.798,0.150
102.482,0.150
102.532,0.150
103.845,0.150
104.511,0.150
105.211,0.150
105.941,0.150
106.531,0.150
107.157,0.150
107.940,0.150
109.752,0.150
111.888,0.150
112.717,0.150
113.156,0.150
113.838,0.150
114.570,0.150
115.351,0.150
115.593,0.160
121.054,0.150
123.195,0.150
124.611,0.150
126.464,0.150
127.095,0.150
127.634,0.150
128.271,0.150
129.778,0.150
131.584,0.150
132.710,0.150
133.438,0.150
134.123,0.150
136.067,0.150
136.943,0.150
138.020,0.150
138.751,0.150
140.082,0.150
140.653,0.150
141.434,0.140
142.071,0.140
142.602,0.140
143.376,0.140
143.433,0.140
144.598,0.140
145.381,0.140
147.764,0.140
147.867,0.140
149.034,0.140
149.717,0.140
150.399,0.140
150.983,0.140
151.667,0.140
152.160,0.140
152.251,0.140
154.154,0.140
156.251,0.140
156.882,0.140
158.196,0.140
158.251,0.140
159.469,0.140
160.152,0.140
162.101,0.140
164.832,0.140
165.302,0.140
166.828,0.140
168.064,0.140
169.995,0.140
170.727,0.140
171.363,0.140
172.628,0.140
173.213,0.140
174.588,0.140
175.407,0.140
176.532,0.150
178.676,0.150
179.018,0.150
181.010,0.150
181.062,0.150
183.060,0.150
183.740,0.140
184.181,0.140
184.867,0.140
185.500,0.140
187.936,0.140
189.792,0.140
191.006,0.140
192.389,0.140
193.540,0.140
194.033,0.140
194.812,0.140
195.344,0.130
195.978,0.130
196.560,0.130
197.438,0.130
197.928,0.130
198.511,0.130
199.193,0.130
201.146,0.130
202.908,0.130
208.117,0.130
208.212,0.130
210.213,0.130
210.993,0.130
211.477,0.140
212.169,0.140
213.528,0.140
214.113,0.140
214.892,0.140
215.380,0.140
216.063,0.140
216.757,0.140
217.428,0.140
219.235,0.140
221.724,0.140
222.449,0.140
222.985,0.140
223.716,0.150
224.249,0.150
225.032,0.150
225.567,0.150
226.869,0.140
228.006,0.140
229.807,0.140
232.344,0.140
233.561,0.140
233.615,0.140
234.790,0.140
235.516,0.140
237.363,0.140
238.588,0.140
247.992,0.140
250.482,0.140
250.966,0.130
253.063,0.130
258.330,0.130
263.836,0.130
265.978,0.130
274.610,0.130
275.149,0.130
294.064,0.130
341.639,0.170
342.174,0.170
342.764,0.170
345.837,0.180
347.050,0.180
349.098,0.180
360.364,0.190
367.770,0.190
373.163,0.200
373.646,0.200
374.885,0.210
375.420,0.220
376.154,0.220
376.655,0.220
377.470,0.210
377.912,0.210
380.696,0.210
381.028,0.210
381.565,0.210
382.101,0.210
383.317,0.210
385.854,0.210
392.338,0.200
394.724,0.200
394.975,0.200
396.191,0.200
396.776,0.200
396.833,0.200
400.041,0.190
401.845,0.190
416.713,0.190
417.444,0.190
417.942,0.190
418.566,0.190
419.148,0.190
439.388,0.190
440.698,0.190
441.234,0.190
445.384,0.190
446.012,0.190
449.570,0.190
452.102,0.190
452.834,0.190
453.467,0.190
461.711,0.190
462.539,0.190
463.183,0.190
463.854,0.190
464.487,0.190
465.028,0.190
465.703,0.190
466.392,0.190
466.782,0.180
468.631,0.180
469.902,0.180
477.111,0.170
478.479,0.170
478.771,0.170
483.843,0.160
484.231,0.160
488.616,0.160
493.637,0.160
501.976,0.150
515.192,0.150
516.111,0.150
517.971,0.150
518.414,0.150
520.750,0.150
