df_hash,22ZHK4.QGNKHU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.M000
person_label,V84
date_time_start,2025-11-03_17-16-01.922000_+03
date_time_start_unix,1762175761.922
date_time_end,2025-11-03_17-24-49.400000_+03
length_difference_noticed,no

time,acc_mag
15.998,0.992
16.028,0.995
16.058,0.999
16.088,0.998
16.118,0.995
16.148,0.995
16.178,0.992
16.208,0.996
16.238,1.001
16.268,0.997
16.298,0.999
16.328,0.994
16.358,0.992
16.388,0.989
16.418,0.996
16.448,1.001
16.478,0.999
16.508,0.993
16.538,0.994
16.568,0.992
16.598,0.996
16.628,1.000
16.658,0.989
16.688,0.992
16.718,0.994
16.748,0.991
16.778,0.999
16.808,0.992
16.838,0.993
16.868,0.996
16.898,0.994
16.928,1.000
16.958,0.997
16.988,0.993
17.018,0.998
17.048,0.995
17.078,0.991
17.108,0.994
17.138,0.995
17.168,1.001
17.198,0.992
17.228,0.994
17.258,0.995
17.288,0.998
17.318,0.992
17.348,1.001
17.378,0.991
17.408,0.991
17.438,0.996
17.468,0.996
17.498,0.993
17.528,0.994
17.558,0.993
17.588,0.996
17.618,0.999
17.648,0.997
17.678,0.995
17.708,0.995
17.738,0.992
17.768,0.996
17.798,0.994
17.828,0.997
17.858,1.000
17.888,0.993
17.918,0.991
17.948,0.994
17.978,0.999
18.008,0.995
18.038,1.001
18.068,0.990
18.098,0.994
18.128,0.995
18.158,0.994
18.188,0.997
18.218,0.994
18.248,0.997
18.278,0.991
18.308,0.997
18.338,0.997
18.368,0.998
18.398,0.997
18.428,0.994
18.458,0.994
18.488,0.997
18.518,0.992
18.548,0.996
18.578,0.997
18.608,0.993
18.638,0.993
18.668,0.991
18.698,1.000
18.728,0.998
18.758,0.983
18.788,0.992
18.818,0.997
18.848,0.994
18.878,0.994
18.908,0.990
18.938,0.991
18.968,0.992
18.998,0.998
19.028,0.996
19.058,0.985
19.088,0.992
19.118,0.997
19.148,1.000
19.178,0.989
19.208,0.991
19.238,0.992
19.268,1.002
19.298,0.997
19.328,0.996
19.358,0.998
19.388,0.995
19.418,0.987
19.448,0.999
19.478,0.997
19.508,0.990
19.538,0.998
19.568,0.996
19.598,0.996
19.628,0.998
19.658,0.988
19.688,0.992
19.718,0.995
19.748,0.993
19.778,0.994
19.808,0.992
19.838,0.995
19.868,0.997
19.898,1.004
19.928,0.997
19.958,0.994
19.988,0.988
20.018,0.993
20.048,0.992
20.078,1.005
20.108,1.000
20.138,0.995
20.168,0.997
20.198,0.991
20.228,0.995
20.258,0.999
20.288,0.991
20.318,0.994
20.348,0.996
20.378,0.999
20.408,0.996
20.438,0.991
20.468,0.991
20.498,0.995
20.528,0.996
20.558,0.991
20.588,0.994
20.618,0.999
20.648,0.992
20.678,0.993
20.708,0.992
20.738,1.003
20.768,1.003
20.798,0.998
20.828,0.999
20.858,0.995
20.888,0.993
20.918,1.003
20.948,1.001
20.978,0.996
21.008,0.995
21.038,0.998
21.068,0.997
21.098,0.995
21.128,0.996
21.158,0.998
21.188,0.994
21.218,0.998
21.248,0.995
21.278,0.993
21.308,0.999
21.338,0.992
21.368,0.995
21.398,0.995
21.428,0.999
21.458,0.998
21.488,1.000
21.518,0.993
21.548,0.993
21.578,0.993
21.608,0.994
21.638,0.996
21.668,0.995
21.698,0.993
21.728,0.998
21.758,0.994
21.788,0.994
21.818,0.990
21.848,0.995
21.878,0.997
21.908,0.999
21.938,0.998
21.968,0.998
21.998,0.990
22.028,0.990
22.058,0.998
22.088,0.994
22.118,1.002
22.148,1.000
22.178,0.998
22.208,0.998
22.238,0.995
22.268,0.992
22.298,1.000
22.328,0.993
22.358,0.994
22.388,0.994
22.418,0.997
22.448,0.994
22.478,0.999
22.508,0.991
22.538,0.995
22.568,0.995
22.598,0.998
22.628,0.999
22.658,0.994
22.688,0.992
22.718,0.995
22.748,0.992
22.778,0.999
22.808,0.998
22.838,0.993
22.868,0.996
22.898,0.999
22.928,0.994
22.958,0.992
22.988,0.992
23.018,0.996
23.048,0.992
23.078,0.994
23.108,0.997
23.138,0.994
23.168,0.993
23.198,0.991
23.228,0.997
23.258,0.999
23.288,0.999
23.318,0.996
23.348,0.998
23.378,0.994
23.408,0.992
23.438,0.998
23.468,1.000
23.498,0.993
23.528,0.998
23.558,0.995
23.588,0.992
23.618,0.996
23.648,0.999
23.678,0.991
23.708,0.995
23.738,0.997
23.768,0.993
23.798,0.994
23.828,0.996
23.858,0.997
23.888,0.993
23.918,0.998
23.948,0.997
23.978,0.999
24.008,0.996
24.038,0.987
24.068,0.993
24.098,0.994
24.128,1.004
24.158,0.996
24.188,0.993
24.218,0.999
24.248,0.995
24.278,0.996
24.308,0.998
24.338,0.987
24.368,0.998
24.398,0.997
24.428,0.998
24.458,0.999
24.488,0.995
24.518,0.994
24.548,1.000
24.578,0.998
24.608,0.998
24.638,0.996
24.668,1.000
24.698,0.992
24.728,0.989
24.758,0.995
24.788,0.996
24.818,1.003
24.848,0.995
24.878,0.995
24.908,0.992
24.938,0.990
24.968,0.992
24.998,1.001
25.028,0.987
25.058,0.991
25.088,0.995
25.118,0.994
25.148,0.993
25.178,0.995
25.208,0.998
25.238,0.996
25.268,1.000
25.298,0.997
25.328,0.998
25.358,1.003
25.388,0.994
25.418,0.994
25.448,0.987
25.478,1.002
25.508,1.000
25.538,0.997
25.568,0.997
25.598,0.995
25.628,0.995
25.658,0.997
25.688,0.994
25.718,0.996
25.748,0.994
25.778,0.991
25.808,0.993
25.838,0.991
25.868,0.997
25.898,0.994
25.928,1.003
25.958,0.995
25.988,0.998
26.018,0.999
26.048,0.994
26.078,0.994
26.108,0.993
26.138,1.006
26.168,0.999
26.198,0.994
26.228,0.998
26.258,0.994
26.288,0.997
26.318,0.999
26.348,0.987
26.378,0.993
26.408,0.994
26.438,0.995
26.468,0.998
26.498,0.994
26.528,0.996
26.558,0.994
26.588,0.996
26.618,0.998
26.648,0.999
26.678,0.995
26.708,0.992
26.738,0.994
26.768,0.995
26.798,0.997
26.828,1.001
26.858,0.997
26.888,0.996
26.918,0.995
26.948,0.992
26.978,0.991
27.008,1.000
27.038,0.991
27.068,0.996
27.098,0.999
27.128,0.994
27.158,0.992
27.188,0.990
27.218,0.995
27.248,0.999
27.278,0.993
27.308,0.998
27.338,0.996
27.368,0.991
27.398,0.991
27.428,0.998
27.458,0.993
27.488,1.005
27.518,0.995
27.548,0.995
27.578,0.995
27.608,0.994
27.638,0.997
27.668,0.998
27.698,0.986
27.728,0.997
27.758,0.999
27.788,0.994
27.818,0.993
27.848,0.993
27.878,0.996
27.908,0.997
27.938,0.999
27.968,0.998
27.998,0.992
28.028,0.995
28.058,0.992
28.088,0.995
28.118,0.993
28.148,1.004
28.178,0.994
28.208,0.991
28.238,0.993
28.268,0.998
28.298,0.995
28.328,1.000
28.358,0.991
28.388,0.994
28.418,0.997
28.448,0.997
28.478,0.996
28.508,0.997
28.538,0.990
28.568,0.999
28.598,0.992
28.628,0.997
28.658,0.999
28.688,1.003
28.718,0.998
28.748,0.995
28.778,0.997
28.808,0.989
28.838,0.995
28.868,1.000
28.898,1.000
28.928,0.996
28.958,0.993
28.988,0.992
29.018,1.001
29.048,0.998
29.078,0.990
29.108,0.992
29.138,1.002
29.168,1.000
29.198,0.992
29.228,0.996
29.258,0.995
29.288,0.996
29.318,0.997
29.348,0.992
29.378,0.996
29.408,1.000
29.438,0.998
29.468,0.994
29.498,0.990
29.528,0.991
29.558,0.992
29.588,1.004
29.618,0.996
29.648,0.998
29.678,0.994
29.708,0.994
29.738,0.992
29.768,0.993
29.798,0.984
29.828,0.992
29.858,0.990
29.888,0.998
29.918,0.998
29.948,0.995
29.978,0.982
30.008,0.984
30.038,0.982
30.068,0.987
30.098,1.000
30.128,0.995
30.158,0.991
30.188,0.992
30.218,1.001
30.248,0.997
30.278,1.000
30.308,0.984
30.338,0.999
30.368,0.999
30.398,0.999
30.428,0.995
30.458,0.992
30.488,0.997
30.518,0.995
30.548,0.999
30.578,0.997
30.608,0.999
30.638,0.984
30.668,0.996
30.698,0.991
30.728,0.994
30.758,0.994
30.788,0.979
30.818,0.985
30.848,0.995
30.878,0.991
30.908,0.994
30.938,1.002
30.968,0.999
30.998,0.992
31.028,0.992
31.058,0.998
31.088,0.994
31.118,0.990
31.148,0.993
31.178,0.997
31.208,0.998
31.238,0.983
31.268,0.988
31.298,1.000
31.328,0.986
31.358,0.982
31.388,1.002
31.418,1.001
31.448,0.993
31.478,0.984
31.508,0.990
31.538,1.004
31.568,1.001
31.598,1.004
31.628,1.004
31.658,0.980
31.688,0.976
31.718,0.989
31.748,0.989
31.778,0.989
31.808,0.992
31.838,1.000
31.868,0.988
31.898,1.002
31.928,1.006
31.958,0.991
31.988,0.992
32.018,0.988
32.048,0.993
32.078,0.987
32.108,0.991
32.138,0.992
32.168,0.983
32.198,0.998
