df_hash,22ZHK4.QGNKHU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.M000
person_label,V84
date_time_start,2025-11-03_17-16-01.922000_+03
date_time_start_unix,1762175761.922
date_time_end,2025-11-03_17-24-49.400000_+03
length_difference_noticed,no

time,ppg_quality
57.638,82
59.658,80
60.668,80
61.678,78
63.698,79
65.718,80
66.728,78
67.738,79
68.748,80
70.768,80
72.788,83
74.808,87
76.828,89
78.848,91
79.858,90
81.878,90
83.898,65
85.918,51
86.928,48
87.938,48
89.958,49
91.978,51
92.988,62
93.998,74
95.008,83
97.028,89
98.038,89
99.048,88
101.068,85
103.088,84
105.108,85
106.118,88
107.128,88
108.138,90
110.158,92
111.168,92
112.178,93
114.198,93
116.218,92
117.228,82
119.248,64
121.268,57
123.288,53
125.308,52
127.328,60
129.348,77
131.368,82
132.378,84
134.398,86
135.408,84
136.418,87
137.428,86
138.438,89
140.458,89
142.478,89
143.488,87
144.498,87
145.508,86
147.528,85
149.548,85
151.568,86
153.588,86
154.598,84
156.618,86
157.628,86
158.638,87
159.648,86
160.658,88
161.668,85
162.678,87
164.698,87
166.718,87
167.728,86
168.738,88
170.758,90
171.768,90
172.778,88
173.788,89
175.808,90
177.828,89
179.848,85
180.858,82
181.868,84
183.888,82
184.898,84
185.908,81
186.918,83
188.938,82
189.948,81
190.958,82
192.978,80
194.998,78
197.018,77
198.028,78
200.048,79
202.068,79
203.078,80
204.088,84
206.108,89
208.128,92
210.148,92
211.158,95
213.178,96
215.198,91
217.218,89
219.238,88
221.258,83
223.278,79
224.288,78
226.308,76
227.318,76
228.328,74
230.348,74
232.368,77
234.388,79
236.408,79
237.418,79
239.438,80
240.448,67
241.458,71
242.468,73
243.478,74
245.498,63
246.508,62
247.518,62
248.528,61
250.548,64
251.558,55
252.568,50
253.578,46
254.588,46
256.608,46
258.628,44
259.638,46
260.638,45
261.648,46
263.668,35
264.678,32
265.688,30
266.698,27
267.708,22
269.728,19
270.738,24
272.758,35
273.768,39
275.788,46
276.798,48
277.808,51
278.818,54
280.838,71
282.858,88
283.868,95
285.888,107
286.898,112
289.928,85
290.938,82
291.948,83
293.968,64
295.988,49
298.008,42
299.018,56
300.028,60
301.038,57
303.058,45
304.068,47
305.078,44
307.098,33
309.118,23
311.138,28
313.158,28
314.168,20
316.188,31
317.198,36
318.208,39
320.228,32
322.248,28
323.258,37
324.268,45
325.278,49
326.288,53
327.298,54
329.318,38
331.338,27
333.358,12
334.368,12
335.378,8
336.388,7
337.398,10
339.418,16
340.428,22
342.448,37
343.458,43
344.468,47
346.488,52
347.498,55
349.518,72
350.528,80
352.548,84
354.568,68
355.578,63
357.598,55
359.618,49
360.628,49
362.648,48
363.658,51
365.678,58
366.688,60
367.698,54
368.708,48
370.728,48
372.748,43
374.768,44
375.778,41
376.788,45
377.798,51
379.818,64
381.838,60
383.858,57
385.878,56
387.898,47
388.908,40
389.918,35
390.928,33
391.938,34
392.948,36
394.968,37
396.988,47
397.998,52
399.008,59
400.018,60
401.028,63
403.048,61
404.058,57
405.068,51
406.078,40
408.098,20
410.118,23
412.138,22
413.148,24
414.158,25
416.178,44
417.188,58
418.198,67
419.208,70
421.228,68
423.248,74
425.268,63
426.278,53
427.288,43
429.308,31
430.318,37
432.338,53
433.348,60
434.358,64
436.378,85
438.398,94
440.418,86
441.428,82
443.448,72
445.468,68
446.478,63
447.488,66
449.508,84
451.528,87
453.548,84
455.568,91
456.578,96
458.598,94
460.618,70
462.638,60
463.648,68
465.668,68
466.678,65
469.708,62
470.718,76
471.728,80
473.748,82
475.768,82
476.778,82
478.798,82
479.808,83
482.838,81
483.848,75
484.858,71
485.868,70
486.878,70
488.898,68
491.928,61
492.938,57
493.948,53
495.968,44
497.988,44
500.008,25
502.028,25
504.048,24
505.058,24
506.068,30
508.088,40
509.098,51
511.118,81
512.128,85
513.138,95
515.158,86
516.168,88
518.178,87
519.188,85
522.218,76
524.238,94
