df_hash,22ZHK4.QGNKHU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.M000
person_label,V84
date_time_start,2025-11-03_17-16-01.922000_+03
date_time_start_unix,1762175761.922
date_time_end,2025-11-03_17-24-49.400000_+03
length_difference_noticed,no

time,quality
14.782,60
15.663,85
16.834,86
17.756,89
18.588,87
19.807,82
20.684,79
21.610,80
22.780,79
23.800,75
24.875,68
26.045,80
26.680,89
27.846,86
28.727,89
29.893,86
30.531,81
31.780,79
32.679,71
33.513,65
34.723,67
35.602,82
36.505,82
37.697,82
38.575,84
39.502,85
40.716,91
41.598,85
42.714,82
43.643,81
44.813,81
45.447,74
47.006,76
47.542,82
48.725,72
49.639,74
50.562,83
51.683,87
52.614,85
53.636,88
54.368,86
55.632,90
56.607,90
57.590,89
58.606,90
59.458,89
60.409,92
61.535,88
62.602,87
63.338,89
64.853,87
65.385,88
66.701,90
67.967,93
68.452,88
69.576,89
70.454,90
71.616,88
72.449,79
73.721,84
74.548,88
75.234,85
76.450,76
77.330,80
78.210,74
79.426,63
80.446,66
81.179,82
82.397,78
83.274,49
84.153,46
85.371,46
86.320,46
87.176,44
88.439,46
89.465,74
90.198,70
91.661,45
92.246,49
93.137,64
94.583,76
95.314,71
96.141,77
97.265,78
98.239,87
99.163,93
100.333,92
101.408,94
102.043,91
103.653,91
104.333,86
105.162,89
106.426,86
107.206,83
108.038,82
109.451,86
110.085,85
111.252,86
112.242,84
113.240,83
113.985,74
115.199,75
116.176,79
116.960,62
118.178,62
119.198,63
119.976,47
121.444,46
122.074,44
122.906,54
124.170,48
125.004,73
125.930,78
127.146,76
128.061,75
128.956,79
130.171,87
130.952,85
132.022,86
133.189,86
133.973,85
135.141,79
136.168,75
136.993,83
137.824,88
138.993,89
139.919,88
140.797,92
142.017,89
142.892,92
143.770,89
144.992,89
145.866,90
147.087,89
148.011,90
148.840,88
149.775,91
151.084,91
151.814,90
152.740,91
153.909,87
154.836,86
155.810,85
157.186,88
158.004,88
158.690,90
160.097,88
160.783,86
161.734,85
162.879,85
163.758,85
164.679,85
165.854,85
166.733,84
167.609,70
168.828,70
169.704,74
170.632,73
171.929,73
172.677,89
173.847,90
174.773,82
175.815,81
176.601,84
177.755,85
178.969,78
179.553,82
180.720,86
181.647,87
182.524,88
183.788,87
184.715,89
185.550,87
186.717,86
187.789,86
188.763,84
189.736,83
190.599,83
191.503,82
192.758,88
193.837,89
194.566,90
195.686,89
196.817,91
197.490,88
198.634,89
199.537,90
200.415,89
201.835,91
202.801,87
203.420,78
204.606,72
205.485,76
206.365,72
207.583,63
208.517,55
209.484,69
210.554,77
211.530,76
212.409,66
213.776,67
214.600,83
215.578,84
216.693,83
217.675,86
218.315,86
219.476,81
220.403,84
221.425,78
222.546,84
223.375,85
224.399,87
225.423,89
226.641,90
227.272,89
228.448,83
229.325,90
230.347,87
231.419,84
232.591,86
233.417,87
234.396,90
235.272,92
236.293,90
237.415,88
238.533,77
239.215,72
240.632,39
241.218,31
242.192,40
243.364,57
244.240,60
245.117,56
246.287,55
247.308,48
248.091,63
249.407,75
250.330,72
251.110,62
252.332,54
253.213,64
254.039,74
255.270,75
256.136,64
257.063,55
258.276,61
259.108,51
260.034,49
261.350,51
262.375,48
263.009,49
264.324,45
265.198,45
266.176,34
267.202,50
268.175,51
269.006,60
270.174,51
271.052,38
272.026,30
273.290,0
274.064,31
274.964,30
276.121,44
277.001,71
277.876,78
279.095,65
280.164,42
280.902,40
282.117,46
282.995,34
283.873,33
285.044,30
285.969,39
287.069,36
288.016,33
288.992,59
289.965,59
290.990,50
292.059,54
292.890,64
293.963,68
294.889,75
295.767,73
297.178,69
297.863,44
299.036,61
299.960,50
300.986,40
301.715,42
303.076,67
304.002,66
304.692,66
305.907,71
306.928,75
307.711,76
308.880,75
309.771,65
310.684,72
311.880,74
312.780,69
313.657,66
314.830,71
315.756,84
316.677,88
317.802,80
318.728,79
319.605,71
320.824,77
321.701,79
322.629,73
324.044,61
324.770,71
325.553,82
326.771,85
327.650,74
328.818,69
329.891,59
330.651,55
331.549,65
332.815,80
333.788,62
334.616,65
335.692,65
336.619,67
337.498,61
339.108,67
339.592,60
340.472,69
341.689,75
342.566,69
343.444,62
344.662,56
345.634,61
346.612,63
347.637,57
348.515,61
349.442,67
350.613,67
351.489,65
352.416,54
353.586,71
354.461,74
355.430,78
356.557,79
357.483,82
358.361,91
359.543,93
360.465,84
361.334,77
362.554,81
363.431,52
364.308,56
365.533,73
366.404,83
367.282,73
368.501,69
369.426,61
370.327,65
371.476,75
372.376,75
373.289,79
374.545,84
375.387,86
376.349,90
377.759,93
378.364,89
379.225,86
380.444,78
381.367,73
382.199,74
383.512,79
384.299,75
385.173,77
386.392,76
387.270,78
388.197,78
389.367,77
390.483,92
391.169,84
392.404,77
393.360,81
394.143,89
395.348,86
396.287,92
397.154,92
398.337,81
399.215,83
400.149,79
401.311,80
402.195,74
403.158,84
404.328,72
405.308,66
406.038,61
407.256,49
408.379,65
409.011,64
410.231,73
411.108,78
412.034,67
413.204,66
414.127,69
415.008,70
416.178,70
417.149,78
418.023,84
419.203,82
420.078,86
420.955,81
422.152,86
423.051,88
424.120,81
425.193,65
426.168,41
426.903,29
428.122,32
428.999,0
430.070,4
