df_hash,22ZHK4.7HTV1R
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BHA8
person_label,V76
date_time_start,2025-11-03_13-57-52.524000_+03
date_time_start_unix,1762163872.524
date_time_end,2025-11-03_14-06-10.311000_+03
length_difference_noticed,no

time,respiration_rate
48.028,17
52.688,18
57.318,18
61.348,18
65.938,18
70.668,18
75.398,18
80.878,18
84.928,18
94.458,19
99.188,19
103.628,17
108.308,17
112.798,17
117.358,17
122.078,17
126.108,17
130.888,16
135.418,16
140.038,17
144.698,18
150.018,20
190.888,21
195.658,20
200.478,18
205.188,18
209.768,18
213.868,18
218.018,18
224.088,18
