df_hash,22ZHK4.7HTV1R
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BHA8
person_label,V76
date_time_start,2025-11-03_13-57-52.524000_+03
date_time_start_unix,1762163872.524
date_time_end,2025-11-03_14-06-10.311000_+03
length_difference_noticed,no

time,omega
28.826,0.706
29.705,0.708
31.164,0.706
31.893,0.708
32.630,0.713
34.138,0.718
35.066,0.721
40.397,0.722
44.231,0.720
44.862,0.718
45.691,0.719
46.523,0.721
47.212,0.723
48.364,0.723
48.957,0.723
52.713,0.727
53.011,0.727
54.865,0.729
57.243,0.733
58.263,0.737
59.097,0.737
59.731,0.737
60.518,0.742
61.245,0.737
62.757,0.732
64.998,0.732
65.921,0.727
66.069,0.732
68.177,0.737
68.994,0.742
69.775,0.746
70.848,0.746
71.288,0.748
72.162,0.748
72.895,0.750
73.735,0.750
74.502,0.750
75.138,0.750
75.524,0.750
77.710,0.750
80.937,0.750
81.422,0.751
86.298,0.750
87.129,0.751
87.323,0.752
89.471,0.752
90.446,0.752
92.645,0.752
93.369,0.752
94.246,0.752
94.929,0.754
95.755,0.754
97.414,0.759
97.467,0.766
98.825,0.759
99.852,0.759
100.585,0.753
101.166,0.755
101.951,0.761
102.778,0.761
103.262,0.766
104.143,0.761
104.442,0.765
107.847,0.760
108.676,0.760
109.359,0.765
110.966,0.765
112.581,0.765
114.631,0.765
115.454,0.765
116.184,0.760
116.961,0.756
117.744,0.756
118.767,0.755
119.260,0.755
119.937,0.755
120.816,0.755
122.420,0.754
123.211,0.754
124.127,0.747
125.061,0.747
127.205,0.741
128.029,0.741
128.906,0.739
129.641,0.739
130.418,0.733
130.661,0.739
131.105,0.740
133.641,0.740
134.123,0.738
134.855,0.740
135.733,0.734
137.292,0.734
137.971,0.740
138.703,0.740
140.266,0.734
140.976,0.734
141.775,0.734
142.029,0.727
142.752,0.734
145.600,0.734
146.208,0.740
151.822,0.740
153.336,0.742
154.696,0.742
155.525,0.742
156.598,0.740
158.452,0.742
158.994,0.737
159.088,0.742
160.502,0.742
161.276,0.743
164.252,0.744
164.856,0.744
165.567,0.746
166.247,0.746
167.780,0.746
168.247,0.749
170.176,0.752
171.222,0.749
171.808,0.752
172.637,0.752
175.715,0.747
176.586,0.745
177.465,0.745
177.772,0.748
179.857,0.752
180.439,0.752
181.275,0.752
182.191,0.752
183.654,0.751
183.709,0.753
185.309,0.751
186.138,0.751
187.703,0.751
188.038,0.753
189.909,0.753
190.722,0.751
192.429,0.751
193.074,0.751
193.940,0.751
194.721,0.751
196.207,0.755
196.524,0.761
197.710,0.765
202.766,0.770
203.407,0.765
203.695,0.765
205.491,0.770
206.222,0.777
207.496,0.777
209.396,0.777
212.764,0.783
214.077,0.783
214.954,0.777
220.077,0.783
243.997,0.795
247.467,0.801
255.756,0.805
266.051,0.808
283.698,0.808
284.712,0.808
284.766,0.813
299.304,0.817
303.725,0.813
307.623,0.817
311.108,0.841
311.669,0.867
327.516,0.875
330.584,0.881
342.189,0.887
362.819,0.892
376.315,0.892
389.769,0.894
394.007,0.891
394.543,0.890
394.974,0.887
401.957,0.887
406.004,0.887
408.833,0.887
419.174,0.891
423.556,0.894
446.333,0.894
449.488,0.891
450.265,0.891
450.418,0.891
452.702,0.887
454.413,0.879
