df_hash,22ZHK4.7HTV1R
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BHA8
person_label,V76
date_time_start,2025-11-03_13-57-52.524000_+03
date_time_start_unix,1762163872.524
date_time_end,2025-11-03_14-06-10.311000_+03
length_difference_noticed,no

time,ppg_quality
57.658,84
59.678,92
60.688,94
61.698,93
62.708,91
63.718,90
65.738,87
68.768,85
69.778,82
70.788,83
72.808,84
74.828,85
75.838,84
77.858,85
79.878,93
81.898,94
83.918,93
85.938,96
87.958,94
89.978,85
90.988,82
93.008,88
95.028,85
97.048,89
98.058,87
99.068,89
100.078,90
101.078,90
103.098,86
104.108,86
106.128,80
108.148,80
110.168,78
112.188,79
114.208,81
116.228,85
117.238,89
119.258,89
121.278,89
123.298,84
125.318,85
127.338,82
130.368,83
132.388,86
133.388,89
134.398,90
136.418,89
138.438,87
139.448,85
140.458,85
142.478,85
143.488,83
145.508,84
147.528,79
149.548,61
151.568,35
153.588,31
154.598,31
156.618,31
158.638,47
160.658,72
162.678,90
164.698,85
167.728,82
169.748,81
171.768,78
172.778,77
173.788,76
174.798,79
175.808,80
176.818,79
178.838,78
179.848,80
180.858,80
182.878,80
184.898,80
185.908,80
186.918,84
187.928,85
188.938,83
189.948,82
191.968,86
193.988,90
196.008,91
198.028,87
199.038,76
200.048,63
201.058,61
203.078,61
205.098,59
207.118,61
209.138,74
210.148,86
211.158,88
212.168,88
214.188,91
216.208,87
218.228,89
220.248,68
222.268,57
223.278,54
225.298,55
227.318,51
229.338,44
231.358,47
233.378,47
234.388,28
235.398,14
238.428,13
241.458,18
242.468,14
243.478,9
245.498,48
246.508,46
248.528,29
249.538,27
251.558,45
252.568,58
254.588,25
255.598,15
256.608,15
257.618,13
258.628,16
259.638,8
260.648,1
264.688,12
266.708,26
267.718,30
269.738,37
270.748,45
272.768,42
273.778,34
274.788,18
275.798,12
277.818,34
279.838,37
281.858,37
283.878,47
285.898,48
286.908,48
288.928,85
290.948,100
292.968,111
294.988,108
297.008,125
300.038,50
302.058,62
304.078,65
305.088,65
306.098,49
308.118,48
309.128,59
310.138,54
311.148,50
313.168,46
315.188,42
317.208,87
318.218,100
319.228,93
321.248,104
322.258,93
324.278,77
326.298,66
327.308,50
328.318,36
329.328,40
330.338,39
332.358,45
333.368,56
335.388,66
337.408,75
339.428,69
340.438,73
342.458,64
343.468,42
344.478,31
345.488,15
352.558,6
354.578,49
356.598,84
357.608,98
359.628,92
361.648,58
363.668,45
365.688,29
370.738,28
372.758,42
374.778,30
376.798,52
377.808,55
379.828,58
380.838,55
381.848,52
383.868,68
385.888,65
387.908,71
389.928,58
390.938,57
392.958,51
394.978,44
396.998,19
399.018,42
401.038,24
402.048,18
404.068,37
406.088,52
408.108,41
409.118,41
410.128,54
412.148,91
413.158,90
414.168,94
417.198,91
418.208,93
419.218,94
421.238,89
422.248,79
423.258,57
425.278,15
433.358,14
434.368,36
435.378,56
436.388,67
438.408,79
441.438,94
442.448,85
443.458,65
445.478,52
446.488,49
447.498,43
448.508,41
449.518,35
451.538,33
452.548,42
454.568,67
456.588,83
458.608,88
461.638,100
462.648,99
463.658,96
465.678,94
467.698,94
469.718,84
470.728,83
471.738,81
472.748,77
473.758,76
476.788,77
478.808,65
480.828,63
482.848,44
484.868,22
485.878,7
487.898,1
