df_hash,22ZHK4.7HTV1R
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BHA8
person_label,V76
date_time_start,2025-11-03_13-57-52.524000_+03
date_time_start_unix,1762163872.524
date_time_end,2025-11-03_14-06-10.311000_+03
length_difference_noticed,no

time,rr_int
10.000,3975
10.293,1250
10.439,405
10.442,15
10.487,10
10.491,10
10.495,15
11.414,395
11.658,780
12.392,770
13.218,430
14.046,345
14.729,835
15.558,815
16.435,770
17.264,825
18.092,825
19.458,845
20.189,1400
21.059,740
22.237,785
22.870,1270
23.650,665
24.335,710
25.015,735
25.747,665
26.575,780
27.257,790
27.940,735
28.769,730
28.772,770
29.646,10
29.651,815
30.329,10
31.011,760
31.841,735
32.572,750
33.405,770
34.084,810
34.911,740
35.888,755
36.423,785
37.154,805
37.905,735
38.667,725
39.494,760
40.322,830
40.326,805
40.509,10
41.005,230
41.736,510
42.565,745
43.395,790
44.076,795
44.807,750
45.636,760
46.465,810
47.147,840
48.347,740
48.805,770
49.536,820
50.267,780
51.047,700
51.879,755
52.559,810
52.864,790
53.290,195
54.119,535
54.801,755
55.635,790
56.313,770
57.141,770
58.019,820
58.847,845
59.677,835
60.363,780
61.187,785
62.020,785
62.746,760
63.430,700
64.114,730
64.941,800
65.770,835
65.923,770
66.070,190
66.599,70
67.330,530
68.161,820
68.841,810
69.670,740
70.499,770
71.185,800
72.010,795
72.741,770
73.570,770
74.399,810
75.081,820
75.374,760
75.526,220
75.910,90
76.739,470
77.666,800
78.982,815
79.713,1410
80.687,820
81.370,855
82.199,775
83.028,840
83.856,855
84.539,820
85.663,755
86.245,790
87.074,800
87.269,795
87.757,215
88.592,555
89.414,810
89.474,865
90.292,10
90.389,815
90.974,215
91.802,550
92.491,770
93.314,790
94.143,790
94.874,765
95.703,770
96.531,820
97.360,840
97.415,800
98.042,10
98.774,730
99.602,760
100.431,800
101.114,790
101.800,765
102.527,710
103.210,665
104.041,710
104.331,785
104.867,310
105.550,535
105.842,800
105.846,220
106.383,15
107.110,480
107.792,750
108.621,780
109.304,745
110.035,730
110.864,715
110.967,765
111.013,10
111.547,235
112.379,545
112.521,755
113.058,180
113.789,535
114.617,765
115.300,770
116.129,780
116.811,745
117.721,775
118.517,805
119.232,795
119.882,735
120.760,765
121.589,800
122.277,820
123.103,775
123.929,830
124.758,860
125.050,815
125.586,230
126.418,525
127.152,775
127.975,810
128.657,795
129.486,765
130.318,810
130.461,820
131.050,10
131.095,760
131.290,10
131.875,190
132.557,555
133.389,770
134.069,765
134.800,720
135.629,745
136.312,790
136.994,780
137.871,725
138.555,745
139.383,790
140.211,795
140.945,755
141.722,800
141.776,815
142.502,10
142.697,745
143.283,195
143.965,570
144.794,775
145.476,755
146.183,685
146.890,690
147.036,790
147.039,120
147.136,85
147.185,15
147.188,15
147.865,680
147.871,15
147.966,10
148.017,195
148.115,10
149.087,350
149.230,690
149.387,220
149.669,10
150.351,405
151.034,655
151.768,675
152.450,700
153.276,755
153.959,750
154.641,715
155.372,735
156.201,740
156.347,730
156.774,185
157.566,500
158.297,730
158.982,755
159.034,710
159.663,10
160.349,685
161.222,745
161.905,780
162.198,700
162.588,290
163.416,430
164.163,755
164.831,770
165.512,705
166.195,695
167.173,725
167.758,790
167.999,735
168.584,215
169.270,550
170.095,815
170.924,800
171.657,770
172.484,800
172.758,840
173.023,205
173.027,25
173.313,15
174.141,595
174.831,755
175.653,765
176.530,815
177.310,860
177.640,795
178.196,260
178.878,555
179.720,820
180.381,815
181.220,705
182.039,750
182.770,815
183.599,835
183.657,785
184.427,10
185.266,820
186.085,875
186.094,810
186.914,10
187.667,760
187.957,795
188.474,230
189.156,585
189.845,740
190.667,705
191.501,755
192.325,850
193.058,830
193.885,750
194.568,775
195.396,805
196.145,790
196.375,690
196.526,290
196.862,380
197.644,605
197.953,325
198.648,250
198.763,615
199.442,10
200.272,865
201.100,855
201.103,785
201.832,10
202.660,820
203.342,800
203.586,735
204.025,170
204.854,535
205.439,705
206.121,675
206.817,670
207.340,620
208.120,620
208.614,635
209.290,660
210.021,695
210.027,645
210.564,10
211.243,630
211.976,680
212.657,710
213.336,725
214.019,670
214.750,685
215.588,655
216.798,840
217.560,1290
217.772,645
217.777,265
217.823,10
217.839,10
217.842,10
217.873,10
217.876,15
217.919,190
218.602,270
218.942,395
219.186,340
220.015,255
220.021,815
220.314,20
221.526,305
222.111,1145
222.163,585
222.794,10
222.797,710
222.953,55
224.598,15
225.963,1740
226.259,1430
226.554,305
226.840,255
227.766,295
228.059,870
229.181,395
229.476,1025
229.717,280
230.692,305
231.277,1050
231.666,565
231.674,405
231.959,10
232.398,260
232.934,350
234.055,565
235.338,1175
235.713,1240
236.005,375
236.542,340
237.276,625
238.347,620
239.324,1080
239.759,1030
240.149,450
240.588,375
241.124,405
242.394,535
242.928,1390
243.956,445
244.635,1060
245.024,720
245.268,330
245.706,225
246.540,510
246.543,590
246.974,240
247.412,465
248.485,375
249.608,1125
249.752,1105
249.756,220
249.899,15
249.902,45
250.045,215
250.581,485
251.118,10
251.123,570
251.702,10
252.044,595
252.050,260
252.397,10
253.360,320
253.653,985
254.482,285
254.627,960
254.871,15
254.877,335
255.018,165
255.456,405
256.826,10
257.114,1415
257.117,225
257.552,10
