df_hash,22ZHK4.7HTV1R
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BHA8
person_label,V76
date_time_start,2025-11-03_13-57-52.524000_+03
date_time_start_unix,1762163872.524
date_time_end,2025-11-03_14-06-10.311000_+03
length_difference_noticed,no

time,battery
5.174,18
15.314,18
25.162,18
35.155,18
45.202,18
55.145,18
65.137,18
75.227,18
85.173,18
95.175,18
105.166,18
115.154,18
125.148,18
135.165,17
145.141,17
155.147,17
165.123,17
175.188,17
185.159,17
195.153,17
205.146,17
215.140,17
225.221,17
235.128,17
245.176,17
255.115,17
265.114,17
275.151,17
285.145,17
295.273,17
305.133,17
315.129,17
325.218,17
335.212,17
345.108,17
355.102,17
365.095,17
375.151,17
385.132,17
395.126,17
405.217,17
415.154,17
425.156,17
435.100,17
445.095,17
455.234,17
465.133,17
475.124,17
485.169,17
