df_hash,22ZHK4.EMHYEC
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.G6QH
person_label,V45
date_time_start,2025-10-27_15-00-12.639000_+03
date_time_start_unix,1761562812.639
date_time_end,2025-10-27_15-08-55.301000_+03
length_difference_noticed,no

time,rr_int
10.491,3990
10.917,1100
10.923,400
11.356,25
11.746,320
11.892,710
12.735,775
13.404,770
14.964,735
15.646,695
16.329,730
17.060,710
17.067,755
17.840,10
18.604,755
19.257,710
19.936,675
19.942,720
20.716,10
21.399,720
22.033,710
22.715,685
23.546,765
24.275,760
25.103,775
25.786,745
26.468,685
27.200,725
27.908,730
28.711,730
29.248,745
29.979,660
30.813,680
31.655,755
32.185,715
32.903,765
33.586,700
34.275,680
34.951,695
35.780,720
36.511,765
37.291,745
37.876,665
38.607,705
39.436,740
40.144,780
40.801,790
41.483,705
42.221,715
42.897,675
43.726,735
44.411,740
45.191,745
45.823,710
46.506,680
47.188,655
47.919,720
48.747,750
49.436,795
50.112,735
50.819,675
51.723,745
52.355,770
53.186,780
53.866,785
54.646,735
55.280,675
55.962,680
56.803,735
57.501,770
58.302,790
59.034,760
59.716,700
60.399,740
61.256,765
61.520,820
62.057,235
62.886,575
63.470,775
64.157,680
64.835,665
65.567,705
66.399,735
67.077,740
67.760,750
68.461,665
69.174,660
69.856,730
70.685,750
71.515,845
72.197,765
72.935,700
73.611,730
74.487,755
75.121,775
75.950,800
76.682,760
77.367,675
78.118,685
78.729,690
79.460,710
80.142,740
80.825,750
81.556,705
82.239,695
83.067,725
83.799,755
84.481,760
85.164,720
85.846,675
86.675,720
87.363,755
87.650,750
88.262,270
88.917,530
89.600,730
90.283,675
90.966,685
91.697,705
92.574,770
93.208,785
93.895,755
94.869,730
94.922,865
96.036,10
96.279,1215
96.282,250
96.964,10
97.401,420
98.229,715
98.984,730
100.033,750
100.276,1380
100.280,10
101.837,930
102.519,580
102.817,720
102.863,300
102.866,10
102.871,10
102.959,40
103.201,30
103.986,335
104.615,740
105.152,660
105.883,625
106.566,665
107.394,720
108.125,760
108.808,770
109.505,710
109.662,645
110.173,205
110.178,465
110.855,10
111.587,690
112.416,750
113.098,760
113.780,770
114.463,705
115.194,665
115.876,715
116.708,760
117.583,810
117.684,815
117.827,205
117.833,10
117.876,15
118.216,10
118.960,495
119.686,700
120.459,705
121.141,755
121.970,765
122.702,770
123.384,745
124.067,685
124.749,695
125.480,740
126.329,735
126.991,745
127.674,715
128.360,675
129.088,710
129.916,730
130.599,800
131.281,800
132.013,720
132.793,680
133.397,705
134.451,725
134.938,770
135.621,725
136.359,680
137.131,715
137.960,815
138.692,845
139.520,770
140.203,715
141.032,755
141.716,775
142.449,790
143.128,745
143.957,700
144.935,725
145.370,755
146.199,755
146.980,755
147.564,675
148.247,685
148.979,720
149.807,760
150.489,775
151.173,745
151.904,685
152.634,700
153.414,740
154.243,795
154.974,820
155.663,760
156.586,735
157.208,750
157.997,790
158.680,790
159.411,710
160.243,725
160.922,750
161.751,775
162.433,795
163.191,720
163.993,735
164.822,805
165.535,805
166.236,745
166.918,720
167.747,740
168.429,705
169.162,825
169.795,675
170.526,700
170.773,695
170.827,270
171.213,10
171.892,375
172.574,695
173.402,750
174.280,795
174.962,805
175.654,750
176.473,735
177.204,760
178.059,770
178.723,785
179.547,785
180.227,755
180.909,690
181.641,680
182.469,760
183.156,780
184.273,830
184.714,790
185.396,720
186.224,700
186.373,735
186.906,235
187.735,550
188.466,790
189.149,760
189.831,715
190.517,660
191.253,660
191.927,715
192.759,755
192.910,780
193.439,220
194.121,480
194.852,725
195.735,760
196.412,780
197.192,770
197.562,800
197.837,225
197.885,10
198.606,480
199.435,710
200.119,740
200.994,780
201.786,795
202.555,800
203.189,725
203.874,700
204.553,730
205.385,765
206.162,795
206.846,705
207.527,675
208.218,710
209.043,755
209.867,815
210.696,825
211.476,780
212.256,735
212.987,775
213.475,825
213.767,505
214.597,335
215.279,725
215.961,710
216.741,710
217.472,755
218.203,790
219.084,790
219.864,760
220.401,685
221.128,705
221.957,735
222.640,765
223.322,765
224.005,755
224.736,695
225.418,690
226.248,720
226.930,740
227.661,785
228.344,720
229.175,665
230.440,760
231.122,1280
231.269,670
231.272,155
231.320,15
231.334,15
231.366,50
231.369,15
231.748,10
232.390,395
233.072,715
233.763,685
234.583,710
235.035,820
235.267,355
235.273,10
235.276,10
235.281,305
237.021,655
237.070,985
237.073,155
237.077,15
237.366,245
238.630,680
239.166,665
240.141,550
240.824,880
241.555,695
242.238,745
242.774,695
243.512,640
244.190,625
244.773,695
245.554,630
245.566,795
246.284,10
246.968,710
247.649,740
248.477,715
249.160,725
249.163,695
249.306,10
249.309,155
249.355,70
249.745,10
250.428,365
250.731,655
251.012,375
251.019,220
252.427,10
253.206,1415
253.212,845
253.849,10
254.523,595
255.693,605
256.424,1270
256.672,710
257.255,290
257.261,545
257.272,15
257.278,10
257.402,125
257.935,585
258.618,10
259.447,725
260.275,735
260.470,730
260.473,290
260.715,10
261.692,340
262.128,650
262.818,630
263.600,730
264.224,705
265.004,750
265.791,765
266.418,740
267.003,650
267.693,680
268.514,710
269.294,745
269.928,765
270.610,685
271.146,680
272.121,600
272.950,965
274.461,825
275.779,1480
276.610,1110
277.142,920
277.679,670
