df_hash,22ZHK4.EMHYEC
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.G6QH
person_label,V45
date_time_start,2025-10-27_15-00-12.639000_+03
date_time_start_unix,1761562812.639
date_time_end,2025-10-27_15-08-55.301000_+03
length_difference_noticed,no

time,battery
13.306,42
23.251,42
33.294,42
43.249,42
53.338,42
63.304,42
73.269,42
83.360,42
93.257,42
103.251,42
113.250,42
123.309,42
133.332,42
143.275,42
153.275,42
163.361,42
173.353,42
183.272,42
193.244,42
203.238,42
213.231,42
223.225,42
233.219,42
243.263,42
253.405,42
263.249,42
273.243,42
283.334,42
293.230,42
303.224,42
313.218,42
323.218,42
333.215,42
343.248,42
353.242,41
363.285,41
373.234,41
383.224,41
393.317,41
403.211,41
413.303,41
423.248,41
433.193,41
443.235,41
453.232,41
463.232,41
473.265,41
483.319,41
493.205,41
503.209,41
513.195,41
