df_hash,22ZHK4.EMHYEC
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.G6QH
person_label,V45
date_time_start,2025-10-27_15-00-12.639000_+03
date_time_start_unix,1761562812.639
date_time_end,2025-10-27_15-08-55.301000_+03
length_difference_noticed,no

time,temperature
5.463,32.781
6.384,32.812
7.359,32.875
8.382,32.844
9.358,32.906
10.480,32.938
11.359,32.969
12.380,32.969
13.355,33.000
14.378,33.000
15.354,32.969
16.378,32.969
17.353,32.969
18.572,33.000
19.352,33.031
20.375,33.000
21.428,33.031
22.378,33.062
23.349,33.094
24.381,33.156
25.355,33.250
26.371,33.281
27.597,33.281
28.370,33.250
29.400,33.281
30.376,33.281
31.493,33.281
32.368,33.312
33.343,33.344
34.397,33.375
35.390,33.344
36.365,33.344
37.635,33.312
38.364,33.344
39.394,33.375
40.383,33.438
41.386,33.469
42.389,33.500
43.437,33.594
44.360,33.625
45.432,33.625
46.386,33.719
47.440,33.812
48.358,33.844
49.430,33.844
50.362,33.844
51.428,33.875
52.700,33.875
53.401,33.875
54.354,33.875
55.526,33.875
56.353,33.875
57.498,33.906
58.356,33.906
59.375,33.906
60.354,33.906
61.374,33.906
62.355,33.938
63.423,33.938
64.348,33.938
65.381,33.969
66.347,34.000
67.419,34.000
68.457,34.031
69.377,34.062
70.370,34.062
71.368,34.094
72.833,34.062
73.367,34.062
74.345,34.062
75.365,34.094
76.340,34.094
77.364,34.125
78.361,34.125
79.363,34.125
80.338,34.125
81.362,34.125
82.337,34.156
83.558,34.156
84.384,34.125
85.359,34.156
86.432,34.156
87.357,34.125
88.382,34.156
89.357,34.125
90.380,34.156
91.356,34.219
92.385,34.250
93.354,34.250
94.378,34.375
95.402,34.375
96.427,34.375
97.355,34.406
98.476,34.375
99.414,34.438
100.374,34.406
101.349,34.375
102.373,34.375
103.348,34.406
104.420,34.312
105.347,34.344
106.371,34.375
107.346,34.375
108.418,34.406
109.494,34.406
110.398,34.438
111.343,34.438
112.367,34.469
113.393,34.438
114.366,34.438
115.440,34.406
116.364,34.406
117.339,34.406
118.363,34.438
119.630,34.438
120.362,34.438
121.385,34.406
122.382,34.406
123.342,34.469
124.383,34.438
125.340,34.469
126.377,34.469
127.433,34.500
128.357,34.469
129.381,34.500
130.435,34.531
131.346,34.500
132.360,34.531
133.378,34.531
134.454,34.562
135.378,34.562
136.603,34.562
137.376,34.531
138.351,34.562
139.423,34.562
140.350,34.562
141.373,34.719
142.446,34.688
143.420,34.688
144.646,34.688
145.517,34.688
146.355,34.688
147.370,34.688
148.492,34.688
149.368,34.688
150.348,34.656
151.367,34.562
152.342,34.594
153.374,34.625
154.347,34.625
155.413,34.625
156.583,34.656
157.363,34.625
158.585,34.625
159.384,34.625
160.337,34.625
161.368,34.625
162.385,34.625
163.397,34.594
164.336,34.625
165.366,34.625
166.386,34.625
167.555,34.625
168.332,34.656
169.404,34.656
170.340,34.688
171.455,34.656
172.481,34.656
173.357,34.719
174.351,34.750
175.352,34.719
176.426,34.750
177.351,34.750
178.478,34.750
179.350,34.781
180.425,34.750
181.348,34.812
182.372,34.750
183.347,34.750
184.371,34.750
185.346,34.750
186.369,34.688
187.345,34.688
188.369,34.688
189.443,34.719
190.367,34.750
191.342,34.750
192.392,34.781
193.342,34.750
194.364,34.750
195.729,34.781
196.363,34.844
197.343,34.812
198.362,34.812
199.340,34.812
200.421,34.719
201.336,34.750
202.460,34.719
203.727,34.750
204.359,34.812
205.382,34.781
206.358,34.812
207.332,34.875
208.406,34.844
209.348,34.844
210.455,34.906
211.330,34.875
212.354,34.906
213.329,34.906
214.353,34.875
215.328,34.875
216.351,34.875
217.326,34.812
218.748,34.812
219.325,34.812
220.398,34.844
221.373,34.875
222.347,34.875
223.326,34.875
224.346,34.906
225.321,34.938
226.346,34.969
227.321,35.031
228.347,35.062
229.516,35.062
230.343,35.000
231.613,34.969
232.348,34.969
233.706,34.906
234.340,34.875
235.393,34.906
236.341,34.906
237.363,34.938
238.338,34.938
239.364,35.062
240.337,35.094
241.360,35.125
242.335,35.125
243.359,35.188
244.403,35.188
245.361,35.125
246.333,35.125
247.359,35.094
248.331,35.062
249.358,34.938
250.330,34.969
251.379,34.969
252.329,35.000
253.421,35.000
254.370,35.000
255.353,35.031
256.352,35.000
257.399,35.031
258.325,35.062
259.403,35.031
260.324,35.000
261.350,35.000
262.371,35.000
263.395,35.000
264.346,34.969
265.637,34.938
266.321,34.938
267.344,34.969
268.319,34.938
269.489,34.969
270.467,35.000
271.342,35.000
272.414,35.000
273.392,34.969
274.315,35.000
275.535,35.031
276.607,35.031
277.338,35.000
278.411,35.000
279.580,35.000
280.361,34.906
281.384,34.906
282.359,34.875
283.338,34.906
284.419,34.938
285.333,34.938
286.357,34.969
287.675,35.000
288.356,34.969
289.336,34.969
290.354,35.125
291.476,35.125
292.401,35.125
293.377,35.125
294.351,35.094
295.375,35.062
296.351,35.000
297.326,34.969
298.349,35.000
299.324,35.000
300.348,34.875
301.615,34.875
302.399,34.875
303.323,34.875
304.376,34.875
305.321,34.938
306.344,34.938
307.369,34.969
308.392,34.938
309.318,34.938
310.342,35.000
311.466,35.000
312.584,35.000
313.320,35.031
314.340,35.062
315.707,35.031
316.338,35.062
317.322,35.094
318.632,35.094
