df_hash,22ZHK4.EMHYEC
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.G6QH
person_label,V45
date_time_start,2025-10-27_15-00-12.639000_+03
date_time_start_unix,1761562812.639
date_time_end,2025-10-27_15-08-55.301000_+03
length_difference_noticed,no

time,respiration_rate
56.070,16
60.610,16
65.050,15
69.330,14
82.600,17
86.980,18
91.320,20
96.450,21
100.510,22
105.070,22
109.320,22
148.990,21
153.400,17
158.050,16
162.590,16
167.130,16
171.460,16
175.910,16
180.510,16
185.030,17
189.520,18
193.800,18
198.340,18
202.890,20
207.300,19
211.860,13
216.470,13
220.960,13
225.380,13
229.700,13
233.770,13
