df_hash,22ZHK4.EMHYEC
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.G6QH
person_label,V45
date_time_start,2025-10-27_15-00-12.639000_+03
date_time_start_unix,1761562812.639
date_time_end,2025-10-27_15-08-55.301000_+03
length_difference_noticed,no

time,ppg_quality
58.290,95
60.310,97
61.320,99
63.340,98
65.360,98
67.380,100
68.390,100
69.400,98
71.420,94
74.450,85
76.470,83
77.480,81
78.490,78
80.510,83
81.520,87
82.530,91
84.550,98
85.560,97
87.580,101
89.600,100
90.610,97
92.630,90
93.640,90
96.670,76
98.690,76
100.710,72
102.730,65
103.740,63
104.750,62
105.760,70
107.780,73
108.790,68
109.800,68
111.820,63
113.840,67
114.850,71
116.870,74
117.880,75
118.890,77
119.900,77
120.910,85
122.930,96
124.950,90
126.970,86
128.990,84
130.000,86
131.010,88
132.020,90
134.040,92
136.060,90
138.080,93
140.100,95
141.110,95
143.130,94
144.140,96
145.150,100
147.170,103
149.190,101
150.200,100
151.210,101
152.220,102
154.240,101
155.250,100
156.260,100
158.280,102
160.300,103
162.320,102
165.350,99
167.370,96
169.390,86
171.410,78
172.420,77
173.430,77
176.460,79
178.480,86
180.500,97
182.520,99
183.530,97
184.540,96
186.560,93
187.570,92
189.590,92
191.610,89
193.630,92
194.640,92
195.650,93
196.660,93
197.670,93
198.680,92
200.700,91
202.720,92
204.740,94
206.760,96
209.790,95
210.800,94
211.810,96
213.830,94
215.850,97
217.870,98
219.890,98
220.900,100
221.910,99
222.920,100
224.940,99
226.960,94
228.980,95
229.990,97
231.000,101
232.010,110
234.030,108
236.050,89
238.070,74
239.080,63
240.090,56
242.110,34
243.120,29
244.130,36
245.140,46
247.160,46
249.180,57
250.190,64
252.210,55
253.220,49
254.230,42
256.250,42
258.270,37
260.290,21
262.310,24
264.330,34
265.340,36
266.350,42
267.360,48
268.370,56
269.380,63
271.400,83
273.420,78
274.430,79
275.440,79
278.470,65
280.490,56
282.510,42
284.530,58
286.550,64
287.560,70
288.570,74
289.580,81
291.600,89
293.620,78
295.640,52
297.660,39
299.680,25
300.690,20
302.710,15
304.730,25
306.750,37
307.760,45
308.770,55
309.780,59
310.790,60
311.800,71
313.820,75
315.840,55
317.860,39
319.880,31
320.890,25
321.900,15
322.910,10
323.920,5
324.930,11
326.950,33
328.970,38
330.990,47
332.000,59
333.010,68
334.020,68
335.030,63
336.040,52
338.060,39
340.080,39
342.100,54
344.120,60
347.150,66
349.170,65
351.190,39
353.210,21
355.230,30
356.240,38
358.260,43
359.270,46
360.280,50
362.300,42
364.320,70
366.340,80
367.350,77
368.360,76
369.370,77
371.390,87
372.400,96
373.410,95
374.420,90
375.430,87
376.440,66
377.450,63
379.470,58
380.480,53
381.490,55
382.500,49
384.520,63
385.530,70
386.540,75
388.550,81
389.560,85
390.570,89
391.580,91
393.600,79
394.610,60
395.620,43
397.640,58
399.660,45
400.670,34
402.690,24
404.710,20
406.730,13
408.750,14
409.760,22
410.770,33
411.780,40
412.790,47
413.800,53
414.810,57
415.820,57
417.840,70
419.860,75
420.870,68
421.880,55
422.890,46
423.900,40
425.920,36
426.930,34
428.950,43
430.970,58
431.980,74
432.990,82
435.010,90
437.030,87
438.040,88
440.060,70
442.080,58
444.100,50
446.120,59
448.140,54
449.150,52
451.170,55
452.180,56
453.190,55
455.210,56
457.230,69
459.250,82
461.270,82
462.280,83
463.290,86
464.300,88
466.320,84
468.340,81
470.360,80
473.390,67
475.410,71
476.420,72
477.430,72
479.450,69
481.470,68
483.490,76
484.500,74
486.520,73
487.530,75
488.540,78
490.560,78
491.570,78
493.590,78
494.600,78
495.610,77
497.630,63
499.650,55
500.660,50
501.670,46
503.690,29
504.700,40
505.710,44
508.740,45
510.760,37
512.780,44
514.800,36
516.820,25
517.830,22
