df_hash,22ZHK4.EMHYEC
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.G6QH
person_label,V45
date_time_start,2025-10-27_15-00-12.639000_+03
date_time_start_unix,1761562812.639
date_time_end,2025-10-27_15-08-55.301000_+03
length_difference_noticed,no

time,perfusion_ir
32.952,0.250
35.978,0.250
36.562,0.250
37.391,0.250
38.656,0.250
39.536,0.250
40.221,0.250
40.901,0.250
41.582,0.250
43.046,0.250
46.520,0.250
48.805,0.250
49.731,0.260
50.210,0.260
50.846,0.260
52.408,0.260
54.015,0.260
54.698,0.260
55.429,0.260
56.160,0.260
57.039,0.260
57.626,0.260
58.351,0.270
60.744,0.270
61.281,0.270
61.669,0.270
64.256,0.270
65.130,0.270
66.596,0.270
67.178,0.280
67.811,0.280
70.737,0.280
71.529,0.280
73.662,0.280
74.685,0.280
75.170,0.280
76.099,0.290
78.199,0.290
80.192,0.290
81.608,0.290
83.116,0.290
84.631,0.290
85.216,0.290
85.944,0.290
87.747,0.290
90.972,0.280
92.580,0.280
94.917,0.290
104.715,0.290
107.494,0.290
108.274,0.290
116.173,0.290
117.595,0.290
117.734,0.290
119.698,0.290
120.508,0.290
121.193,0.290
122.314,0.290
125.580,0.290
127.043,0.290
129.237,0.290
129.968,0.290
131.333,0.290
136.598,0.290
137.183,0.290
138.012,0.300
138.744,0.300
139.573,0.300
140.254,0.300
141.327,0.300
141.724,0.300
142.500,0.310
146.346,0.310
147.616,0.310
148.299,0.310
149.077,0.310
149.858,0.310
150.590,0.310
151.191,0.310
151.910,0.310
152.783,0.310
153.466,0.310
154.341,0.320
155.080,0.320
156.638,0.320
157.217,0.320
158.048,0.320
161.070,0.330
163.262,0.330
164.872,0.330
166.971,0.330
167.796,0.320
169.173,0.330
170.822,0.330
172.624,0.330
175.013,0.330
176.527,0.320
177.305,0.330
178.082,0.330
179.596,0.330
180.961,0.330
181.692,0.320
182.521,0.310
186.422,0.310
192.027,0.310
192.905,0.310
194.955,0.300
196.464,0.300
197.338,0.310
197.832,0.310
200.125,0.310
201.001,0.310
201.845,0.310
204.800,0.310
207.773,0.300
208.263,0.300
209.139,0.300
209.964,0.290
210.747,0.290
211.578,0.280
212.307,0.280
212.993,0.290
216.843,0.290
217.670,0.280
218.255,0.290
221.277,0.290
222.009,0.290
222.691,0.290
224.054,0.280
224.785,0.270
225.665,0.270
226.255,0.270
227.079,0.270
227.811,0.270
243.544,0.270
247.700,0.270
253.266,0.270
263.652,0.270
264.275,0.270
265.839,0.270
266.521,0.280
267.739,0.270
269.976,0.270
272.319,0.260
279.922,0.260
283.190,0.270
288.992,0.270
304.933,0.270
308.587,0.270
319.215,0.280
321.118,0.290
444.895,0.280
446.358,0.270
447.291,0.270
448.695,0.270
452.741,0.270
456.549,0.270
457.390,0.270
460.103,0.260
460.983,0.260
463.223,0.260
465.424,0.260
466.893,0.260
467.564,0.250
468.293,0.250
468.439,0.250
474.686,0.240
475.413,0.240
476.251,0.240
477.068,0.240
481.945,0.240
482.771,0.240
483.462,0.230
484.578,0.230
485.947,0.230
486.820,0.230
