df_hash,22ZHK4.3RS3P8
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.CV3S
person_label,v119
date_time_start,2026-03-10_17-43-05.648000_+03
date_time_start_unix,1773150185.648
date_time_end,2026-03-10_17-53-26.485000_+03
length_difference_noticed,no

time,quality
14.422,67
14.962,80
16.128,81
17.058,84
17.982,81
18.864,75
20.275,73
20.958,72
21.837,72
23.009,69
24.078,43
24.821,30
26.074,42
26.861,42
28.024,35
28.954,31
29.910,32
30.806,32
32.023,45
32.990,70
33.731,79
34.998,74
35.827,46
36.708,49
38.018,56
38.801,31
39.776,29
40.897,30
41.966,24
42.796,0
43.872,0
44.898,27
45.675,25
47.037,24
47.819,27
48.648,26
49.820,65
51.039,40
51.671,35
53.088,40
53.721,47
54.598,45
55.817,67
56.936,64
57.713,55
58.852,50
59.667,53
60.642,54
61.813,55
62.640,54
63.639,70
64.738,83
65.714,86
66.551,81
67.711,75
68.639,77
69.806,74
70.684,72
71.634,48
72.537,52
73.732,50
74.779,55
75.563,60
76.680,56
77.558,53
78.578,60
79.657,64
80.775,61
81.458,56
82.628,45
83.749,36
84.439,55
85.942,56
86.479,61
87.406,46
88.576,36
89.550,36
90.523,46
167.613,61
168.150,81
169.324,79
170.295,80
171.220,54
172.004,44
173.464,23
174.099,23
175.264,0
176.195,28
177.217,43
177.994,53
179.264,53
180.044,53
180.971,49
182.145,41
183.411,40
183.945,44
185.165,38
186.235,31
186.922,39
188.091,46
188.977,25
189.941,22
191.113,27
192.034,0
192.914,7
194.282,0
194.913,0
195.913,33
197.059,53
197.936,65
199.006,56
200.032,37
201.104,36
201.985,0
202.957,0
203.933,2
204.810,42
206.077,34
206.857,35
207.735,54
209.003,54
209.880,58
210.709,67
211.929,64
212.809,63
213.732,68
214.996,56
215.784,55
216.656,65
217.926,76
218.799,71
219.630,60
220.992,77
221.772,85
222.700,83
223.822,78
224.895,78
225.967,83
226.797,82
227.674,77
228.601,82
229.770,79
230.648,77
231.574,67
232.744,58
233.748,35
234.550,26
235.741,30
236.790,31
237.668,35
238.743,34
239.618,33
240.495,48
241.958,49
242.640,0
243.761,33
244.640,30
245.566,37
246.443,24
247.714,36
248.539,34
249.612,32
250.635,31
251.805,45
252.393,62
253.802,65
254.489,62
255.367,60
256.587,68
257.469,61
258.644,56
259.570,55
260.580,46
261.316,49
262.535,51
263.460,53
264.339,43
265.553,39
266.401,28
267.403,33
268.822,30
269.648,40
270.282,29
271.499,25
272.330,27
273.256,45
274.426,49
275.304,37
276.278,41
277.497,48
278.521,53
279.204,59
280.377,51
281.476,45
282.372,41
283.645,34
284.322,29
285.200,27
286.395,31
287.637,23
288.125,21
289.448,15
290.271,24
291.099,38
292.318,31
293.205,28
294.170,28
295.292,23
296.169,0
297.048,1
298.607,0
299.144,0
300.318,29
301.242,37
302.262,27
303.089,32
304.269,26
305.139,30
306.017,35
307.232,23
308.089,0
309.182,0
310.171,36
311.133,35
312.015,41
313.185,40
314.398,46
314.940,34
316.303,40
317.075,41
317.914,29
319.329,43
320.009,65
320.983,67
322.068,74
323.224,72
323.860,64
325.322,62
325.956,60
326.873,45
328.052,27
328.954,19
329.853,36
331.026,42
332.003,44
332.781,46
334.000,38
334.878,0
335.756,0
336.976,0
337.853,0
338.779,9
339.993,0
340.898,21
341.757,28
342.921,23
343.945,28
344.728,32
345.896,28
346.772,20
347.842,17
348.963,23
349.796,0
350.819,35
351.985,26
352.818,29
353.647,31
354.816,32
355.792,0
356.620,44
357.790,60
358.718,67
359.594,59
360.766,26
361.695,0
362.579,0
363.930,51
364.667,44
365.621,0
366.763,3
367.640,0
368.658,3
369.737,9
370.613,0
371.489,0
372.752,36
373.585,52
374.516,45
375.709,53
376.559,58
377.490,8
378.656,0
379.582,28
380.506,41
381.631,32
382.622,27
383.433,19
384.603,0
385.529,0
386.599,0
387.577,0
388.503,0
389.526,0
390.599,25
391.477,44
392.451,1
393.644,10
394.454,14
395.382,23
396.570,37
397.425,20
398.597,23
399.521,17
400.444,9
401.324,26
402.495,27
403.372,18
404.303,15
405.476,14
406.361,0
407.272,0
408.585,0
409.323,23
410.487,16
411.461,0
412.343,0
413.222,0
414.391,0
415.317,0
416.194,2
417.367,0
418.436,27
419.169,22
420.338,23
421.358,28
422.144,0
423.362,22
424.286,28
425.116,26
426.379,32
427.332,30
428.089,31
429.307,0
430.231,0
431.354,0
432.292,0
433.188,0
434.277,10
435.645,22
436.227,0
437.069,0
438.570,2
439.152,0
440.078,25
441.206,24
442.321,23
443.008,21
444.177,17
445.346,26
445.981,31
447.150,35
448.076,36
449.149,21
450.270,24
451.342,0
451.974,0
541.191,54
542.604,52
543.287,46
544.165,37
545.383,39
546.310,40
547.138,26
548.457,39
549.429,35
550.112,31
551.331,33
552.208,41
553.132,39
554.378,25
555.182,30
556.110,24
557.278,0
558.499,0
559.278,0
560.398,0
561.234,0
562.056,0
563.372,0
564.104,0
565.130,0
566.202,0
567.174,22
568.053,25
569.174,35
570.052,32
571.023,29
572.196,24
573.068,26
573.997,25
575.270,29
576.093,33
576.925,0
578.096,0
579.023,0
580.091,29
581.506,23
582.193,39
582.967,45
584.291,57
584.922,28
585.846,26
587.162,33
587.894,37
588.824,37
590.045,45
590.918,32
591.937,29
