df_hash,22ZHK4.3RS3P8
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.CV3S
person_label,v119
date_time_start,2026-03-10_17-43-05.648000_+03
date_time_start_unix,1773150185.648
date_time_end,2026-03-10_17-53-26.485000_+03
length_difference_noticed,no

time,rr_int
9.986,4230
10.931,895
11.888,935
12.765,925
13.594,870
14.428,850
15.398,885
16.264,900
17.351,865
17.884,835
18.713,825
19.541,870
20.419,860
21.292,905
22.078,785
22.615,790
23.442,665
23.880,770
24.172,420
24.855,335
25.540,890
25.684,530
25.976,10
26.367,345
27.049,390
27.780,665
28.075,820
28.755,245
29.595,655
30.413,830
31.242,835
31.246,840
32.070,10
33.045,885
33.049,825
33.631,10
33.874,705
34.313,255
34.319,475
34.630,10
35.150,210
35.971,555
36.799,805
38.116,825
39.334,1355
39.578,1255
39.581,290
39.724,15
39.788,15
39.791,10
39.794,10
40.095,10
40.845,320
41.577,840
41.723,740
41.972,160
42.017,190
42.406,10
42.800,470
42.942,370
43.090,320
43.139,10
44.745,880
45.428,720
46.165,740
46.842,740
47.671,740
48.405,715
49.038,735
49.425,700
50.059,360
50.064,705
50.744,10
51.044,300
51.717,625
52.400,740
53.228,715
53.911,840
54.649,600
55.470,770
56.153,765
56.446,1000
57.274,600
57.567,265
57.664,270
57.738,195
59.371,880
60.248,755
61.034,790
61.711,815
62.540,805
63.369,800
64.149,785
64.928,805
64.932,790
65.757,10
66.439,785
67.122,725
68.100,765
68.585,870
69.511,510
70.340,1020
71.375,800
71.997,955
73.558,645
74.532,1660
75.216,870
76.044,805
76.872,840
77.701,780
78.586,820
78.822,815
78.829,370
78.969,10
78.998,10
79.115,15
80.090,250
81.065,965
81.896,975
81.991,810
83.265,610
84.088,750
84.672,820
84.677,680
84.994,10
84.998,15
85.016,95
85.399,465
85.505,240
87.159,840
87.991,850
88.865,785
89.743,845
90.537,830
164.249,5005
164.692,895
165.515,760
166.393,820
167.179,840
168.003,820
168.829,885
169.706,845
170.438,830
170.633,605
170.681,380
170.779,10
170.925,190
173.168,1365
173.850,850
174.728,715
174.735,825
175.277,10
175.407,635
175.508,110
175.513,75
176.390,10
176.925,770
177.750,665
178.581,885
179.408,580
180.286,1065
180.919,820
181.650,750
182.482,680
183.417,870
184.429,770
184.673,1165
185.502,270
186.273,885
187.988,735
188.576,1575
189.284,695
189.291,805
189.425,10
189.548,280
190.961,1170
190.967,160
191.060,40
191.351,10
192.180,440
193.064,800
193.838,785
194.668,830
195.495,835
196.226,765
196.519,785
196.909,290
197.884,500
199.396,940
200.276,1520
200.280,830
201.004,10
201.826,400
202.467,1115
202.759,695
203.832,325
203.883,960
204.028,280
205.538,820
205.688,750
206.371,185
207.098,585
207.893,770
208.609,845
209.438,740
210.121,745
210.803,700
211.632,780
212.415,760
213.290,760
214.216,895
215.093,915
216.019,940
216.848,875
217.629,855
218.312,820
219.140,750
219.968,805
220.820,840
221.626,755
222.357,840
222.504,825
223.235,10
224.261,740
224.697,815
225.526,800
226.355,850
227.184,845
228.061,755
228.889,830
229.719,815
230.547,855
230.938,850
231.377,460
232.061,340
233.499,825
233.862,1405
234.448,315
235.474,640
236.592,920
236.982,965
237.763,650
238.884,800
239.274,1105
240.008,370
240.151,690
240.866,235
241.516,690
242.198,700
242.789,710
243.321,360
244.148,730
244.588,795
245.124,480
245.953,560
246.538,880
247.269,470
247.902,745
248.585,750
248.975,885
250.050,790
250.682,385
251.559,620
252.193,785
253.072,820
253.811,800
253.928,675
254.435,210
255.264,535
256.093,870
256.239,975
257.702,635
258.335,720
259.338,775
259.342,900
259.359,10
259.362,10
259.407,35
259.412,15
259.415,10
259.456,10
259.460,10
260.042,10
260.139,570
260.675,210
261.504,555
263.064,770
263.357,1665
263.506,335
265.160,590
265.163,1050
266.672,10
267.500,1580
267.793,880
268.528,275
269.304,655
269.743,655
270.620,680
271.254,735
271.937,750
272.229,670
272.674,325
273.498,475
274.570,780
275.398,1140
276.287,820
276.958,765
277.933,730
278.695,975
278.911,770
279.737,280
280.081,785
280.566,320
281.297,600
281.931,700
282.081,790
283.344,740
283.881,490
284.709,610
285.831,770
286.513,1160
287.248,685
288.077,710
289.073,885
289.587,885
290.024,675
290.559,315
290.706,585
291.984,235
292.363,1140
292.802,500
293.339,390
294.850,615
295.971,1500
296.409,1055
297.238,540
297.242,755
298.611,10
299.506,1400
300.553,805
300.559,1155
301.190,10
301.289,375
301.675,275
302.650,465
303.186,1035
304.063,470
305.867,945
305.870,1800
306.843,10
307.252,875
307.430,405
307.434,15
307.437,95
307.525,15
308.353,260
308.356,845
309.192,10
309.621,795
309.718,455
309.724,40
310.022,55
310.696,255
311.523,710
312.255,810
312.937,725
312.954,775
313.083,10
313.277,60
313.326,115
313.331,10
313.375,10
313.381,15
313.386,45
313.611,170
313.619,10
313.626,225
314.406,415
314.594,280
315.032,255
315.039,425
315.130,10
315.180,175
315.227,10
316.837,875
317.665,780
318.494,815
319.334,825
320.157,840
320.834,755
321.565,815
322.540,740
323.245,860
324.100,775
324.880,805
325.783,835
326.149,850
326.537,495
326.541,375
327.369,10
327.847,845
328.829,350
329.755,975
330.047,1055
331.413,185
332.098,1420
332.295,795
333.171,15
333.217,875
333.655,10
334.493,595
334.663,895
334.973,95
