df_hash,22ZHK4.3RS3P8
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.CV3S
person_label,v119
date_time_start,2026-03-10_17-43-05.648000_+03
date_time_start_unix,1773150185.648
date_time_end,2026-03-10_17-53-26.485000_+03
length_difference_noticed,no

time,temperature
5.070,32.344
6.038,32.375
7.013,32.375
8.036,32.375
9.011,32.375
10.035,32.438
11.059,32.469
12.034,32.500
13.009,32.469
14.081,32.500
15.009,32.562
16.134,32.562
17.007,32.594
18.030,32.625
19.005,32.625
20.077,32.688
21.202,32.750
22.028,32.781
23.019,32.844
24.124,32.875
25.027,32.906
26.079,32.938
27.001,33.000
28.029,33.000
29.000,33.031
30.023,33.031
31.049,33.000
32.034,33.031
33.146,33.031
34.021,33.062
35.142,33.094
36.022,33.094
37.047,33.125
38.104,33.156
38.993,33.156
40.115,33.188
41.041,33.219
42.071,33.250
43.039,33.250
44.015,33.281
45.038,33.250
46.159,33.281
47.044,33.344
48.012,33.344
49.035,33.375
50.021,33.406
51.108,33.375
52.010,33.406
53.095,33.469
54.031,33.500
55.129,33.562
56.007,33.594
57.031,33.594
58.007,33.625
59.030,33.656
60.005,33.688
61.029,33.719
62.396,33.719
63.127,33.719
64.002,33.719
65.026,33.719
66.001,33.688
67.025,33.688
68.097,33.688
69.024,33.688
70.047,33.719
71.023,33.750
72.001,33.750
73.365,33.812
73.996,33.875
75.020,33.906
75.995,33.938
77.023,33.969
77.994,34.000
79.018,34.000
79.994,34.000
81.016,34.000
81.994,34.062
83.034,34.031
83.990,34.031
85.211,34.000
86.007,34.062
87.012,34.094
88.037,34.031
89.012,34.062
90.084,34.094
158.032,34.625
158.981,34.531
160.005,34.531
161.325,34.531
162.004,34.531
163.076,34.562
164.255,34.625
165.419,34.594
166.002,34.531
167.172,34.594
168.000,34.625
169.039,34.562
169.999,34.625
171.071,34.625
171.998,34.656
173.021,34.656
174.008,34.625
175.272,34.750
175.997,34.812
177.067,34.781
178.000,34.781
179.166,34.844
179.993,34.844
181.019,34.812
181.992,34.844
183.015,34.875
183.991,34.875
185.018,34.812
185.989,34.750
187.062,34.750
187.991,34.750
189.012,34.781
190.184,34.750
191.065,34.781
192.040,34.781
193.058,34.781
194.033,34.812
195.059,34.812
195.983,34.844
197.031,34.844
197.982,34.844
199.011,34.875
200.273,34.844
201.251,34.906
201.990,34.906
203.003,34.906
203.978,34.906
205.102,34.938
206.082,34.938
207.001,34.938
208.110,35.000
209.099,35.000
209.993,35.031
210.998,35.031
212.412,34.969
212.997,34.969
214.021,34.938
215.001,34.969
216.168,34.969
217.043,34.938
218.024,34.938
219.091,34.938
220.608,34.938
220.998,34.938
222.016,35.000
222.991,35.031
224.017,35.031
224.989,35.000
226.056,35.125
226.989,35.125
228.013,35.156
228.988,35.156
230.257,35.125
231.086,35.156
232.058,35.125
233.380,35.125
234.037,35.156
235.392,35.156
236.008,35.094
237.424,35.094
238.006,35.094
238.982,35.062
240.125,35.062
241.012,35.094
242.004,35.094
242.979,35.125
244.040,35.094
245.047,35.094
246.004,35.094
246.977,35.062
248.000,35.062
248.978,35.094
250.047,35.094
250.975,35.094
252.028,35.094
253.022,35.094
253.997,35.125
254.972,35.156
255.995,35.156
257.168,35.156
257.995,35.188
258.991,35.188
259.992,35.188
261.042,35.156
262.041,35.156
263.015,35.156
263.991,35.156
265.014,35.125
266.089,35.125
267.259,35.125
267.988,35.125
269.060,35.156
269.986,35.156
271.011,35.156
272.034,35.219
273.010,35.250
273.985,35.219
275.008,35.219
276.227,35.250
277.007,35.281
278.277,35.250
279.154,35.219
280.010,35.219
281.081,35.250
282.077,35.281
283.003,35.250
284.149,35.250
285.004,35.281
285.977,35.250
287.245,35.250
287.976,35.250
289.001,35.250
289.975,35.250
290.999,35.219
292.017,35.219
292.997,35.250
293.972,35.219
295.023,35.250
296.044,35.250
296.995,35.281
298.295,35.250
298.994,35.281
299.969,35.281
301.195,35.281
301.967,35.281
302.991,35.219
303.966,35.250
305.087,35.250
305.965,35.250
307.183,35.219
307.964,35.281
309.187,35.281
310.016,35.188
310.986,35.250
312.159,35.219
312.985,35.250
314.155,35.219
314.984,35.188
316.032,35.188
317.060,35.188
318.006,35.219
319.040,35.219
320.154,35.312
320.987,35.281
322.004,35.344
323.237,35.344
324.003,35.344
324.978,35.375
326.002,35.406
326.977,35.438
328.000,35.406
328.976,35.375
329.999,35.375
330.975,35.375
332.095,35.344
333.167,35.312
334.048,35.312
335.218,35.281
335.996,35.281
337.460,35.281
337.994,35.281
339.091,35.312
340.000,35.344
340.968,35.344
341.992,35.344
342.967,35.344
343.991,35.344
344.967,35.375
345.989,35.375
347.013,35.375
348.049,35.344
348.968,35.344
349.987,35.344
351.305,35.375
351.990,35.406
352.961,35.438
353.985,35.469
355.203,35.469
355.983,35.438
357.169,35.406
358.323,35.438
359.127,35.438
359.981,35.469
361.005,35.438
362.072,35.438
363.004,35.375
364.027,35.375
365.051,35.375
365.977,35.406
367.001,35.438
368.269,35.469
369.000,35.438
369.975,35.438
371.042,35.500
371.979,35.500
373.000,35.500
373.973,35.500
374.996,35.500
375.977,35.500
376.995,35.500
377.970,35.500
378.994,35.531
379.975,35.531
380.993,35.438
381.968,35.438
382.991,35.469
384.038,35.469
385.236,35.469
