df_hash,22ZHK4.3RS3P8
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.CV3S
person_label,v119
date_time_start,2026-03-10_17-43-05.648000_+03
date_time_start_unix,1773150185.648
date_time_end,2026-03-10_17-53-26.485000_+03
length_difference_noticed,no

time,acc_mag
16.194,0.968
16.224,0.964
16.254,0.960
16.284,0.961
16.314,0.962
16.344,0.965
16.374,0.960
16.404,0.965
16.434,0.964
16.464,0.966
16.494,0.966
16.524,0.956
16.554,0.969
16.584,0.970
16.614,0.962
16.644,0.965
16.674,0.965
16.704,0.965
16.734,0.963
16.764,0.959
16.794,0.964
16.824,0.960
16.854,0.964
16.884,0.969
16.914,0.965
16.944,0.964
16.974,0.967
17.004,0.965
17.034,0.965
17.064,0.962
17.094,0.965
17.124,0.966
17.154,0.960
17.184,0.957
17.214,0.963
17.244,0.967
17.274,0.961
17.304,0.968
17.334,0.959
17.364,0.970
17.394,0.968
17.424,0.964
17.454,0.962
17.484,0.958
17.514,0.960
17.544,0.964
17.574,0.965
17.604,0.965
17.634,0.962
17.664,0.965
17.694,0.966
17.724,0.964
17.754,0.961
17.784,0.969
17.814,0.964
17.844,0.963
17.874,0.960
17.904,0.965
17.934,0.966
17.964,0.960
17.994,0.961
18.024,0.967
18.054,0.967
18.084,0.964
18.114,0.961
18.144,0.960
18.174,0.956
18.204,0.971
18.234,0.970
18.264,0.965
18.294,0.964
18.324,0.964
18.354,0.966
18.384,0.961
18.414,0.957
18.444,0.966
18.474,0.965
18.504,0.968
18.534,0.965
18.564,0.960
18.594,0.963
18.624,0.965
18.654,0.962
18.684,0.960
18.714,0.960
18.744,0.961
18.774,0.966
18.804,0.966
18.834,0.962
18.864,0.964
18.894,0.966
18.924,0.970
18.954,0.967
18.984,0.966
19.014,0.959
19.044,0.960
19.074,0.975
19.104,0.961
19.134,0.962
19.164,0.960
19.194,0.962
19.224,0.964
19.254,0.964
19.284,0.963
19.314,0.965
19.344,0.956
19.374,0.964
19.404,0.963
19.434,0.960
19.464,0.966
19.494,0.967
19.524,0.969
19.554,0.963
19.584,0.955
19.614,0.962
19.644,0.970
19.674,0.967
19.704,0.966
19.734,0.962
19.764,0.966
19.794,0.965
19.824,0.960
19.854,0.965
19.884,0.955
19.914,0.974
19.944,0.969
19.974,0.965
20.004,0.965
20.034,0.964
20.064,0.963
20.094,0.961
20.124,0.962
20.154,0.965
20.184,0.957
20.214,0.969
20.244,0.966
20.274,0.958
20.304,0.965
20.334,0.957
20.364,0.960
20.394,0.965
20.424,0.964
20.454,0.963
20.484,0.964
20.514,0.960
20.544,0.965
20.574,0.958
20.604,0.958
20.634,0.962
20.664,0.969
20.694,0.966
20.724,0.964
20.754,0.965
20.784,0.976
20.814,0.974
20.844,0.965
20.874,0.962
20.904,0.963
20.934,0.963
20.964,0.968
20.994,0.966
21.024,0.967
21.054,0.962
21.084,0.968
21.114,0.964
21.144,0.964
21.174,0.965
21.204,0.967
21.234,0.963
21.264,0.961
21.294,0.961
21.324,0.962
21.354,0.965
21.384,0.962
21.414,0.965
21.444,0.966
21.474,0.966
21.504,0.962
21.534,0.965
21.564,0.973
21.594,0.975
21.624,0.964
21.654,0.967
21.684,0.968
21.714,0.963
21.744,0.963
21.774,0.963
21.804,0.970
21.834,0.965
21.864,0.966
21.894,0.966
21.924,0.960
21.954,0.961
21.984,0.968
22.014,0.963
22.044,0.964
22.074,0.965
22.104,0.967
22.134,0.969
22.164,0.966
22.194,0.967
22.224,0.961
22.254,0.965
22.284,0.958
22.314,0.964
22.344,0.973
22.374,0.968
22.404,0.968
22.434,0.974
22.464,0.971
22.494,0.967
22.524,0.961
22.554,0.968
22.584,0.968
22.614,0.970
22.644,0.966
22.674,0.968
22.704,0.969
22.734,0.969
22.764,0.964
22.794,0.971
22.824,0.969
22.854,0.964
22.884,0.963
22.914,0.965
22.944,0.961
22.974,0.968
23.004,0.963
23.034,0.977
23.064,0.967
23.094,0.968
23.124,0.962
23.154,0.961
23.184,0.962
23.214,0.968
23.244,0.968
23.274,0.966
23.304,0.964
23.334,0.961
23.364,0.965
23.394,0.972
23.424,0.965
23.454,0.965
23.484,0.967
23.514,0.968
23.544,0.965
23.574,0.964
23.604,0.963
23.634,0.968
23.664,0.969
23.694,0.967
23.724,0.970
23.754,0.965
23.784,0.966
23.814,0.962
23.844,0.974
23.874,0.975
23.904,0.963
23.934,0.964
23.964,0.967
23.994,0.967
24.024,0.969
24.054,0.968
24.084,0.961
24.114,0.964
24.144,0.967
24.174,0.972
24.204,0.973
24.234,0.965
24.264,0.964
24.294,0.964
24.324,0.963
24.354,0.963
24.384,0.970
24.414,0.969
24.444,0.968
24.474,0.968
24.504,0.971
24.534,0.964
24.564,0.964
24.594,0.968
24.624,0.971
24.654,0.965
24.684,0.973
24.714,0.964
24.744,0.972
24.774,0.964
24.804,0.967
24.834,0.968
24.864,0.966
24.894,0.968
24.924,0.967
24.954,0.963
24.984,0.967
25.014,0.962
25.044,0.974
25.074,0.967
25.104,0.963
25.134,0.961
25.164,0.964
25.194,0.966
25.224,0.969
25.254,0.959
25.284,0.964
25.314,0.969
25.344,0.971
25.374,0.967
25.404,0.970
25.434,0.965
25.464,0.964
25.494,0.962
25.524,0.964
25.554,0.971
25.584,0.966
25.614,0.973
25.644,0.964
25.674,0.970
25.704,0.977
25.734,0.961
25.764,0.960
25.794,0.962
25.824,0.968
25.854,0.970
25.884,0.969
25.914,0.968
25.944,0.971
25.974,0.965
26.004,0.967
26.034,0.967
26.064,0.968
26.094,0.964
26.124,0.965
26.154,0.970
26.184,0.965
26.214,0.967
26.244,0.965
26.274,0.968
26.304,0.964
26.334,0.967
26.364,0.967
26.394,0.967
26.424,0.973
26.454,0.967
26.484,0.966
26.514,0.963
26.544,0.968
26.574,0.976
26.604,0.968
26.634,0.963
26.664,0.969
26.694,0.971
26.724,0.970
26.754,0.967
26.784,0.963
26.814,0.961
26.844,0.965
26.874,0.968
26.904,0.970
26.934,0.971
26.964,0.969
26.994,0.970
27.024,0.967
27.054,0.963
27.084,0.960
27.114,0.968
27.144,0.970
27.174,0.967
27.204,0.967
27.234,0.971
27.264,0.966
27.294,0.966
27.324,0.966
27.354,0.968
27.384,0.965
27.414,0.966
27.444,0.977
27.474,0.967
27.504,0.967
27.534,0.968
27.564,0.964
27.594,0.966
27.624,0.969
27.654,0.972
27.684,0.972
27.714,0.963
27.744,0.958
27.774,0.949
27.804,0.955
27.834,0.958
27.864,0.945
27.894,0.951
27.924,0.954
27.954,0.969
27.984,0.984
28.014,0.985
28.044,0.986
28.074,0.993
28.104,0.983
28.134,0.989
28.164,0.991
28.194,0.987
28.224,0.977
28.254,0.979
28.284,0.982
28.314,0.989
28.344,0.987
28.374,0.981
28.404,0.975
28.434,0.973
28.464,0.984
28.494,0.988
28.524,0.984
28.554,0.984
28.584,0.976
28.614,0.977
28.644,0.979
28.674,0.974
28.704,0.969
28.734,0.977
28.764,0.979
28.794,0.978
28.824,0.978
28.854,0.978
28.884,0.981
28.914,0.983
28.944,0.979
28.974,0.979
29.004,0.976
29.034,0.976
29.064,0.977
29.094,0.976
29.124,0.978
29.154,0.968
29.184,0.979
29.214,0.986
29.244,0.978
29.274,0.974
29.304,0.976
29.334,0.977
29.364,0.976
29.394,0.983
29.424,0.975
29.454,0.965
29.484,0.979
29.514,0.982
29.544,0.978
29.574,0.979
29.604,0.980
29.634,0.980
29.664,0.976
29.694,0.978
29.724,0.974
29.754,0.973
29.784,0.974
29.814,0.976
29.844,0.976
29.874,0.978
29.904,0.973
29.934,0.975
29.964,0.969
29.994,0.982
30.024,0.982
30.054,0.976
30.084,0.979
30.114,0.981
30.144,0.977
30.174,0.975
30.204,0.968
30.234,0.975
30.264,0.974
30.294,0.979
30.324,0.975
30.354,0.975
30.384,0.975
30.414,0.980
30.444,0.977
30.474,0.976
30.504,0.969
30.534,0.977
30.564,0.976
30.594,0.976
30.624,0.974
30.654,0.976
30.684,0.979
30.714,0.978
30.744,0.977
30.774,0.972
30.804,0.968
30.834,0.975
30.864,0.981
30.894,0.976
30.924,0.976
30.954,0.977
30.984,0.978
31.014,0.979
31.044,0.979
31.074,0.975
31.104,0.970
31.134,0.966
31.164,0.979
31.194,0.981
31.224,0.979
31.254,0.979
31.284,0.973
31.314,0.974
31.344,0.972
31.374,0.974
31.404,0.971
31.434,0.976
31.464,0.979
31.494,0.976
31.524,0.975
31.554,0.979
31.584,0.976
31.614,0.975
31.644,0.976
31.674,0.980
31.704,0.976
31.734,0.985
31.764,0.973
31.794,0.969
31.824,0.970
31.854,0.977
31.884,0.977
31.914,0.976
31.944,0.980
31.974,0.977
32.004,0.974
32.034,0.977
32.064,0.979
32.094,0.971
32.124,0.971
32.154,0.978
32.184,0.981
32.214,0.974
32.244,0.972
32.274,0.976
32.304,0.972
32.334,0.974
32.364,0.974
32.394,0.976
32.424,0.980
32.454,0.979
32.484,0.978
32.514,0.967
32.544,0.977
32.574,0.980
32.604,0.978
32.634,0.976
32.664,0.977
32.694,0.988
32.724,0.979
32.754,0.963
32.784,0.969
32.814,0.967
32.844,0.977
32.874,0.967
32.904,0.968
32.934,0.975
32.964,0.990
32.994,0.986
33.024,0.976
33.054,0.973
33.084,0.975
33.114,0.980
33.144,0.980
33.174,0.977
33.204,0.974
33.234,0.968
33.264,0.979
33.294,0.981
33.324,0.976
33.354,0.974
33.384,0.978
33.414,0.973
33.444,0.969
33.474,0.966
33.504,0.982
33.534,0.979
33.564,0.983
33.594,0.982
33.624,0.969
