df_hash,22ZHK4.3RS3P8
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.CV3S
person_label,v119
date_time_start,2026-03-10_17-43-05.648000_+03
date_time_start_unix,1773150185.648
date_time_end,2026-03-10_17-53-26.485000_+03
length_difference_noticed,no

time,battery
9.940,53
19.932,53
29.926,53
39.942,53
50.012,53
59.907,53
69.928,53
79.918,53
89.889,53
159.956,52
169.950,52
179.895,52
190.134,52
199.883,52
209.981,52
219.871,52
229.914,52
240.005,52
249.902,52
259.895,52
269.889,52
280.005,52
289.943,52
299.871,52
310.011,52
319.952,52
329.902,52
339.904,52
349.889,52
359.883,52
369.893,52
379.972,52
389.866,52
399.859,52
409.853,52
419.896,52
429.889,52
439.884,52
449.878,52
459.920,51
469.865,51
479.986,51
489.853,51
499.945,51
509.847,51
519.884,51
529.928,51
539.872,51
549.866,51
559.885,51
569.853,51
579.847,51
589.841,51
599.884,51
609.829,51
