df_hash,22ZHK4.3RS3P8
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.CV3S
person_label,v119
date_time_start,2026-03-10_17-43-05.648000_+03
date_time_start_unix,1773150185.648
date_time_end,2026-03-10_17-53-26.485000_+03
length_difference_noticed,no

time,ppg_quality
57.874,49
59.894,22
61.914,19
62.924,24
63.934,28
64.944,33
66.964,40
68.974,55
70.994,67
72.004,62
74.024,55
76.044,54
78.064,50
80.084,49
81.094,44
82.104,40
83.114,37
84.124,37
86.144,24
89.174,33
211.059,48
214.089,63
216.109,58
218.129,57
219.139,66
220.149,73
221.159,73
222.169,74
224.189,76
225.199,73
226.209,70
227.219,73
229.239,75
231.259,76
233.279,67
234.289,64
235.299,64
236.309,66
237.319,64
239.339,56
240.349,53
241.359,45
242.369,45
244.389,35
246.409,29
248.429,22
250.449,22
251.459,27
253.479,31
255.499,35
256.509,35
258.529,35
259.539,39
262.569,37
264.589,28
266.609,16
267.619,15
268.629,8
269.639,1
273.679,10
275.699,23
276.709,28
277.719,27
279.739,36
281.759,36
282.769,27
284.789,15
286.809,1
292.869,11
294.889,30
295.899,37
297.919,55
299.939,67
300.949,76
301.959,72
302.969,62
303.979,49
305.999,38
309.029,43
311.049,35
313.069,2
315.089,4
316.099,2
324.179,31
326.199,52
328.219,57
330.239,73
331.249,72
332.259,74
333.269,69
334.279,56
335.289,38
337.309,29
339.329,22
340.339,18
342.359,39
344.379,44
346.399,50
348.419,53
350.439,49
351.449,36
352.459,23
353.469,16
355.489,21
357.509,16
359.529,22
361.549,25
363.569,21
365.589,20
366.599,21
368.619,25
370.639,29
372.659,28
374.679,27
376.699,33
379.729,34
381.749,28
383.769,25
384.779,31
386.799,42
388.819,39
390.839,69
391.849,54
392.859,48
395.889,30
397.909,32
399.929,24
402.959,14
403.969,6
405.989,16
406.999,18
408.009,16
409.019,7
420.129,1
422.149,23
424.169,30
426.189,36
428.209,50
429.219,50
430.229,44
431.239,37
432.249,36
433.259,37
435.279,50
436.289,35
439.319,20
440.329,25
441.339,30
442.349,28
443.359,21
456.489,4
458.509,8
460.529,25
462.549,26
464.569,34
465.579,31
466.589,30
468.609,28
469.619,33
471.639,22
473.659,26
474.669,20
475.679,19
477.699,33
479.719,30
481.739,45
483.759,49
484.769,56
486.789,62
488.809,54
489.819,54
490.829,51
492.849,54
494.869,52
495.879,46
497.899,37
498.909,31
499.919,25
501.939,3
502.949,1
503.959,2
504.969,1
507.999,12
509.009,27
510.019,34
511.029,51
513.049,76
515.069,68
517.089,80
518.099,76
519.109,62
520.119,58
521.129,45
523.149,13
524.159,8
526.179,11
530.219,16
532.239,25
533.249,36
535.269,34
537.289,36
539.309,38
541.319,34
543.339,51
545.359,61
546.369,56
547.379,57
548.389,53
550.409,44
552.429,29
554.449,15
556.469,20
558.489,21
560.509,36
561.519,54
562.529,64
563.539,71
565.559,50
567.579,62
568.589,73
569.599,81
572.629,51
573.639,37
574.649,47
576.669,43
578.689,29
580.709,1
582.729,1
584.749,10
585.759,12
586.769,10
589.799,2
591.819,25
593.839,25
595.859,25
598.889,40
600.909,46
602.929,48
604.949,45
605.959,57
606.969,59
607.979,58
609.999,71
611.009,68
612.019,64
613.029,47
614.039,34
616.059,15
