df_hash,22ZHK4.3RS3P8
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.CV3S
person_label,v119
date_time_start,2026-03-10_17-43-05.648000_+03
date_time_start_unix,1773150185.648
date_time_end,2026-03-10_17-53-26.485000_+03
length_difference_noticed,no

time,ppg_med
5.784,390
5.809,448
5.834,540
5.859,590
5.884,571
5.909,550
5.934,604
5.959,702
5.984,740
6.009,679
6.034,615
6.059,649
6.084,740
6.109,746
6.134,616
6.159,480
6.184,472
6.209,540
6.234,491
6.259,261
6.284,20
6.309,-47
6.334,-16
6.359,-138
6.384,-497
6.409,-866
6.434,-1006
6.459,-1011
6.484,-1211
6.509,-1710
6.534,-2216
6.559,-2416
6.584,-2435
6.609,-2693
6.634,-3322
6.659,-3946
6.684,-4167
6.709,-4145
6.734,-4408
6.759,-5126
6.784,-5819
6.809,-5987
6.834,-5830
6.859,-6014
6.884,-6748
6.909,-7431
6.934,-7437
6.959,-7018
6.984,-7006
7.009,-7662
7.034,-8234
7.059,-7946
7.084,-7109
7.109,-6765
7.134,-7240
7.159,-7599
7.184,-6872
7.209,-5449
7.234,-4636
7.259,-4845
7.284,-4906
7.309,-3603
7.334,-1425
7.359,-22
7.384,74
7.409,342
7.434,2334
7.459,5431
7.484,7509
7.509,7866
7.534,8405
7.559,11168
7.584,15363
7.609,18164
7.634,18585
7.659,19182
7.684,22791
7.709,28374
7.734,31925
7.759,31917
7.784,32030
7.809,32767
7.834,32767
7.859,32767
7.884,32767
7.909,32767
7.934,32767
7.959,32767
7.984,32767
8.009,32767
8.034,10388
8.059,-32768
8.084,-32768
8.109,-32768
8.134,-32768
8.159,-32768
8.184,-32768
8.209,-32768
8.234,-32768
8.259,-32768
8.284,-32768
8.309,-31378
8.334,-31989
8.359,-29987
8.384,-24755
8.409,-19999
8.434,-18411
8.459,-18389
8.484,-16672
8.509,-12745
8.534,-9169
8.559,-7902
8.584,-7834
8.609,-6574
8.634,-3703
8.659,-1101
8.684,-234
8.709,-258
8.734,650
8.759,2787
8.784,4661
8.809,5107
8.834,4799
8.859,5202
8.884,6580
8.909,7755
8.934,7788
8.959,7203
8.984,7175
9.009,7932
9.034,8547
9.059,8271
9.084,7516
9.109,7215
9.134,7548
9.159,7777
9.184,7305
9.209,6466
9.234,6007
9.259,6070
9.284,6062
9.309,5511
9.334,4692
9.359,4204
9.384,4157
9.409,4067
9.434,3543
9.459,2797
9.484,2320
9.509,2228
9.534,2166
9.559,1834
9.584,1372
9.609,1118
9.634,1128
9.659,1114
9.684,864
9.709,513
9.734,338
9.759,374
9.784,388
9.809,206
9.834,-60
9.859,-188
9.884,-140
9.909,-93
9.934,-186
9.959,-348
9.984,-416
10.009,-364
10.034,-318
10.059,-373
10.084,-472
10.109,-497
10.134,-437
10.159,-393
10.184,-438
10.209,-519
10.234,-539
10.259,-482
10.284,-433
10.309,-457
10.334,-523
10.359,-541
10.384,-470
10.409,-351
10.434,-245
10.459,-163
10.484,-76
10.509,28
10.534,129
10.559,199
10.584,252
10.609,298
10.634,310
10.659,303
10.684,290
10.709,283
10.734,284
10.759,288
10.784,289
10.809,283
10.834,268
10.859,243
10.884,216
10.909,189
10.934,163
10.959,132
10.984,95
11.009,58
11.034,28
11.059,5
11.084,-17
11.109,-50
11.134,-85
11.159,-101
11.184,-78
11.209,-16
11.234,61
11.259,128
11.284,172
11.309,202
11.334,234
11.359,274
11.384,315
11.409,343
11.434,354
11.459,351
11.484,345
11.509,343
11.534,346
11.559,350
11.584,348
11.609,338
11.634,319
11.659,296
11.684,270
11.709,243
11.734,213
11.759,181
11.784,147
11.809,114
11.834,79
11.859,39
11.884,-6
11.909,-51
11.934,-86
11.959,-115
11.984,-147
12.009,-188
12.034,-223
12.059,-227
12.084,-181
12.109,-93
12.134,2
12.159,75
12.184,119
12.209,153
12.234,197
12.259,251
12.284,301
12.309,328
12.334,330
12.359,316
12.384,299
12.409,285
12.434,276
12.459,270
12.484,272
12.509,281
12.534,293
12.559,299
12.584,295
12.609,278
12.634,252
12.659,222
12.684,192
12.709,165
12.734,138
12.759,107
12.784,72
12.809,36
12.834,6
12.859,-18
12.884,-48
12.909,-92
12.934,-148
12.959,-192
12.984,-193
13.009,-138
13.034,-43
13.059,54
13.084,126
13.109,171
13.134,207
13.159,255
13.184,315
13.209,371
13.234,405
13.259,416
13.284,415
13.309,416
13.334,424
13.359,432
13.384,430
13.409,416
13.434,391
13.459,362
13.484,334
13.509,308
13.534,283
13.559,255
13.584,219
13.609,176
13.634,131
13.659,92
13.684,62
13.709,35
13.734,3
13.759,-36
13.784,-78
13.809,-118
13.834,-159
13.859,-207
13.884,-262
13.909,-301
13.934,-295
13.959,-227
13.984,-112
14.009,9
14.034,102
14.059,155
14.084,191
14.109,232
14.134,287
14.159,338
14.184,367
14.209,369
14.234,356
14.259,346
14.284,346
14.309,350
14.334,347
14.359,335
14.384,318
14.409,301
14.434,284
14.459,264
14.484,236
14.509,203
14.534,166
14.559,125
14.584,82
14.609,41
14.634,8
14.659,-17
14.684,-44
14.709,-81
14.734,-126
14.759,-158
14.784,-154
14.809,-100
14.834,-11
14.859,83
14.884,159
14.909,210
14.934,245
14.959,278
14.984,311
15.009,337
15.034,349
15.059,345
15.084,333
15.109,323
