df_hash,22ZHK4.7H06EP
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.REJ0
person_label,V156
date_time_start,2026-06-08_19-48-47.051000_+03
date_time_start_unix,1780930127.051
date_time_end,2026-06-08_19-59-06.457000_+03
length_difference_noticed,no

time,perfusion_ir
50.400,0.220
60.736,0.220
61.807,0.220
62.588,0.220
64.342,0.220
67.560,0.220
76.287,0.220
77.169,0.210
78.041,0.210
79.504,0.210
80.430,0.210
82.166,0.210
83.109,0.210
83.889,0.210
86.965,0.210
92.670,0.220
95.786,0.210
96.469,0.210
97.548,0.210
97.978,0.210
101.348,0.210
102.172,0.210
103.884,0.210
104.561,0.210
105.438,0.210
106.608,0.210
107.977,0.210
109.677,0.220
110.511,0.220
111.581,0.210
112.971,0.220
113.723,0.210
120.507,0.210
126.891,0.210
128.642,0.210
129.374,0.210
130.013,0.210
132.740,0.210
133.664,0.210
134.538,0.210
137.466,0.210
138.205,0.210
138.973,0.220
140.007,0.220
141.512,0.210
142.975,0.210
143.751,0.210
144.483,0.210
147.756,0.210
148.629,0.210
149.412,0.220
151.064,0.220
152.871,0.220
159.308,0.230
160.820,0.230
162.619,0.230
163.469,0.230
164.374,0.230
165.056,0.230
166.714,0.230
167.442,0.230
167.938,0.230
173.975,0.230
174.757,0.230
176.314,0.230
177.056,0.230
178.020,0.230
178.757,0.230
179.632,0.240
180.390,0.240
181.240,0.240
181.874,0.240
182.754,0.240
184.360,0.240
185.040,0.240
185.825,0.240
187.336,0.240
188.262,0.240
189.868,0.240
190.648,0.240
191.490,0.240
192.316,0.240
193.278,0.240
194.816,0.250
197.668,0.250
200.054,0.250
200.839,0.250
202.456,0.250
203.323,0.240
204.840,0.240
206.593,0.240
207.270,0.240
208.148,0.240
208.976,0.240
210.792,0.240
213.268,0.240
213.956,0.240
214.669,0.240
216.198,0.240
216.883,0.240
217.950,0.240
218.682,0.250
219.413,0.240
220.249,0.240
220.876,0.240
222.680,0.240
223.328,0.240
223.968,0.240
224.728,0.240
224.781,0.240
230.142,0.240
230.868,0.240
235.358,0.240
235.695,0.240
241.697,0.250
242.084,0.250
246.520,0.250
247.157,0.250
247.709,0.250
250.860,0.250
253.687,0.250
255.491,0.250
259.681,0.250
260.513,0.250
262.612,0.250
263.463,0.240
264.947,0.240
265.827,0.230
266.799,0.240
267.484,0.240
268.411,0.240
269.188,0.240
269.876,0.240
270.602,0.240
272.511,0.240
273.335,0.240
279.899,0.240
280.954,0.230
285.235,0.230
286.115,0.240
289.666,0.240
290.349,0.240
295.681,0.240
305.508,0.240
307.214,0.240
313.193,0.240
315.066,0.240
316.724,0.240
317.357,0.240
318.293,0.240
319.142,0.240
319.941,0.250
331.007,0.240
337.200,0.240
337.840,0.240
339.392,0.230
343.296,0.230
343.972,0.230
344.801,0.230
345.536,0.220
346.315,0.220
375.884,0.220
377.861,0.210
378.636,0.210
379.419,0.200
380.168,0.200
382.536,0.200
384.977,0.200
385.805,0.200
388.045,0.200
388.540,0.200
390.824,0.210
391.506,0.210
392.484,0.220
392.923,0.230
404.868,0.230
405.448,0.230
406.866,0.230
419.003,0.230
420.662,0.230
421.242,0.230
421.922,0.230
422.759,0.230
423.338,0.230
423.886,0.220
424.754,0.220
425.438,0.220
425.974,0.220
426.900,0.220
427.774,0.220
428.454,0.210
428.998,0.210
430.456,0.210
431.379,0.210
431.818,0.210
436.161,0.210
439.718,0.210
440.351,0.200
441.811,0.210
444.158,0.210
445.812,0.210
446.543,0.210
447.131,0.200
447.864,0.200
449.277,0.210
449.956,0.210
450.736,0.210
452.785,0.210
456.371,0.210
457.565,0.210
465.701,0.210
468.582,0.210
478.765,0.200
484.569,0.200
486.188,0.200
486.565,0.200
494.806,0.200
495.586,0.200
496.217,0.200
497.633,0.200
521.476,0.200
538.019,0.200
540.385,0.200
542.722,0.200
543.786,0.200
545.305,0.210
546.291,0.210
546.865,0.210
548.669,0.210
550.469,0.210
551.301,0.220
552.227,0.220
554.083,0.240
555.943,0.260
556.663,0.260
557.300,0.260
559.832,0.260
560.707,0.260
563.396,0.260
567.393,0.270
568.248,0.270
569.056,0.270
569.822,0.280
569.879,0.280
