df_hash,22ZHK4.7H06EP
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.REJ0
person_label,V156
date_time_start,2026-06-08_19-48-47.051000_+03
date_time_start_unix,1780930127.051
date_time_end,2026-06-08_19-59-06.457000_+03
length_difference_noticed,no

time,spo2
50.396,95
60.687,94
61.573,94
62.539,94
64.197,94
67.512,94
76.284,94
77.116,94
77.847,94
79.458,95
80.382,94
82.163,93
83.065,93
83.844,93
86.917,94
92.666,93
95.543,93
96.421,93
97.542,93
97.932,93
101.199,93
102.126,93
103.831,93
104.513,93
105.390,93
106.268,93
107.974,93
109.583,93
110.508,93
111.289,93
112.944,93
113.679,93
120.504,93
126.888,93
128.546,93
129.228,93
130.009,93
132.734,93
133.569,93
134.503,93
137.271,93
138.198,93
138.959,92
140.001,92
141.465,92
142.971,93
143.706,92
144.460,92
147.706,92
148.533,92
149.409,91
150.970,91
152.868,91
159.305,91
160.816,91
162.571,92
163.453,92
164.229,92
165.029,92
166.667,92
167.350,92
167.839,92
173.831,92
174.662,92
176.270,91
177.053,91
177.975,91
178.754,91
179.535,91
180.369,91
181.192,91
181.826,91
182.751,91
184.263,91
184.994,90
185.774,90
187.333,90
188.259,90
189.625,90
190.600,90
191.482,90
192.313,90
193.183,90
194.802,90
197.570,90
199.813,90
200.791,90
202.451,90
203.276,90
204.787,90
206.590,90
207.226,90
208.103,90
208.932,90
210.787,91
213.131,91
213.950,90
214.651,90
216.195,90
216.880,90
217.805,90
218.536,90
219.364,90
220.246,90
220.828,90
222.388,90
223.318,90
223.945,90
224.680,90
224.778,90
230.139,90
230.823,91
235.310,91
235.678,90
241.356,90
242.081,89
246.182,90
247.151,90
247.702,90
250.819,90
253.639,90
255.443,90
259.395,91
260.370,91
262.606,91
263.457,91
264.804,92
265.779,92
266.753,92
267.339,92
268.217,91
269.167,92
269.873,92
270.507,92
272.410,93
273.287,93
279.870,93
280.950,93
285.230,93
286.110,93
289.521,93
290.204,93
295.668,93
305.413,94
307.169,94
313.187,94
315.018,93
316.626,93
317.309,93
318.235,93
319.138,93
319.893,93
330.960,92
337.151,92
337.837,92
339.345,92
343.292,92
343.927,92
344.785,93
345.532,93
346.267,93
375.875,92
377.760,92
378.589,93
379.416,92
380.149,92
382.488,93
384.973,93
385.802,93
388.042,93
388.483,93
390.820,92
391.457,92
392.481,91
392.919,91
404.863,91
405.402,91
406.863,91
418.954,91
420.657,91
421.196,90
421.836,90
422.753,90
423.292,89
423.881,89
424.705,88
425.389,88
425.971,88
426.897,88
427.677,87
428.312,87
428.946,87
430.407,87
431.139,87
431.795,88
436.156,88
439.715,88
440.333,88
441.793,88
444.155,88
445.620,88
446.494,88
447.127,88
447.811,87
449.175,87
449.953,87
450.686,87
452.734,87
456.342,87
457.512,87
465.559,87
468.529,87
478.717,87
484.563,87
486.178,87
486.419,87
494.757,87
495.583,87
496.120,87
497.630,88
521.469,87
537.996,87
540.382,87
542.719,88
543.780,89
545.258,90
546.284,90
546.817,90
548.621,91
550.424,91
551.255,91
552.181,91
553.985,91
555.937,92
556.518,93
557.297,93
559.784,93
560.661,93
563.345,93
567.388,93
568.224,93
569.043,93
569.777,93
569.874,93
