df_hash,22ZHK4.7H06EP
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.REJ0
person_label,V156
date_time_start,2026-06-08_19-48-47.051000_+03
date_time_start_unix,1780930127.051
date_time_end,2026-06-08_19-59-06.457000_+03
length_difference_noticed,no

time,heart_rate
15.537,69
16.682,68
17.633,67
18.513,67
19.730,68
20.562,67
21.557,67
22.607,67
23.617,67
24.410,67
25.678,67
26.507,73
27.495,75
28.652,75
29.579,75
30.456,74
31.724,74
32.504,74
33.333,74
34.562,75
35.429,74
36.358,74
37.772,74
38.452,74
39.427,74
40.549,77
41.426,79
42.352,78
43.474,78
44.454,77
45.278,75
46.546,74
47.374,72
48.352,70
49.470,69
50.646,69
51.277,70
52.506,70
53.322,69
54.151,69
55.418,69
56.247,69
57.229,69
58.365,63
59.323,65
60.147,65
61.415,71
62.243,71
63.218,71
64.732,70
65.315,69
66.182,69
67.362,70
68.210,70
69.179,71
70.287,71
71.266,70
72.085,70
73.360,70
74.187,79
75.023,75
76.293,79
77.408,78
78.065,77
79.212,76
80.184,76
81.013,75
82.231,73
83.117,72
84.057,71
85.156,71
86.154,71
86.996,71
88.234,72
89.007,71
89.997,71
91.161,71
92.127,73
92.956,72
94.226,76
95.003,79
95.882,80
97.148,80
98.011,79
98.953,78
100.054,78
100.951,77
101.975,77
103.096,76
103.924,75
104.853,73
106.021,72
106.963,71
107.830,71
109.043,71
109.920,71
110.847,71
111.968,71
113.178,71
113.820,72
115.046,73
115.838,73
116.745,74
117.940,73
118.793,75
119.768,77
120.889,77
122.059,77
122.696,77
123.960,77
124.789,77
125.765,77
127.031,77
127.811,78
128.688,77
129.810,77
130.784,76
131.760,75
132.834,73
133.808,72
134.665,70
135.854,68
136.733,67
137.560,66
138.828,65
139.804,66
140.631,67
141.775,69
142.728,70
143.556,72
144.872,74
145.655,75
146.579,76
147.950,76
148.675,76
149.513,76
150.771,75
151.600,74
152.627,74
153.718,74
154.671,73
155.500,73
156.718,74
157.595,74
158.424,74
159.643,72
160.494,71
161.477,71
162.860,71
163.551,71
164.426,71
165.639,71
166.467,72
167.452,73
168.563,72
169.538,74
170.367,73
171.586,73
172.463,74
173.389,73
174.510,73
175.496,73
176.319,73
177.581,73
178.412,74
179.239,74
180.506,74
181.335,74
182.310,74
183.415,75
184.652,75
185.186,75
186.453,76
187.579,77
188.268,77
189.378,77
190.317,77
191.182,76
192.459,75
193.282,73
194.253,71
195.325,70
196.300,70
197.178,69
198.838,69
199.225,69
200.205,69
201.324,70
202.199,71
203.126,71
204.248,72
205.222,73
206.061,74
207.372,74
208.153,74
209.143,74
210.492,73
211.170,72
211.999,71
213.281,71
214.123,71
215.022,73
216.634,74
217.167,75
218.008,76
219.264,76
220.046,76
220.921,76
222.189,76
223.023,77
223.974,77
225.066,77
225.995,78
226.870,77
228.152,78
228.969,78
229.941,78
231.067,78
231.989,77
232.824,77
234.085,77
234.963,77
236.036,78
237.017,78
237.937,78
238.814,78
240.036,77
241.058,75
241.740,73
243.011,71
243.836,70
244.811,70
245.933,70
246.821,72
247.985,74
248.914,76
250.028,77
250.759,77
251.881,77
252.807,75
253.979,72
254.909,70
255.816,68
256.758,67
257.835,68
258.809,69
259.691,70
260.998,72
261.729,74
262.659,75
263.825,76
264.654,76
265.629,76
266.803,76
267.725,75
268.557,75
269.822,73
270.696,72
271.625,73
272.747,74
273.673,74
274.551,75
275.769,75
276.639,75
277.573,74
278.705,74
279.670,74
280.508,78
281.766,76
282.643,75
283.425,73
284.642,71
285.520,69
286.495,69
287.591,69
288.494,69
289.410,69
290.639,70
291.468,72
292.442,74
293.564,77
294.539,78
295.368,79
296.586,78
297.464,77
298.449,76
299.512,75
300.491,73
301.321,74
302.590,74
303.412,74
304.337,79
305.512,77
306.337,80
307.381,79
308.589,79
309.408,78
310.237,78
311.504,82
312.333,83
313.259,83
314.381,82
315.356,80
316.184,78
317.452,76
318.527,75
319.163,74
320.377,72
321.206,73
322.185,74
323.350,76
324.277,77
325.111,76
326.373,75
327.191,74
328.128,74
329.542,76
330.243,78
331.081,81
332.322,82
333.150,83
334.129,83
335.249,82
336.222,82
337.001,81
338.268,81
339.098,80
339.980,80
341.193,80
342.026,80
342.998,79
344.170,79
345.093,78
345.928,78
347.190,78
348.020,79
348.996,80
350.141,80
351.041,81
351.918,80
353.138,83
353.989,84
354.902,85
356.013,84
356.988,83
357.963,83
359.133,82
360.011,81
360.794,81
362.009,81
362.891,81
363.862,78
364.983,79
365.909,78
366.792,78
368.012,78
368.834,78
369.809,78
370.979,78
371.906,75
372.734,76
373.957,76
374.782,76
375.806,75
376.927,75
378.003,85
378.731,84
379.908,86
380.778,86
381.656,85
382.877,84
383.703,82
384.691,80
386.046,78
386.774,77
387.670,77
388.773,77
389.703,78
390.674,79
391.770,80
392.722,81
393.797,81
394.818,80
395.652,80
396.621,80
397.743,80
398.718,80
399.546,80
400.831,80
401.642,80
402.495,80
403.698,80
404.567,80
405.494,85
406.641,85
407.593,85
408.419,85
409.686,85
410.536,85
411.500,85
412.611,85
413.589,85
414.436,85
415.685,85
416.511,85
417.486,85
418.605,86
419.533,86
420.369,86
421.629,85
422.530,85
423.583,85
424.554,85
425.678,85
426.363,85
427.508,84
428.459,84
429.578,84
