df_hash,22ZHK4.7H06EP
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.REJ0
person_label,V156
date_time_start,2026-06-08_19-48-47.051000_+03
date_time_start_unix,1780930127.051
date_time_end,2026-06-08_19-59-06.457000_+03
length_difference_noticed,no

time,temperature
5.108,35.156
6.078,35.219
7.065,35.281
7.979,35.344
9.003,35.375
10.076,35.344
11.100,35.344
12.075,35.375
13.050,35.438
14.026,35.469
15.001,35.562
15.976,35.531
17.113,35.594
18.074,35.594
18.998,35.594
19.976,35.688
21.095,35.750
22.071,35.781
23.046,35.844
23.980,35.875
24.948,35.875
26.118,35.969
27.342,36.000
28.019,36.031
28.994,36.094
29.974,36.125
31.091,36.125
32.070,36.125
32.998,36.125
34.065,36.156
34.991,36.156
36.112,36.156
37.092,36.156
38.068,36.219
39.086,36.219
40.013,36.250
41.331,36.281
42.060,36.281
43.084,36.312
44.010,36.375
45.034,36.375
46.156,36.375
47.102,36.375
48.057,36.375
49.032,36.406
50.007,36.500
50.985,36.562
52.076,36.562
52.981,36.625
54.053,36.625
55.029,36.625
55.999,36.625
56.930,36.688
58.051,36.656
59.026,36.688
60.006,36.594
60.982,36.562
62.098,36.562
63.072,36.531
64.048,36.562
65.038,36.531
65.998,36.531
67.135,36.594
68.095,36.625
69.068,36.656
70.046,36.625
70.970,36.625
72.094,36.625
73.067,36.625
74.042,36.625
75.016,36.688
75.992,36.688
76.970,36.625
78.099,36.656
79.063,36.656
80.039,36.719
80.964,36.719
81.988,36.750
82.970,36.812
84.238,36.812
85.010,36.812
86.136,36.844
87.114,36.844
88.181,36.844
89.057,36.844
90.039,36.844
91.055,36.875
91.981,36.875
93.203,36.875
94.223,36.875
95.053,36.906
96.028,36.906
97.003,36.938
98.076,36.938
99.051,36.875
100.051,36.906
101.154,36.906
101.983,36.875
102.955,36.906
104.071,36.906
105.046,36.875
105.972,36.875
107.011,36.875
108.120,36.906
109.092,36.938
110.067,36.906
111.042,36.906
112.018,36.938
113.195,36.875
114.361,36.938
115.241,36.938
116.117,36.969
116.994,36.938
117.969,36.938
119.089,36.938
120.215,36.969
121.035,37.000
122.071,37.000
122.987,37.156
124.107,37.156
125.084,37.156
126.106,37.219
127.041,37.250
128.006,37.156
129.084,37.188
130.079,37.188
131.028,37.156
132.004,37.125
132.979,37.031
134.100,37.031
135.075,37.062
136.050,37.000
137.025,36.969
138.145,37.062
139.145,37.062
140.244,37.062
141.028,37.094
142.009,37.125
143.218,37.094
144.093,37.094
145.072,37.094
146.043,37.094
147.022,37.094
148.007,37.188
148.992,37.219
150.235,37.219
151.068,37.250
152.039,37.250
153.014,37.219
154.232,37.219
155.405,37.219
156.036,37.219
157.011,37.250
158.283,37.125
159.253,37.125
160.082,37.125
161.080,37.125
162.038,37.125
163.027,37.156
163.982,37.188
165.103,37.094
166.029,37.094
167.004,37.094
168.010,37.125
169.002,37.094
170.075,37.094
171.050,37.094
172.074,37.062
173.000,37.000
173.979,37.031
175.047,37.125
176.075,37.188
176.954,37.219
178.165,37.219
178.992,37.219
179.922,37.219
180.994,37.219
182.018,37.250
182.994,37.312
183.967,37.344
185.045,37.344
186.063,37.312
187.282,37.219
187.965,37.219
188.940,37.250
190.061,37.219
191.036,37.250
192.059,37.250
192.986,37.250
193.961,37.250
195.086,37.281
196.057,37.250
197.039,37.344
197.979,37.344
198.982,37.281
200.078,37.344
201.133,37.312
202.005,37.281
202.980,37.281
203.959,37.250
205.127,37.219
206.003,37.188
207.027,37.188
208.030,37.188
208.982,37.250
210.098,37.250
211.073,37.281
212.292,37.281
212.986,37.281
213.961,37.344
215.073,37.344
216.046,37.375
217.022,37.406
218.016,37.438
218.979,37.406
220.112,37.375
221.068,37.375
222.044,37.469
222.970,37.469
224.147,37.438
224.940,37.469
226.070,37.469
227.075,37.469
227.991,37.469
228.922,37.469
230.087,37.438
231.036,37.438
232.038,37.375
233.013,37.375
233.989,37.406
235.061,37.375
236.048,37.406
237.260,37.406
238.035,37.375
238.961,37.406
240.089,37.406
241.132,37.438
242.032,37.469
243.007,37.469
244.080,37.469
245.130,37.375
246.031,37.375
247.225,37.375
248.276,37.406
248.965,37.406
250.079,37.406
251.201,37.375
252.029,37.406
253.002,37.406
254.008,37.375
254.957,37.469
256.025,37.438
257.049,37.344
258.503,37.344
258.956,37.375
260.072,37.344
261.051,37.344
262.171,37.344
263.004,37.344
263.972,37.344
264.952,37.344
266.068,37.344
267.043,37.438
268.018,37.438
268.993,37.406
270.090,37.438
271.090,37.469
272.039,37.469
272.991,37.469
273.990,37.469
275.087,37.500
276.062,37.469
277.038,37.500
278.013,37.500
278.968,37.469
279.978,37.500
281.042,37.438
282.010,37.375
283.040,37.375
283.982,37.406
285.084,37.375
286.060,37.406
287.032,37.375
288.007,37.375
289.014,37.438
290.104,37.438
291.078,37.469
292.004,37.469
293.126,37.469
293.959,37.594
295.076,37.625
296.053,37.625
297.074,37.625
298.007,37.625
298.976,37.625
300.343,37.656
301.072,37.656
301.950,37.688
302.973,37.719
304.095,37.625
304.923,37.594
306.191,37.531
307.020,37.531
307.997,37.531
309.118,37.500
309.945,37.469
311.066,37.500
312.041,37.469
313.016,37.469
313.997,37.438
315.310,37.469
316.039,37.500
317.013,37.531
317.948,37.500
