df_hash,22ZHK4.7H06EP
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.REJ0
person_label,V156
date_time_start,2026-06-08_19-48-47.051000_+03
date_time_start_unix,1780930127.051
date_time_end,2026-06-08_19-59-06.457000_+03
length_difference_noticed,no

time,quality
15.542,79
16.956,79
17.655,83
18.757,50
19.733,50
20.806,26
21.683,0
22.610,29
23.780,32
24.414,40
25.683,42
26.510,50
27.544,68
28.656,71
29.582,79
30.459,83
31.730,82
32.507,82
33.338,76
34.796,76
35.435,65
36.656,60
37.775,55
38.455,45
39.431,45
40.554,65
41.430,69
42.356,73
43.477,71
44.598,73
45.282,74
46.700,78
47.378,77
48.498,80
49.476,84
50.650,75
51.423,75
52.646,79
53.325,47
54.154,36
55.421,31
56.252,37
57.371,31
58.834,35
59.516,25
60.150,27
61.418,32
62.247,88
63.223,84
64.735,83
65.318,90
66.341,76
67.366,70
68.440,66
69.316,64
70.290,56
71.411,49
72.089,36
73.408,31
74.194,41
75.311,31
76.530,38
77.411,48
78.093,74
79.358,82
80.187,85
81.017,83
82.258,81
83.209,80
84.233,81
85.161,65
86.326,65
87.109,61
88.425,62
89.013,48
90.032,45
91.310,43
92.131,41
92.959,37
94.324,52
95.007,55
95.892,58
97.152,56
98.040,74
98.960,79
100.077,81
101.010,80
101.978,81
103.155,82
103.929,82
104.857,79
106.024,81
106.996,80
107.922,80
109.046,79
109.924,78
110.901,81
111.971,82
113.184,81
113.825,79
115.234,70
116.014,73
116.751,52
117.964,46
118.796,47
119.771,52
120.892,54
122.064,50
122.840,54
123.966,40
124.838,35
126.007,39
127.035,34
127.815,42
128.692,39
129.814,75
130.788,76
131.810,73
132.840,77
133.829,74
134.931,74
135.858,72
136.760,74
137.564,75
138.832,79
139.807,79
140.635,79
141.858,77
142.732,79
143.560,82
144.876,82
145.802,81
146.582,85
147.961,88
148.678,78
149.653,74
150.775,76
151.603,78
152.721,77
153.723,73
154.674,73
155.523,72
156.721,71
157.599,71
158.427,70
159.646,71
160.767,77
161.598,79
162.863,80
163.697,82
164.666,85
165.642,84
166.471,75
167.591,77
168.569,48
169.566,49
170.371,40
171.591,42
172.469,42
173.396,48
174.516,69
175.782,67
176.609,81
177.584,76
178.703,83
179.264,82
180.510,83
181.339,83
182.315,81
183.529,81
184.655,80
185.189,76
186.456,79
187.589,76
188.406,80
189.381,79
190.379,78
191.185,74
192.601,75
193.427,73
194.256,77
195.330,75
196.305,78
197.183,77
198.842,76
199.228,77
200.218,74
201.565,74
202.205,80
203.129,74
204.542,83
205.225,78
206.204,82
207.377,87
208.394,84
209.272,81
210.495,78
211.174,82
212.003,76
213.428,79
214.126,75
215.025,74
216.637,75
217.172,81
218.011,76
219.267,80
220.099,78
220.933,79
222.192,77
223.262,79
224.142,79
225.069,73
226.049,79
226.874,75
228.335,73
229.115,64
229.945,67
231.213,69
231.994,64
232.867,58
234.091,59
234.967,64
236.041,64
237.020,62
237.942,57
238.817,55
240.083,54
241.082,66
241.743,72
243.303,78
243.839,73
244.815,75
245.943,73
247.106,78
247.995,65
248.958,65
250.037,74
250.762,70
251.884,71
252.810,67
253.998,63
254.953,68
255.881,75
256.765,84
257.975,79
258.950,78
259.830,72
261.003,66
261.735,77
262.664,76
263.829,77
264.657,85
265.632,81
266.997,78
267.729,77
268.801,76
269.825,79
270.797,67
271.629,67
272.751,68
273.677,67
274.613,57
275.773,53
276.796,58
277.577,46
278.943,33
279.673,32
280.649,44
281.771,35
282.649,29
283.570,69
284.647,74
285.526,77
286.499,77
287.595,79
288.497,79
289.430,73
290.644,75
291.492,70
292.448,65
293.568,74
294.542,76
295.371,76
296.590,66
297.468,55
298.540,58
299.515,69
300.684,56
301.464,56
302.732,45
303.415,35
304.536,44
305.708,43
306.340,51
307.507,65
308.592,38
309.411,30
310.240,33
311.511,36
312.337,36
313.264,41
314.384,46
315.360,55
316.188,69
317.455,77
318.532,83
319.307,83
320.381,76
321.211,72
322.379,63
323.357,56
324.280,58
325.352,48
326.377,43
327.197,55
328.131,49
329.546,58
330.374,45
331.354,52
332.474,47
333.155,53
334.274,50
335.395,59
336.225,73
337.004,87
338.272,87
339.108,89
340.075,86
341.197,85
342.171,83
343.241,81
344.268,85
345.098,78
346.072,83
347.193,77
348.316,78
349.189,78
350.504,68
351.044,64
351.922,49
353.157,51
354.261,57
354.941,62
356.066,52
356.992,58
357.967,59
359.138,51
360.014,50
361.037,37
362.013,40
362.986,35
363.866,42
364.987,26
365.915,25
366.811,0
368.028,0
368.837,0
369.813,0
370.985,0
371.909,29
372.739,21
374.002,18
374.785,22
375.810,19
376.930,37
378.018,53
378.734,68
379.950,69
380.781,69
381.669,56
383.069,56
383.706,72
384.922,77
386.049,86
386.778,85
387.677,81
388.776,78
389.943,74
390.677,81
391.801,85
392.725,84
393.800,69
394.821,22
395.793,31
396.625,0
397.746,35
398.721,33
399.551,0
401.058,25
401.646,31
402.520,19
403.934,16
404.571,18
405.499,29
406.644,30
407.890,56
408.422,61
409.691,65
410.539,62
411.790,61
412.662,40
413.784,37
414.664,37
415.828,35
416.514,26
417.490,25
418.612,41
419.539,64
420.508,70
421.635,81
422.604,87
423.607,86
424.558,88
425.681,84
426.507,80
427.532,84
428.506,85
429.581,84
430.553,80
