df_hash,22ZHK4.7H06EP
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.REJ0
person_label,V156
date_time_start,2026-06-08_19-48-47.051000_+03
date_time_start_unix,1780930127.051
date_time_end,2026-06-08_19-59-06.457000_+03
length_difference_noticed,no

time,ppg_quality
57.396,59
58.406,58
59.416,52
60.426,47
62.446,43
64.466,70
65.476,76
67.496,74
69.516,62
71.536,30
72.546,19
73.556,12
75.576,13
77.596,15
78.606,22
79.616,35
80.626,51
82.646,74
84.666,80
85.676,75
86.686,68
87.696,59
88.706,44
90.726,22
92.746,32
93.756,33
94.766,32
95.776,34
96.786,42
97.796,52
99.816,79
101.836,83
103.856,83
105.876,94
107.896,95
109.916,97
110.926,97
112.946,95
114.966,88
116.986,70
119.006,48
122.036,36
124.056,47
125.066,46
126.076,50
128.096,65
130.116,86
132.136,98
134.156,86
136.176,92
138.196,99
139.206,101
140.216,102
143.246,93
144.256,93
145.266,93
146.276,91
147.286,89
149.306,89
151.326,90
152.336,96
153.346,97
155.366,87
156.376,84
158.396,79
159.406,76
160.416,75
162.436,69
163.446,65
164.456,67
166.476,77
167.486,78
169.506,74
170.516,67
171.526,59
172.536,56
173.546,58
175.566,63
177.586,62
178.596,64
179.606,71
181.626,85
183.646,94
184.656,91
185.666,91
186.676,95
188.696,95
189.706,95
190.716,99
192.736,97
193.746,97
194.756,100
196.776,100
198.796,95
200.816,95
202.836,94
203.846,90
204.856,88
205.866,88
207.886,86
208.896,87
209.906,88
211.926,82
213.946,83
214.956,85
216.976,88
217.986,93
221.016,93
222.026,97
223.036,100
225.056,99
227.076,97
228.086,94
229.096,94
231.116,94
232.126,89
234.146,86
236.166,84
238.186,80
240.206,73
242.226,76
244.246,78
245.256,77
246.266,76
248.286,81
249.296,85
251.316,87
252.326,89
253.336,91
255.356,90
256.366,91
257.376,93
259.396,100
260.396,100
261.406,97
262.416,94
264.436,92
266.456,96
267.466,94
268.476,87
270.496,86
272.516,90
273.526,89
274.536,87
275.546,84
276.556,76
278.576,72
280.596,76
281.606,75
283.626,78
285.646,81
287.666,99
289.686,98
291.706,90
293.726,88
294.736,86
295.746,83
296.756,80
298.776,77
300.796,67
302.816,62
304.836,71
306.856,72
308.876,71
309.886,70
310.896,71
311.906,70
312.916,64
314.936,58
315.946,61
317.966,61
318.976,61
319.986,65
322.006,84
324.026,89
326.046,85
327.056,86
328.066,86
330.086,72
331.096,59
333.116,49
335.136,44
336.146,47
337.156,44
339.176,50
341.196,66
342.206,72
343.216,77
345.236,82
346.246,81
347.256,81
348.266,81
349.276,82
350.286,82
351.296,80
352.306,85
354.326,87
355.336,85
356.346,83
357.356,86
358.366,88
359.376,87
360.386,90
361.396,92
363.416,83
364.426,77
365.436,75
367.456,72
369.476,71
370.486,64
371.496,64
373.516,48
375.536,17
376.546,18
378.566,15
380.586,21
382.606,23
384.626,60
386.646,83
388.666,84
389.676,82
390.686,81
393.716,77
394.726,77
395.736,79
397.756,79
399.776,69
401.796,45
402.806,41
403.816,57
404.826,67
406.846,61
408.866,68
410.886,78
412.906,81
413.916,66
414.926,56
416.946,46
417.956,46
419.976,60
420.986,68
421.996,75
424.016,80
426.036,85
428.056,92
430.076,80
431.086,79
432.096,84
434.116,86
436.136,80
438.156,74
439.166,69
441.186,64
443.206,61
445.226,69
446.236,73
447.246,76
449.266,83
451.286,85
452.296,81
453.306,80
454.316,76
456.336,74
458.356,76
459.366,74
460.376,75
461.386,75
462.396,75
464.416,67
466.436,61
468.456,66
470.476,63
471.486,62
473.506,66
475.526,69
477.546,60
479.566,53
481.586,52
482.596,49
483.606,55
485.626,77
487.646,103
488.656,93
490.676,100
492.696,109
494.716,96
495.726,83
496.736,70
498.756,60
500.776,58
501.786,47
502.796,40
504.816,38
505.826,43
506.836,39
507.846,33
509.866,15
511.886,15
513.906,34
514.916,34
515.926,25
517.936,39
519.956,60
520.966,56
521.976,49
522.986,43
525.006,28
527.026,38
529.046,38
531.066,48
533.086,64
534.096,73
535.106,79
536.116,83
537.126,90
539.146,100
540.156,103
542.176,106
543.186,105
544.196,105
545.206,102
546.216,102
548.236,103
550.256,102
552.276,103
554.296,102
555.306,102
557.326,99
559.346,99
561.366,96
563.386,94
565.406,98
566.416,100
567.426,97
568.436,95
570.456,95
572.476,97
573.486,99
574.496,99
575.506,96
576.516,102
578.536,109
580.556,87
582.576,78
583.586,82
585.606,80
586.616,60
587.626,39
589.646,20
591.666,33
597.726,11
599.746,23
601.941,16
604.971,12
606.991,9
609.011,9
613.051,14
614.061,23
616.081,32
