df_hash,22ZHK4.7H06EP
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.REJ0
person_label,V156
date_time_start,2026-06-08_19-48-47.051000_+03
date_time_start_unix,1780930127.051
date_time_end,2026-06-08_19-59-06.457000_+03
length_difference_noticed,no

time,omega
50.409,0.681
60.739,0.717
61.811,0.690
62.600,0.690
64.346,0.690
67.564,0.690
76.291,0.717
77.173,0.717
78.058,0.690
79.510,0.680
80.434,0.717
82.183,0.745
83.114,0.738
83.893,0.738
86.990,0.711
92.673,0.739
95.790,0.739
96.472,0.739
97.551,0.739
98.001,0.734
101.353,0.734
102.184,0.734
103.896,0.738
104.564,0.738
105.442,0.738
106.612,0.738
107.981,0.734
109.681,0.734
110.514,0.738
111.585,0.738
112.986,0.734
113.729,0.734
120.522,0.738
126.896,0.729
128.646,0.738
129.378,0.738
130.029,0.742
132.832,0.743
133.686,0.751
134.545,0.761
137.470,0.769
138.215,0.769
139.121,0.778
140.010,0.778
141.516,0.778
143.020,0.766
143.755,0.778
144.487,0.784
147.765,0.799
148.633,0.799
149.415,0.824
151.068,0.824
152.874,0.838
159.311,0.838
160.823,0.824
162.630,0.810
163.478,0.810
164.377,0.800
165.060,0.800
166.718,0.789
167.448,0.789
167.951,0.800
173.978,0.804
174.778,0.810
176.318,0.816
177.060,0.824
178.024,0.824
178.761,0.824
179.636,0.832
180.412,0.832
181.244,0.835
181.877,0.843
182.758,0.843
184.363,0.851
185.043,0.858
185.832,0.858
187.340,0.858
188.266,0.858
189.872,0.867
190.652,0.867
191.506,0.864
192.320,0.864
193.281,0.864
194.831,0.877
197.671,0.885
200.073,0.886
200.872,0.882
202.489,0.867
203.327,0.867
204.850,0.867
206.596,0.871
207.275,0.871
208.151,0.871
208.981,0.857
210.799,0.851
213.280,0.843
213.960,0.857
214.830,0.857
216.201,0.857
216.887,0.872
217.954,0.872
218.685,0.857
219.416,0.872
220.290,0.853
220.879,0.853
222.684,0.853
223.332,0.853
223.972,0.870
224.773,0.870
224.879,0.870
230.145,0.863
230.871,0.851
235.364,0.851
235.700,0.868
241.704,0.888
242.088,0.896
246.526,0.888
247.200,0.888
247.739,0.876
250.864,0.864
253.709,0.864
255.496,0.864
259.687,0.850
260.519,0.842
262.655,0.817
263.466,0.817
264.951,0.795
265.830,0.795
266.802,0.784
267.489,0.795
268.414,0.827
269.218,0.795
270.070,0.783
270.605,0.783
272.521,0.765
273.338,0.765
279.908,0.753
281.035,0.736
285.241,0.736
286.120,0.735
289.670,0.735
290.353,0.735
295.704,0.735
305.511,0.727
307.218,0.723
313.196,0.723
315.070,0.748
316.727,0.730
317.361,0.748
318.299,0.748
319.161,0.748
319.944,0.765
331.011,0.778
337.217,0.778
337.880,0.787
339.396,0.778
343.301,0.778
343.977,0.778
344.850,0.761
345.779,0.761
346.319,0.761
376.052,0.792
377.887,0.787
378.640,0.766
379.423,0.781
380.172,0.771
382.539,0.756
384.981,0.756
385.809,0.756
388.049,0.756
388.586,0.766
390.827,0.788
391.513,0.805
392.487,0.818
392.927,0.827
404.874,0.839
405.453,0.839
406.882,0.827
419.026,0.839
420.668,0.852
421.248,0.869
421.928,0.890
422.764,0.890
423.344,0.901
423.892,0.934
424.762,0.966
425.443,0.962
425.978,0.967
426.903,0.967
427.778,0.974
428.458,0.974
429.015,0.974
430.459,0.974
431.406,0.974
431.822,0.967
436.206,0.967
439.721,0.962
440.367,0.967
441.817,0.967
444.162,0.967
445.819,0.966
446.546,0.966
447.134,0.966
447.886,0.974
449.290,0.974
449.960,0.983
450.757,0.983
452.788,0.993
456.403,0.993
457.573,0.993
465.704,0.993
468.592,1.011
478.769,0.993
484.574,0.993
486.191,0.997
486.568,0.992
494.810,0.992
495.589,0.992
496.220,0.992
497.636,0.972
521.480,0.992
538.033,0.977
540.389,0.977
542.770,0.948
543.789,0.909
545.327,0.875
546.295,0.868
546.870,0.859
548.672,0.846
550.497,0.834
551.305,0.846
552.232,0.834
554.119,0.834
555.947,0.804
556.667,0.760
557.305,0.750
559.836,0.750
560.711,0.742
563.416,0.731
567.399,0.731
568.265,0.731
569.061,0.742
569.826,0.742
569.883,0.743
