df_hash,22ZHK4.7H06EP
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.REJ0
person_label,V156
date_time_start,2026-06-08_19-48-47.051000_+03
date_time_start_unix,1780930127.051
date_time_end,2026-06-08_19-59-06.457000_+03
length_difference_noticed,no

time,rr_int
10.661,4275
10.954,1785
11.977,470
12.809,885
13.830,905
14.709,900
15.683,895
16.610,965
17.489,945
17.854,845
18.316,445
19.003,450
19.294,865
19.440,155
19.828,10
20.510,505
21.254,775
21.973,790
22.753,695
23.590,700
24.313,775
25.142,740
25.825,815
26.515,875
27.483,730
28.273,840
29.140,875
29.969,825
30.798,780
31.579,840
32.358,845
33.186,765
33.918,805
34.803,855
35.088,845
35.673,175
35.841,655
36.307,250
37.184,485
38.062,785
38.648,685
38.842,815
38.845,175
38.849,35
39.435,10
40.158,500
40.890,780
41.816,795
42.648,845
43.425,830
44.449,855
45.132,915
46.058,885
46.999,865
47.813,920
48.740,895
49.572,795
50.385,830
51.177,850
52.054,870
52.347,1070
53.275,810
53.566,255
55.090,260
56.540,1555
57.380,1380
58.202,775
58.929,890
59.806,830
60.683,840
61.561,855
62.536,835
63.365,915
64.193,900
64.880,855
65.754,815
66.680,850
67.508,890
68.455,800
69.072,925
69.337,795
69.380,10
69.464,170
69.654,10
69.946,280
70.434,275
71.116,440
71.750,750
72.530,600
73.212,705
73.797,690
74.729,765
75.553,830
76.189,825
77.112,770
77.844,825
78.770,795
79.452,860
80.379,825
81.256,830
82.160,880
83.060,905
83.840,915
83.894,780
84.577,10
85.595,795
86.334,885
86.911,865
87.204,515
88.095,280
88.861,905
89.592,780
90.470,770
91.321,765
91.835,885
92.572,610
93.346,750
94.143,685
94.815,820
95.540,735
96.417,790
97.261,790
97.928,835
98.817,765
99.644,785
100.342,835
101.195,805
102.121,845
102.860,860
103.827,800
104.510,840
105.387,880
106.264,895
107.142,800
107.927,815
108.803,865
109.579,895
110.467,805
111.285,805
112.163,855
112.917,795
113.674,805
114.506,865
115.246,760
115.527,1075
116.021,455
117.187,870
117.576,205
118.454,520
119.234,750
119.817,820
120.239,785
120.742,310
121.474,440
122.302,755
123.578,890
124.496,1430
125.325,755
126.013,825
126.846,750
127.424,785
128.542,795
129.225,855
130.006,790
130.834,795
131.816,885
132.686,910
133.563,845
134.490,870
135.465,990
136.342,995
137.268,890
138.149,880
138.934,900
139.812,850
140.534,805
141.460,820
142.046,835
142.923,785
143.703,785
144.456,740
145.311,820
145.996,775
146.779,765
147.700,840
148.528,875
149.362,760
150.239,805
150.966,885
151.746,810
152.726,780
153.306,940
154.235,770
155.012,780
155.841,790
156.621,860
157.498,820
158.376,890
159.256,885
159.984,825
160.813,805
161.691,870
162.568,860
163.403,835
164.225,825
165.005,840
165.785,745
166.662,775
167.345,840
167.832,805
168.126,475
168.953,275
169.108,835
169.400,220
169.684,10
170.513,560
171.350,750
172.317,860
172.951,885
173.828,810
174.657,780
175.350,865
176.265,785
177.047,820
177.971,865
178.708,825
179.532,785
180.360,810
181.189,810
181.822,790
182.708,775
183.534,860
184.260,770
184.991,785
185.771,760
186.356,765
187.285,735
188.115,810
188.745,805
189.622,765
190.597,840
191.440,910
192.305,790
193.180,910
194.106,935
194.790,810
195.715,845
196.495,925
197.567,870
198.273,865
199.079,870
199.810,785
200.785,810
201.573,900
202.445,810
203.272,815
204.128,830
204.783,805
205.613,750
206.352,835
207.221,850
208.099,790
208.928,840
209.805,870
210.642,870
211.516,835
212.296,880
213.121,820
213.903,780
214.644,765
215.517,825
216.149,735
216.877,780
217.801,835
218.532,780
219.361,765
220.239,780
220.824,840
221.751,765
222.385,750
223.266,780
223.901,815
224.676,740
224.774,715
225.359,10
226.341,765
226.967,850
227.699,640
228.578,785
229.405,830
230.091,790
230.819,770
231.748,810
231.892,780
232.428,290
233.258,395
233.940,870
234.573,740
235.304,745
235.646,720
235.704,250
236.091,10
237.012,510
237.791,840
238.685,840
239.546,810
240.521,925
241.350,930
242.036,880
242.911,845
243.982,860
244.665,850
245.494,785
246.176,815
247.120,795
247.699,720
248.565,755
249.395,790
250.049,820
250.808,790
251.832,800
252.761,975
253.636,960
254.663,890
255.440,885
256.318,935
257.157,795
257.980,825
258.803,870
259.389,780
260.364,735
261.009,795
261.840,800
262.560,765
263.437,805
264.264,790
264.800,795
265.775,780
266.750,835
267.335,885
268.213,780
269.164,860
269.870,875
270.504,770
270.606,570
270.802,230
272.406,850
273.137,790
273.283,765
273.820,205
274.491,535
274.762,635
276.257,270
277.769,1520
278.353,1410
279.231,800
279.865,720
280.945,825
281.620,920
282.497,850
283.577,870
284.302,900
285.183,945
286.105,830
286.983,860
287.817,930
288.548,845
289.518,780
290.200,815
290.807,775
291.712,725
292.365,730
293.129,780
293.905,755
294.686,795
295.614,800
296.002,895
296.489,380
296.733,440
297.318,340
298.155,510
298.830,825
300.148,755
300.487,1125
301.754,440
302.442,1355
303.023,695
304.099,710
304.710,880
305.411,720
306.194,720
307.166,690
307.534,1005
308.287,395
308.384,695
308.441,145
308.583,20
308.597,15
308.628,95
308.631,10
308.680,25
308.682,25
308.685,15
308.823,255
310.191,670
311.020,730
311.602,675
312.440,725
313.163,810
314.040,840
315.015,850
315.799,860
316.623,860
317.306,840
318.232,830
319.115,865
