df_hash,22ZHK4.8GUL1J
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.KJ8S
person_label,V80
date_time_start,2025-11-03_15-40-52.460000_+03
date_time_start_unix,1762170052.46
date_time_end,2025-11-03_15-49-11.895000_+03
length_difference_noticed,no

time,battery
11.497,90
21.589,90
31.485,90
41.577,90
51.487,90
61.467,90
71.485,90
81.455,90
91.452,90
101.443,90
111.486,89
121.455,89
131.474,89
141.467,89
151.462,89
161.455,89
171.449,89
181.443,89
191.437,89
201.431,89
211.425,89
221.565,89
231.462,89
241.461,89
251.453,89
261.447,89
271.438,89
281.432,89
291.428,89
301.517,89
311.560,89
321.427,89
331.475,89
341.465,89
351.438,89
361.432,88
371.427,88
381.420,88
391.421,88
401.554,88
411.548,88
421.450,88
431.444,88
441.474,88
451.426,88
461.420,88
471.512,88
481.408,88
491.504,88
