df_hash,22ZHK4.8GUL1J
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.KJ8S
person_label,V80
date_time_start,2025-11-03_15-40-52.460000_+03
date_time_start_unix,1762170052.46
date_time_end,2025-11-03_15-49-11.895000_+03
length_difference_noticed,no

time,temperature
5.550,31.234
6.576,31.281
7.548,31.266
8.572,31.297
9.547,31.344
10.706,31.297
11.546,31.359
12.570,31.406
13.545,31.469
14.611,31.500
15.544,31.516
16.567,31.516
17.639,31.562
18.566,31.609
19.541,31.656
20.578,31.734
21.600,31.750
22.564,31.797
23.588,31.812
24.563,31.859
25.624,31.938
26.591,31.984
27.585,32.031
28.584,32.031
29.603,32.062
30.559,32.094
31.582,32.125
32.707,32.125
33.582,32.156
34.800,32.125
35.580,32.125
36.620,32.156
37.580,32.156
38.700,32.188
39.578,32.219
40.553,32.250
41.580,32.281
42.551,32.344
43.576,32.375
44.550,32.438
45.574,32.438
46.549,32.438
47.584,32.500
48.703,32.531
49.572,32.531
50.644,32.531
51.571,32.562
52.546,32.594
53.569,32.625
54.791,32.594
55.568,32.656
56.543,32.656
57.572,32.688
58.592,32.625
59.565,32.656
60.541,32.719
61.565,32.719
62.839,32.688
63.570,32.688
64.543,32.750
65.570,32.781
66.537,32.781
67.561,32.781
68.584,32.906
69.575,32.875
70.584,32.844
71.577,32.875
72.582,32.906
73.557,32.938
74.581,32.969
75.562,32.969
76.579,33.031
77.561,33.031
78.579,33.062
79.627,33.062
80.582,33.062
81.552,33.094
82.583,33.094
83.551,33.125
84.575,33.125
85.550,33.156
86.574,33.156
87.554,33.188
88.573,33.219
89.548,33.250
90.571,33.312
91.960,33.312
92.604,33.312
93.743,33.312
94.584,33.375
95.648,33.375
96.670,33.375
97.543,33.375
98.567,33.344
99.593,33.344
100.569,33.344
101.540,33.375
102.585,33.406
103.539,33.406
104.563,33.406
105.538,33.469
106.857,33.438
107.588,33.500
108.561,33.531
109.643,33.562
110.854,33.562
111.536,33.562
112.579,33.594
113.559,33.625
114.557,33.625
115.581,33.625
116.556,33.688
117.558,33.656
118.555,33.625
119.578,33.656
120.553,33.688
121.577,33.688
122.847,33.688
123.576,33.594
124.552,33.625
125.575,33.625
126.550,33.625
127.573,33.719
128.548,33.719
129.572,33.750
130.549,33.750
131.571,33.781
132.546,33.812
133.570,33.906
134.597,33.906
135.569,33.875
136.544,33.875
137.567,33.844
138.543,33.812
139.569,33.812
140.541,33.844
141.565,33.812
142.540,33.781
143.953,33.812
144.539,33.844
145.638,33.844
146.538,33.875
147.562,33.906
148.536,33.906
149.561,33.906
150.567,33.906
151.708,33.906
152.534,33.969
153.557,34.000
154.533,34.000
155.557,34.000
156.532,34.031
157.555,34.031
158.531,34.062
159.592,34.031
160.529,34.031
161.553,34.062
162.528,34.062
163.552,34.062
164.527,34.094
165.550,34.094
166.526,34.094
167.549,34.125
168.573,34.125
169.549,34.156
170.586,34.156
171.547,34.156
172.571,34.094
173.546,34.062
174.569,34.062
175.838,34.062
176.568,34.094
177.548,34.094
178.567,34.156
179.567,34.156
180.618,34.188
181.595,34.188
182.591,34.219
183.539,34.250
184.563,34.250
185.539,34.281
186.808,34.250
187.539,34.281
188.571,34.219
189.738,34.250
190.560,34.281
191.632,34.281
192.559,34.344
193.534,34.312
194.557,34.344
195.532,34.344
196.702,34.344
197.531,34.344
198.555,34.344
199.676,34.375
200.553,34.312
201.529,34.344
202.598,34.312
203.830,34.312
204.551,34.281
205.526,34.250
206.604,34.312
207.549,34.312
208.549,34.312
209.624,34.312
210.548,34.344
211.523,34.281
212.793,34.312
213.559,34.344
214.545,34.375
215.540,34.375
216.544,34.375
217.567,34.375
218.543,34.375
219.542,34.312
220.595,34.312
221.570,34.344
222.540,34.375
223.564,34.344
224.539,34.344
225.586,34.375
226.538,34.375
227.562,34.375
228.585,34.344
229.641,34.438
230.541,34.438
231.588,34.438
232.534,34.438
233.558,34.469
234.841,34.438
235.754,34.438
236.581,34.438
237.556,34.500
238.552,34.531
239.603,34.531
240.629,34.562
241.553,34.594
242.528,34.562
243.552,34.562
244.676,34.562
245.553,34.562
246.526,34.562
247.598,34.500
248.524,34.500
249.597,34.469
250.524,34.438
251.616,34.406
252.528,34.438
253.546,34.406
254.719,34.438
255.642,34.406
256.520,34.438
257.570,34.469
258.716,34.438
259.543,34.438
260.978,34.438
261.541,34.469
262.516,34.469
263.585,34.469
264.615,34.438
265.574,34.438
266.563,34.375
267.733,34.375
268.568,34.312
269.585,34.344
270.560,34.312
271.879,34.312
272.561,34.375
273.683,34.375
274.558,34.406
275.582,34.438
276.800,34.438
277.537,34.469
278.555,34.531
279.530,34.531
280.554,34.562
281.529,34.594
282.602,34.594
283.528,34.594
284.552,34.594
285.527,34.625
286.600,34.625
287.549,34.625
288.549,34.594
289.524,34.594
290.548,34.594
291.769,34.531
292.597,34.500
293.522,34.500
294.546,34.531
295.962,34.531
296.545,34.500
297.569,34.500
298.543,34.531
299.603,34.562
300.542,34.594
301.521,34.625
302.791,34.562
303.665,34.594
304.540,34.594
305.515,34.625
306.538,34.656
307.562,34.625
308.540,34.625
309.561,34.625
310.536,34.688
311.564,34.688
312.535,34.688
313.569,34.656
314.534,34.688
315.583,34.656
316.532,34.688
317.556,34.750
