df_hash,22ZHK4.8GUL1J
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.KJ8S
person_label,V80
date_time_start,2025-11-03_15-40-52.460000_+03
date_time_start_unix,1762170052.46
date_time_end,2025-11-03_15-49-11.895000_+03
length_difference_noticed,no

time,rr_int
10.132,4015
10.425,1310
11.107,340
11.936,705
11.939,765
12.374,10
12.379,420
12.667,20
13.203,350
13.207,460
13.252,20
13.255,10
13.258,10
13.496,15
13.499,15
14.324,260
14.328,810
15.153,10
15.157,815
15.982,10
16.739,810
17.645,785
17.786,895
17.791,10
17.837,190
17.842,20
18.090,20
18.130,280
18.907,20
19.589,790
20.321,725
20.326,685
21.150,15
21.153,790
21.832,10
22.515,715
22.518,700
23.250,10
23.928,675
24.757,670
24.763,820
25.479,10
26.183,740
27.001,765
27.682,770
27.685,775
28.389,10
29.194,680
29.198,755
29.931,10
30.754,770
30.758,775
31.439,10
32.565,775
32.949,1065
33.094,360
33.532,255
33.535,365
34.215,10
34.804,670
35.629,635
36.334,735
36.555,795
37.140,10
37.971,795
38.119,835
38.804,10
39.681,815
40.455,820
41.187,795
42.041,770
42.045,790
42.698,10
42.701,755
43.429,10
44.258,740
45.086,780
45.915,820
45.919,810
46.744,10
47.573,805
48.110,765
48.986,760
49.671,735
50.547,765
51.326,815
52.155,805
52.595,875
52.910,465
52.987,290
53.715,10
53.719,825
54.544,10
55.373,800
56.055,785
56.884,800
57.713,775
58.449,805
59.275,805
59.322,740
60.102,10
60.827,805
61.613,760
62.296,800
63.124,760
63.855,755
63.862,750
64.538,10
65.367,730
65.374,770
66.049,10
66.055,790
66.927,10
67.755,810
67.761,770
68.438,10
68.590,780
68.733,20
68.741,15
69.270,10
69.321,705
69.949,10
69.956,725
70.778,15
70.784,780
71.560,10
72.192,760
73.021,725
73.024,820
73.703,10
73.706,665
74.532,10
74.824,790
75.263,310
75.266,450
76.092,10
76.095,760
76.824,10
77.238,790
77.241,370
77.311,10
77.315,85
77.555,250
79.017,785
79.020,695
79.700,10
80.382,715
80.431,705
81.211,10
81.966,750
82.091,735
82.625,10
83.454,755
84.136,720
84.965,765
85.697,770
85.708,745
86.414,10
87.207,755
87.261,755
87.890,10
87.893,710
88.621,10
89.304,705
90.132,740
90.190,745
90.815,10
91.554,700
92.378,785
92.423,765
93.057,10
93.886,775
94.715,780
94.718,800
95.400,10
95.447,685
96.129,10
96.812,740
97.640,740
98.473,770
99.054,710
99.885,765
100.714,755
101.247,780
101.302,730
102.076,10
102.808,765
103.636,770
103.691,775
104.319,10
105.148,760
105.151,735
105.879,10
105.882,760
105.977,10
106.123,200
107.390,595
107.394,710
108.073,10
108.077,735
108.902,10
109.486,750
109.550,565
109.633,15
109.638,10
109.649,190
109.877,175
109.882,115
110.023,10
112.119,1265
112.655,855
113.495,660
114.215,725
114.218,740
114.898,10
115.727,755
115.730,750
116.410,10
117.140,770
117.823,715
118.115,675
118.119,225
118.164,10
118.167,10
118.172,10
118.310,10
119.335,15
120.894,1305
120.897,1490
121.580,10
122.461,735
123.105,735
123.820,705
124.502,700
125.185,740
125.916,735
126.072,730
126.745,10
127.427,725
128.261,765
128.938,780
129.670,725
130.354,740
131.181,685
131.863,755
132.692,775
132.838,810
133.423,175
134.252,550
134.935,780
135.764,815
136.447,795
137.274,755
137.376,770
138.104,10
138.835,810
139.664,780
140.346,800
141.175,740
142.005,785
142.833,835
143.563,815
144.393,790
145.075,755
145.228,710
145.367,175
145.373,85
145.611,10
145.953,10
146.635,525
147.512,755
147.518,825
148.146,10
148.980,695
149.657,810
150.487,795
151.217,750
152.068,775
152.729,765
152.783,730
153.563,10
154.240,775
154.971,750
155.025,705
155.804,10
156.482,775
156.487,795
157.311,10
157.318,790
158.142,10
158.871,795
159.700,795
159.758,730
160.383,10
161.106,735
161.128,700
161.943,10
162.625,765
162.693,735
162.869,10
163.308,245
164.137,535
164.147,725
164.968,10
165.647,790
166.478,790
167.354,810
168.036,810
168.865,800
168.924,750
169.600,10
170.376,765
170.431,780
171.108,10
171.936,755
171.940,775
172.767,10
172.913,810
173.448,270
174.277,535
175.015,755
175.841,810
176.665,825
177.494,820
178.324,825
179.168,825
179.981,820
180.810,830
181.540,825
182.369,795
182.379,805
183.198,10
183.345,755
183.349,160
183.395,10
183.423,10
183.446,10
183.931,15
184.709,525
184.713,810
185.392,10
185.396,715
186.123,10
186.952,750
186.959,765
187.830,10
188.463,810
189.292,790
189.438,760
189.443,185
190.023,35
190.852,575
191.534,780
192.368,790
193.192,810
194.080,815
194.849,810
195.581,810
196.263,730
197.092,770
197.098,800
197.921,15
198.652,750
198.658,750
199.335,10
200.163,755
200.218,780
200.992,10
201.675,785
201.727,725
202.406,10
202.410,765
203.235,10
203.283,790
204.063,10
204.067,770
204.795,10
204.801,790
205.575,10
206.257,725
206.312,770
207.135,10
207.817,785
207.826,760
208.500,10
209.329,715
210.060,775
210.157,780
210.891,10
211.725,775
212.400,790
213.083,745
213.232,760
213.820,10
213.961,680
214.057,145
214.061,10
214.106,15
214.109,20
214.114,15
214.643,10
215.335,560
215.378,750
216.008,10
216.739,675
216.742,730
217.622,10
217.626,755
218.250,10
218.256,690
218.933,10
219.079,770
219.762,10
220.599,780
221.322,780
222.150,755
222.154,800
