df_hash,22ZHK4.8GUL1J
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.KJ8S
person_label,V80
date_time_start,2025-11-03_15-40-52.460000_+03
date_time_start_unix,1762170052.46
date_time_end,2025-11-03_15-49-11.895000_+03
length_difference_noticed,no

time,ppg_quality
57.734,74
59.754,71
60.764,71
61.774,71
62.784,71
63.794,72
65.814,73
66.824,71
67.834,70
68.844,68
69.854,67
70.864,67
72.884,71
73.894,69
74.904,68
75.914,67
76.924,71
77.934,69
78.944,65
80.964,47
81.974,43
83.994,42
86.014,39
88.034,37
89.044,45
90.054,56
93.084,62
94.094,64
95.104,66
97.124,70
99.144,65
101.164,71
102.174,70
103.184,70
104.194,67
106.214,69
108.234,70
109.244,68
110.254,66
112.274,64
113.284,63
115.304,61
116.314,62
117.324,64
119.344,71
121.364,78
122.374,80
123.384,83
125.404,85
127.424,83
128.434,86
129.444,86
130.454,88
132.474,90
134.494,87
135.504,84
136.514,83
138.534,84
140.554,78
141.564,74
142.574,73
143.584,72
145.604,74
147.624,65
148.634,60
149.644,58
151.664,62
153.684,61
155.704,61
156.714,62
158.734,71
160.754,70
161.764,68
162.774,68
164.794,80
166.814,83
167.824,86
168.834,87
169.844,87
171.864,89
173.884,83
175.904,87
176.914,90
178.934,88
179.944,91
180.954,92
182.974,93
183.984,94
184.994,89
187.014,73
189.034,66
190.044,64
192.064,61
193.074,59
194.084,60
196.104,63
197.114,67
198.124,69
200.144,68
202.164,70
203.174,71
204.184,70
205.194,70
207.214,70
209.234,72
210.244,74
211.254,75
213.274,78
215.294,79
217.314,67
218.324,62
220.344,58
222.364,57
224.384,56
225.394,49
226.404,42
227.414,38
228.424,34
229.434,33
231.454,29
233.474,28
235.494,38
237.514,63
239.534,68
241.554,70
242.564,70
243.574,64
244.584,63
245.594,61
246.604,60
248.624,53
250.644,61
252.664,52
254.684,41
257.714,53
259.734,53
260.744,51
261.754,46
262.764,48
263.774,54
264.784,63
266.804,68
267.814,73
269.834,87
270.844,87
272.864,85
274.884,83
276.904,58
277.914,34
279.934,7
280.944,5
281.954,8
283.974,10
285.994,11
288.014,56
290.034,77
292.054,83
293.064,72
294.074,83
295.084,85
297.104,84
299.124,60
300.134,60
301.144,60
303.164,52
305.184,30
306.194,19
308.214,8
310.234,26
311.244,38
312.254,47
314.274,68
316.294,78
318.314,70
319.324,61
321.344,53
322.354,48
323.364,44
325.384,39
327.404,36
328.414,38
329.424,29
330.434,24
331.444,18
334.474,19
336.494,19
338.514,20
339.524,26
340.534,28
341.544,35
342.554,36
343.564,39
344.574,40
345.584,46
347.604,50
349.624,58
351.644,60
353.664,61
355.684,59
356.694,60
358.714,57
360.734,54
362.754,51
363.764,50
364.774,47
365.784,52
366.794,57
368.814,68
369.824,71
371.844,74
373.864,81
375.884,62
377.904,52
379.924,40
381.944,50
382.954,51
384.974,54
386.994,86
389.014,94
391.034,89
392.044,83
394.064,74
395.074,71
396.084,75
398.104,81
400.124,101
401.134,106
402.144,111
404.164,121
405.174,129
406.184,112
407.194,102
409.214,94
410.224,84
411.234,79
413.254,64
415.274,55
417.294,62
418.304,58
419.314,55
422.344,50
423.354,55
424.364,59
426.384,59
428.404,50
430.424,60
432.444,53
433.454,46
434.464,42
435.474,49
437.494,70
439.514,72
440.524,73
441.534,76
443.554,88
444.564,91
445.574,89
446.584,86
448.604,90
450.624,89
452.644,92
454.664,91
455.674,90
456.684,89
457.694,91
459.714,97
461.734,98
463.754,93
464.764,95
465.774,98
466.784,98
468.804,92
469.814,90
470.824,88
472.844,86
474.864,81
476.884,77
478.904,65
480.924,39
481.934,36
483.954,30
485.974,18
487.994,9
490.014,25
491.024,33
492.034,35
493.044,40
495.064,55
