df_hash,22ZHK4.8GUL1J
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.KJ8S
person_label,V80
date_time_start,2025-11-03_15-40-52.460000_+03
date_time_start_unix,1762170052.46
date_time_end,2025-11-03_15-49-11.895000_+03
length_difference_noticed,no

time,omega
49.139,0.585
49.698,0.584
50.605,0.585
51.479,0.586
52.307,0.590
56.312,0.594
56.895,0.595
58.551,0.595
59.293,0.597
60.843,0.599
63.179,0.597
63.916,0.595
69.345,0.590
70.009,0.590
70.846,0.595
72.356,0.595
73.077,0.597
84.289,0.602
85.021,0.600
87.260,0.611
90.187,0.611
90.256,0.621
92.436,0.611
94.820,0.611
95.456,0.611
101.300,0.598
102.862,0.598
103.690,0.590
103.743,0.587
105.204,0.584
107.460,0.587
108.131,0.587
109.549,0.587
117.393,0.587
117.880,0.584
122.517,0.587
123.143,0.584
130.513,0.579
131.970,0.574
132.938,0.570
137.375,0.574
140.402,0.566
142.014,0.571
143.618,0.574
145.159,0.571
149.031,0.571
149.714,0.571
150.497,0.572
151.273,0.576
152.299,0.576
152.782,0.576
152.884,0.582
155.023,0.582
157.374,0.582
158.934,0.575
159.755,0.575
159.813,0.575
161.125,0.575
161.173,0.575
162.689,0.575
167.507,0.564
168.094,0.564
168.920,0.558
169.014,0.556
170.429,0.558
170.484,0.558
175.934,0.558
177.547,0.558
178.472,0.558
181.593,0.556
182.474,0.556
184.776,0.556
187.020,0.556
188.567,0.558
189.351,0.563
192.512,0.563
193.350,0.570
194.462,0.579
194.915,0.579
198.713,0.586
200.215,0.586
200.328,0.590
201.726,0.590
201.831,0.597
202.459,0.600
203.533,0.602
204.119,0.600
205.094,0.600
206.310,0.597
210.407,0.597
212.502,0.597
213.385,0.583
215.418,0.597
216.794,0.598
217.723,0.598
219.137,0.595
221.373,0.595
222.211,0.584
230.004,0.598
230.132,0.598
231.518,0.600
232.440,0.598
235.563,0.601
248.969,0.601
258.084,0.602
313.513,0.602
328.874,0.613
331.110,0.628
335.748,0.628
337.060,0.634
338.567,0.650
343.453,0.671
351.787,0.671
352.514,0.671
357.510,0.671
363.973,0.671
367.477,0.671
376.792,0.681
381.136,0.681
381.573,0.691
384.254,0.685
385.279,0.677
386.889,0.651
390.780,0.651
399.320,0.646
406.435,0.607
407.850,0.607
409.171,0.589
410.105,0.607
430.373,0.607
433.249,0.589
436.509,0.589
441.338,0.589
441.393,0.606
442.906,0.605
443.730,0.623
444.571,0.617
444.610,0.617
446.899,0.617
447.930,0.613
448.706,0.613
449.437,0.614
450.262,0.614
462.410,0.614
464.052,0.614
464.888,0.619
465.718,0.614
465.814,0.614
468.206,0.614
469.112,0.613
469.957,0.614
471.568,0.613
474.594,0.614
