df_hash,22ZHK4.8GUL1J
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.KJ8S
person_label,V80
date_time_start,2025-11-03_15-40-52.460000_+03
date_time_start_unix,1762170052.46
date_time_end,2025-11-03_15-49-11.895000_+03
length_difference_noticed,no

time,heart_rate
11.009,46
11.887,46
12.768,46
13.983,46
14.862,46
15.738,77
16.957,77
18.078,75
18.761,75
19.979,76
20.810,75
21.735,82
22.909,83
23.831,83
24.708,84
26.171,83
26.805,83
27.978,82
28.901,82
29.804,81
30.656,81
31.940,81
32.752,80
33.680,79
34.848,79
35.729,79
36.655,79
37.826,79
38.703,79
39.626,78
40.796,77
41.722,76
42.600,76
43.770,76
44.696,77
45.577,77
46.793,77
47.700,77
48.557,76
49.766,76
50.652,77
51.521,78
52.888,78
53.618,77
54.495,77
55.736,76
56.592,76
57.513,75
58.688,75
59.569,75
60.492,76
61.662,76
62.543,76
63.468,77
64.635,77
65.536,78
66.463,78
67.632,78
68.535,78
69.562,77
70.595,77
71.563,77
72.436,78
73.606,78
74.483,78
75.409,78
76.583,79
77.457,79
78.335,79
79.553,79
80.434,79
81.308,80
82.527,80
83.405,81
84.331,81
85.501,81
86.528,81
87.326,81
88.475,81
89.401,81
90.303,81
91.546,81
92.595,81
93.252,81
94.500,81
95.349,80
96.226,79
97.445,80
98.322,80
99.236,80
100.419,80
101.397,80
102.174,80
103.392,80
104.270,80
105.443,80
106.366,80
107.293,79
108.219,79
109.369,79
110.266,79
111.439,80
112.316,79
113.240,79
114.118,79
115.336,79
116.214,80
117.092,80
118.333,80
119.191,80
120.114,80
121.284,80
122.167,80
123.089,80
124.258,80
125.135,81
126.162,81
127.232,82
128.172,82
129.036,82
130.206,82
131.132,82
132.009,82
133.277,82
134.130,82
134.985,81
136.202,80
137.079,79
137.957,79
139.176,78
140.055,78
140.932,77
142.150,77
143.028,77
143.956,77
145.161,77
146.001,77
146.927,77
148.097,77
149.100,78
149.906,77
151.071,77
151.997,77
152.885,78
154.045,78
155.122,78
155.849,78
157.102,79
157.945,79
158.822,78
160.055,78
160.919,77
161.820,77
163.015,78
163.893,79
164.819,79
165.989,79
166.866,79
167.793,78
169.018,78
169.840,77
170.766,77
171.986,77
172.863,77
173.764,77
174.930,77
176.132,77
176.714,77
177.933,76
178.810,75
179.688,74
180.908,74
181.784,74
182.662,74
183.880,74
185.004,75
185.635,76
186.854,77
187.732,78
188.658,79
189.828,78
190.706,78
191.635,77
192.851,77
193.679,77
194.606,76
195.776,76
196.705,76
197.582,76
198.872,77
199.684,77
200.557,78
202.116,77
202.650,78
203.822,77
204.746,77
205.623,77
206.506,77
207.720,77
208.597,77
209.523,78
210.693,78
211.618,78
212.503,78
213.703,78
214.594,78
215.504,78
216.641,79
217.573,80
218.445,80
219.615,81
220.543,81
221.419,81
222.637,80
223.518,79
224.395,79
225.612,78
226.489,78
227.366,77
228.588,77
229.466,77
230.427,78
231.592,77
232.441,77
233.363,76
234.537,76
235.459,76
236.336,75
237.507,75
238.433,75
239.310,75
240.480,75
241.443,75
242.333,76
243.454,75
244.478,75
245.258,75
246.477,75
247.354,75
248.281,75
249.451,75
250.328,70
251.206,70
252.426,71
253.345,71
254.230,70
255.402,70
256.298,61
257.204,64
258.372,65
259.298,65
260.176,64
261.346,64
262.272,74
263.199,70
264.320,69
265.246,69
266.124,69
267.371,69
268.220,69
269.098,69
270.365,69
271.194,61
272.074,58
273.446,61
274.216,61
275.094,60
276.655,60
277.142,60
278.165,60
279.237,60
280.115,60
281.042,60
282.212,60
283.091,56
284.015,56
285.186,65
286.111,73
286.989,67
288.159,66
289.134,66
289.963,67
291.182,62
292.059,63
292.989,63
294.155,63
295.033,71
296.157,77
297.130,72
298.007,79
298.908,76
300.103,76
300.980,76
301.907,76
303.115,77
303.955,76
304.885,76
306.136,76
306.928,76
307.878,78
309.024,77
310.001,77
310.828,76
312.036,76
312.925,76
313.802,79
315.046,77
315.929,77
316.776,79
317.995,81
318.873,79
319.749,81
320.968,82
321.846,83
322.724,84
323.942,84
324.820,85
325.809,84
326.965,85
327.793,85
328.720,85
330.052,85
330.913,85
331.693,85
332.967,85
333.790,85
334.667,86
335.837,87
336.764,87
337.739,86
338.877,86
339.778,85
340.615,84
341.837,84
342.711,84
343.589,84
344.859,85
345.727,84
346.611,84
347.781,87
348.854,85
349.686,85
350.758,85
351.633,83
352.660,83
353.765,82
354.655,83
355.576,84
356.703,85
357.632,84
358.509,84
359.677,84
360.606,84
361.480,84
362.650,84
363.674,84
364.454,82
365.674,82
366.554,82
367.478,83
368.647,83
369.525,83
370.451,82
371.641,82
372.498,82
373.429,82
374.594,82
375.472,82
376.398,82
377.568,78
378.495,74
379.372,77
380.984,80
381.468,82
382.346,84
383.762,84
384.442,83
385.417,83
386.538,82
387.416,81
388.342,81
389.513,81
390.487,82
391.267,82
392.486,81
393.412,81
394.290,81
395.460,81
396.337,81
397.507,81
398.482,81
399.323,81
400.237,78
401.505,79
402.383,78
403.211,78
404.381,78
405.308,78
406.185,79
407.355,79
408.281,79
409.216,80
410.453,80
411.267,80
412.137,81
413.354,80
414.279,80
415.107,80
416.374,80
417.203,80
418.118,80
419.299,80
420.472,80
421.054,80
422.273,80
423.151,74
424.077,77
425.247,76
