df_hash,22ZHK4.8GUL1J
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.KJ8S
person_label,V80
date_time_start,2025-11-03_15-40-52.460000_+03
date_time_start_unix,1762170052.46
date_time_end,2025-11-03_15-49-11.895000_+03
length_difference_noticed,no

time,quality
11.012,100
11.890,26
13.060,0
13.986,0
14.866,46
15.742,72
16.961,80
18.083,81
18.766,65
19.985,41
21.006,44
21.738,53
22.956,57
23.834,58
24.714,68
26.176,71
26.811,71
27.983,65
28.905,69
29.925,73
30.660,82
32.024,86
32.756,66
33.829,56
34.852,40
36.021,39
36.753,33
37.836,32
38.798,42
39.629,57
40.805,69
41.726,81
42.606,88
43.773,83
44.746,79
45.772,86
46.796,81
47.965,82
48.697,82
49.776,82
50.997,82
51.525,85
52.897,75
53.622,70
54.500,70
55.741,72
56.602,69
57.567,72
58.691,80
59.572,87
60.497,89
61.665,88
62.835,88
63.563,83
64.641,85
65.562,83
66.491,82
67.638,82
68.541,78
69.567,86
70.601,81
71.567,82
72.439,85
73.609,87
74.490,90
75.413,78
76.631,75
77.461,68
78.338,64
79.557,63
80.577,65
81.312,67
82.576,76
83.408,72
84.335,77
85.504,75
86.531,76
87.549,78
88.479,78
89.404,79
90.428,78
91.549,87
92.598,83
93.255,81
94.503,79
95.354,83
96.229,90
97.449,76
98.326,83
99.245,85
100.434,82
101.400,84
102.179,81
103.396,84
104.273,93
105.446,95
106.370,90
107.296,89
108.223,84
109.376,84
110.273,74
111.443,61
112.568,48
113.244,44
114.124,43
115.347,44
116.217,54
117.096,68
118.508,74
119.239,73
120.118,70
121.288,63
122.454,58
123.099,56
124.261,55
125.142,61
126.168,69
127.237,77
128.256,79
129.039,82
130.212,82
131.137,80
132.061,80
133.326,70
134.143,70
135.230,69
136.205,74
137.091,80
137.960,82
139.179,86
140.102,88
140.949,88
142.153,84
143.051,85
143.959,80
145.221,84
146.006,84
146.933,75
148.102,78
149.368,75
150.099,81
151.075,77
152.001,79
153.024,87
154.049,82
155.133,89
155.854,86
157.112,83
157.994,83
158.828,76
160.239,78
160.925,77
161.845,71
163.018,72
163.899,75
164.823,76
165.998,75
166.871,72
167.798,77
169.023,82
169.845,89
170.815,85
171.989,87
172.866,93
173.768,86
175.008,81
176.135,74
176.719,71
177.937,69
178.816,70
179.693,83
180.958,82
181.788,86
182.665,79
183.884,84
185.007,80
185.639,80
186.860,79
187.738,79
188.664,84
189.838,78
190.709,84
191.830,89
192.854,87
193.683,85
194.609,88
195.779,90
196.948,86
197.680,81
198.895,81
199.924,86
200.607,81
202.123,86
202.653,88
203.825,85
204.752,92
205.626,88
206.599,90
207.723,84
208.600,82
209.527,85
210.697,77
211.718,78
212.548,80
213.814,78
214.597,89
215.520,75
216.645,78
217.616,76
218.453,80
219.637,84
220.590,77
221.422,77
222.641,82
223.525,87
224.490,77
225.620,62
226.492,58
227.371,55
228.978,57
229.619,56
230.536,65
231.903,89
232.485,87
233.367,82
234.829,85
235.463,81
236.340,58
237.510,26
238.437,27
239.314,26
240.484,27
241.454,28
242.336,50
243.459,27
244.483,38
245.263,3
246.480,2
247.358,3
248.284,3
249.454,0
250.332,26
251.209,31
252.522,25
253.350,20
254.429,24
255.595,22
256.374,26
257.251,23
258.438,20
259.302,27
260.181,0
261.349,30
262.277,24
263.206,24
264.325,24
265.249,20
266.129,0
267.540,9
268.223,7
269.101,0
270.368,0
271.197,26
272.217,30
273.534,23
274.219,0
275.242,0
276.660,32
277.145,32
278.170,29
279.241,20
280.118,0
281.051,0
282.216,0
283.384,25
284.064,24
285.199,34
286.118,57
286.994,21
288.162,31
289.143,27
289.969,29
291.185,41
292.062,26
293.035,23
294.159,22
295.036,39
296.162,30
297.134,24
298.010,33
298.911,31
300.106,26
300.985,36
301.910,29
303.519,35
303.963,5
305.176,4
306.146,4
307.026,0
307.891,32
309.073,37
310.051,40
310.839,35
312.041,30
312.929,32
313.806,34
315.069,28
315.942,31
316.825,45
317.998,45
318.876,30
319.754,42
320.972,40
321.851,51
322.743,48
323.947,47
324.823,55
326.090,60
326.970,59
327.844,52
328.723,64
330.093,70
330.917,70
331.697,87
332.972,89
333.793,79
334.671,63
335.841,51
336.768,52
337.742,43
339.104,43
339.789,58
340.620,60
342.080,58
342.760,63
343.593,68
345.005,50
345.730,39
346.614,34
347.831,46
348.858,33
349.688,30
350.807,31
351.636,56
352.666,66
353.775,59
354.659,56
355.585,59
356.706,60
357.924,56
358.605,47
359.680,49
360.898,50
361.484,52
362.654,44
363.678,37
364.458,63
365.681,57
366.750,53
367.483,57
368.653,50
369.529,49
370.455,36
371.767,35
372.501,0
373.522,0
374.644,0
375.477,0
376.448,0
377.618,31
378.498,29
379.376,21
380.987,26
381.472,35
382.352,33
383.766,47
384.445,55
385.469,61
386.542,75
387.419,71
388.345,71
389.516,40
390.491,47
391.271,48
392.490,43
393.416,48
394.293,28
395.463,0
396.341,27
397.511,0
398.488,5
399.464,36
400.242,46
401.508,29
402.392,0
403.214,0
404.384,0
405.313,0
406.189,33
407.358,61
408.285,79
409.305,90
410.524,83
411.354,58
412.283,39
413.357,30
414.330,30
415.111,0
416.377,0
417.215,0
418.137,0
419.303,3
420.477,0
421.058,0
422.276,0
423.160,21
424.080,16
425.250,18
