df_hash,22ZHK4.2N6TLG
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.06LR
person_label,V87
date_time_start,2025-11-04_14-58-38.258000_+03
date_time_start_unix,1762253918.258
date_time_end,2025-11-04_15-07-26.934000_+03
length_difference_noticed,no

time,respiration_rate
92.443,17
97.173,19
101.523,20
105.743,18
110.123,17
114.413,17
119.193,17
123.523,17
127.763,17
132.163,17
136.303,17
140.673,17
145.293,17
149.493,17
153.693,17
158.483,17
162.723,17
167.473,17
171.563,16
175.943,16
180.303,17
184.713,17
188.963,17
193.083,16
197.413,14
202.223,14
206.523,16
211.073,18
215.643,18
220.093,18
224.523,18
228.673,18
233.323,17
238.163,17
242.713,16
246.903,16
251.293,16
255.373,17
385.923,18
389.963,18
396.783,18
