df_hash,22ZHK4.2N6TLG
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.06LR
person_label,V87
date_time_start,2025-11-04_14-58-38.258000_+03
date_time_start_unix,1762253918.258
date_time_end,2025-11-04_15-07-26.934000_+03
length_difference_noticed,no

time,perfusion_ir
73.312,0.160
74.828,0.160
75.809,0.160
78.329,0.150
79.989,0.160
80.917,0.160
81.794,0.150
85.577,0.160
86.482,0.160
87.200,0.160
88.174,0.160
89.005,0.160
89.929,0.160
89.984,0.160
92.220,0.160
92.469,0.160
93.736,0.150
95.390,0.150
96.947,0.150
97.009,0.150
99.392,0.150
100.312,0.150
102.369,0.150
104.556,0.150
105.528,0.150
105.674,0.150
108.210,0.150
108.858,0.150
109.720,0.150
110.792,0.150
111.521,0.150
112.211,0.150
114.984,0.150
115.962,0.150
117.762,0.160
118.835,0.160
119.663,0.160
120.540,0.160
121.466,0.160
125.609,0.160
126.346,0.160
128.192,0.160
129.847,0.160
132.482,0.160
139.234,0.160
139.455,0.160
141.984,0.160
143.065,0.160
145.595,0.160
148.820,0.160
149.737,0.160
150.473,0.160
156.466,0.160
165.921,0.160
165.972,0.160
167.548,0.160
170.797,0.150
173.280,0.140
183.860,0.140
185.669,0.140
187.366,0.140
188.875,0.140
189.124,0.140
190.143,0.130
193.118,0.130
193.807,0.130
195.750,0.130
196.484,0.130
199.193,0.130
202.237,0.130
209.106,0.130
209.994,0.130
211.984,0.130
213.006,0.130
213.637,0.130
217.249,0.130
217.300,0.130
220.712,0.130
223.337,0.130
227.532,0.130
231.301,0.130
237.132,0.130
237.184,0.130
245.714,0.140
246.786,0.140
250.881,0.140
252.440,0.140
254.927,0.140
255.753,0.140
268.575,0.140
268.813,0.140
272.716,0.150
278.812,0.150
279.398,0.150
285.734,0.150
312.894,0.160
314.546,0.160
316.250,0.170
317.760,0.170
319.417,0.160
320.145,0.160
326.583,0.160
329.705,0.160
338.337,0.160
351.322,0.140
353.052,0.140
354.466,0.140
357.631,0.140
358.216,0.130
364.798,0.130
373.527,0.130
375.184,0.130
378.349,0.140
383.670,0.140
385.471,0.140
386.444,0.140
389.321,0.140
390.832,0.140
397.801,0.140
433.443,0.140
433.679,0.140
440.650,0.150
457.479,0.150
466.047,0.150
467.022,0.150
470.968,0.160
475.407,0.160
498.169,0.170
506.751,0.170
509.868,0.180
