df_hash,22ZHK4.2N6TLG
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.06LR
person_label,V87
date_time_start,2025-11-04_14-58-38.258000_+03
date_time_start_unix,1762253918.258
date_time_end,2025-11-04_15-07-26.934000_+03
length_difference_noticed,no

time,omega
73.315,0.617
74.834,0.611
75.818,0.611
78.333,0.617
79.992,0.617
80.925,0.617
81.797,0.623
85.583,0.623
86.489,0.623
87.205,0.623
88.178,0.623
89.008,0.622
89.933,0.613
89.987,0.613
92.225,0.603
92.474,0.599
93.740,0.597
95.394,0.597
96.951,0.597
97.015,0.595
99.396,0.592
100.317,0.590
102.373,0.590
104.563,0.587
105.532,0.590
105.678,0.588
108.213,0.588
108.993,0.588
109.724,0.590
110.798,0.590
111.524,0.590
112.219,0.590
114.987,0.590
115.966,0.587
117.766,0.587
118.839,0.587
119.667,0.586
120.544,0.585
121.471,0.586
125.616,0.591
126.633,0.591
128.203,0.591
129.851,0.588
132.486,0.591
139.240,0.591
139.459,0.593
141.990,0.589
143.071,0.589
145.598,0.586
148.847,0.585
149.743,0.585
150.477,0.584
156.476,0.581
165.926,0.584
165.975,0.585
167.554,0.582
170.801,0.582
173.289,0.586
183.863,0.586
185.758,0.586
187.370,0.589
188.882,0.589
189.128,0.591
190.147,0.591
193.131,0.591
193.813,0.593
195.756,0.598
196.491,0.598
199.207,0.598
202.241,0.600
209.111,0.602
209.999,0.602
211.991,0.605
213.013,0.605
213.643,0.605
217.254,0.611
217.306,0.616
220.717,0.616
223.341,0.611
227.537,0.611
231.380,0.609
237.137,0.612
237.188,0.612
245.725,0.616
246.790,0.620
250.888,0.614
252.635,0.608
254.940,0.608
255.759,0.608
268.579,0.608
268.816,0.608
272.720,0.614
278.815,0.608
279.401,0.616
285.740,0.616
312.983,0.625
314.553,0.633
316.253,0.640
317.765,0.640
319.421,0.645
320.150,0.645
326.586,0.645
329.725,0.660
338.363,0.645
351.332,0.625
353.056,0.603
354.471,0.595
357.635,0.588
358.220,0.577
364.849,0.566
373.531,0.566
375.192,0.560
378.353,0.564
383.674,0.581
385.475,0.572
386.449,0.583
389.330,0.593
390.835,0.593
397.805,0.583
433.447,0.586
433.685,0.578
440.654,0.578
457.507,0.586
466.051,0.586
467.028,0.593
470.974,0.605
475.412,0.619
498.173,0.634
506.755,0.649
509.872,0.657
