df_hash,22ZHK4.2N6TLG
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.06LR
person_label,V87
date_time_start,2025-11-04_14-58-38.258000_+03
date_time_start_unix,1762253918.258
date_time_end,2025-11-04_15-07-26.934000_+03
length_difference_noticed,no

time,rr_int
19.597,4090
19.744,895
20.815,900
20.818,175
20.864,10
20.867,10
20.870,10
20.913,10
21.401,15
22.375,525
23.350,930
24.181,960
25.154,925
26.129,925
27.104,950
27.933,985
28.938,845
29.883,1035
30.566,920
30.981,820
30.985,305
31.834,10
32.369,845
32.383,615
32.914,10
33.734,345
33.737,980
33.783,15
33.789,15
33.880,25
33.883,55
34.758,15
35.684,925
36.561,915
37.389,905
38.413,880
39.339,975
40.193,915
41.143,825
42.069,975
42.799,895
43.628,835
44.603,870
45.775,990
45.781,950
46.406,10
47.234,800
48.215,875
49.189,985
50.013,895
50.987,895
51.962,960
52.693,915
53.521,760
54.544,890
55.324,935
56.153,880
56.982,795
57.958,900
58.639,880
59.468,805
60.394,800
60.881,850
60.885,525
60.889,10
61.275,10
62.148,380
62.321,810
62.325,155
62.329,20
62.343,65
62.347,15
62.391,10
62.396,10
62.832,65
63.806,470
64.780,955
65.462,910
66.831,800
67.266,880
68.094,905
68.922,810
69.898,880
70.726,930
71.019,875
71.609,275
72.432,490
73.263,840
73.943,870
74.813,795
75.746,825
75.821,900
76.574,10
77.406,880
78.232,790
79.109,865
79.937,885
80.766,830
81.740,820
82.719,1010
83.545,980
84.519,860
85.546,925
86.470,985
87.151,920
88.125,805
88.954,860
89.636,865
89.938,775
90.465,210
91.342,570
92.171,835
92.420,845
92.853,260
93.682,500
93.685,765
94.511,10
95.339,820
96.070,825
96.899,745
96.953,805
97.776,10
98.605,860
99.251,840
100.277,770
101.285,895
102.016,975
102.312,880
102.747,230
103.576,540
104.404,800
105.379,865
105.623,900
106.212,255
107.187,640
108.160,955
108.841,945
109.668,800
110.497,790
111.472,845
112.157,900
113.032,785
113.958,815
114.936,945
115.920,1030
117.035,945
117.711,895
118.686,950
119.514,955
120.392,815
121.317,845
122.199,950
123.170,930
123.852,795
124.681,830
125.509,875
126.338,900
127.214,780
128.141,860
129.068,905
129.701,875
130.676,785
131.505,895
132.333,925
133.196,820
133.990,790
134.966,905
135.652,870
135.940,765
135.989,195
136.480,25
137.354,570
138.328,925
139.212,965
139.404,855
139.986,215
139.991,610
140.961,10
141.936,940
142.910,985
143.058,910
143.106,225
143.739,30
144.567,610
145.542,915
145.546,890
146.225,10
146.518,785
146.523,200
147.054,10
147.890,580
148.759,835
149.588,900
150.420,800
150.466,805
151.245,10
152.220,895
152.903,890
153.739,790
154.560,765
155.437,840
156.120,840
156.412,795
156.959,200
157.777,570
158.076,780
158.167,340
158.170,15
158.174,10
158.605,15
159.437,515
159.580,810
159.583,155
159.727,10
159.732,110
159.775,10
159.781,15
159.787,15
159.826,10
159.837,10
159.846,10
159.851,15
159.916,15
159.973,45
160.165,60
161.152,260
161.969,925
162.660,875
163.480,785
163.772,795
164.309,205
165.145,635
165.878,810
165.928,735
166.696,10
167.527,770
168.213,855
168.500,785
169.037,195
169.865,555
170.747,845
170.791,855
170.860,10
171.571,200
172.401,625
173.228,805
174.203,910
175.032,965
175.324,875
175.327,205
175.473,20
175.868,25
176.155,550
176.697,10
177.664,890
178.639,940
179.467,910
179.614,800
180.199,200
180.202,555
180.735,10
180.881,775
180.884,10
183.123,1010
183.822,960
184.634,895
185.661,865
186.441,915
187.266,875
187.949,805
188.827,790
188.965,865
189.829,10
190.045,860
190.484,270
191.312,490
192.147,795
192.969,835
193.708,860
194.627,780
195.504,860
196.430,950
196.435,870
196.610,10
196.625,200
196.632,15
196.637,10
196.642,10
196.746,15
197.262,25
198.014,480
198.819,850
199.133,850
199.502,245
200.330,495
201.207,750
202.182,860
202.185,955
203.012,10
203.157,870
203.254,195
203.257,25
203.920,40
204.668,520
205.547,835
206.325,855
207.157,880
208.133,825
209.006,950
209.932,950
209.937,940
210.908,10
211.882,935
212.857,1005
213.588,950
213.646,765
214.563,10
215.490,895
216.366,975
217.199,920
217.258,765
218.024,10
218.999,815
219.828,965
220.662,950
220.705,835
221.032,10
221.490,195
222.460,630
223.288,920
223.635,895
223.681,210
223.684,15
223.688,15
224.365,60
224.368,450
224.849,10
225.718,750
226.652,825
227.480,975
227.484,835
228.168,10
228.461,755
228.996,245
229.967,610
230.944,960
231.289,970
231.383,435
232.062,680
232.068,10
232.113,10
232.360,15
232.501,400
234.012,725
234.016,740
235.036,10
235.962,960
236.937,1015
237.138,935
237.766,240
238.594,645
239.716,905
239.719,850
240.398,225
241.376,615
241.668,1085
241.960,15
242.786,475
243.762,920
244.736,935
245.565,945
246.393,895
246.637,855
247.369,205
248.247,675
249.026,900
249.855,905
250.829,845
251.658,885
252.370,845
253.218,710
254.047,805
254.875,845
255.704,880
255.899,795
256.142,210
256.533,280
257.215,330
257.530,775
257.947,290
258.775,410
259.311,830
260.724,620
261.553,1410
263.119,725
264.039,1615
265.015,945
265.843,940
266.284,905
266.289,240
266.672,35
267.549,575
268.524,880
268.806,920
268.821,225
268.865,70
268.871,15
268.876,10
268.945,20
269.060,105
269.064,10
269.080,10
269.114,10
269.117,15
269.209,10
270.035,260
270.038,760
