df_hash,22ZHK4.2N6TLG
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.06LR
person_label,V87
date_time_start,2025-11-04_14-58-38.258000_+03
date_time_start_unix,1762253918.258
date_time_end,2025-11-04_15-07-26.934000_+03
length_difference_noticed,no

time,ppg_quality
68.633,71
69.643,71
70.653,72
72.673,79
74.693,87
76.713,93
78.733,94
81.763,96
83.783,104
84.793,104
85.803,102
87.823,102
89.843,109
92.873,100
93.883,102
94.893,102
95.903,101
96.913,101
98.933,104
100.953,102
101.963,105
103.983,108
106.003,106
108.023,106
109.033,107
110.043,110
111.053,110
112.063,106
113.073,104
115.093,109
117.113,114
118.123,113
119.133,112
121.153,109
123.173,112
124.183,113
125.193,111
126.203,110
128.223,106
129.233,107
130.243,110
132.263,110
134.283,105
136.303,107
137.313,106
139.333,103
140.343,103
141.353,105
143.373,110
145.393,105
147.413,105
148.423,107
150.443,105
152.463,100
154.483,100
155.493,100
157.513,101
158.523,100
159.533,92
161.553,74
163.573,69
165.593,67
166.603,69
167.613,66
169.633,70
170.643,82
172.663,88
174.683,90
176.703,93
178.723,95
180.743,95
181.753,92
183.773,87
185.793,80
186.803,79
187.813,80
189.833,84
190.843,82
191.853,85
192.863,89
194.883,98
196.903,96
198.923,96
200.943,96
202.963,100
203.973,100
204.983,100
205.993,99
208.013,101
210.033,103
212.053,102
214.073,100
215.083,103
217.103,107
218.113,106
219.123,104
221.143,103
223.163,102
225.183,105
226.193,105
228.213,103
230.233,107
232.253,109
233.263,101
235.283,66
236.293,67
237.303,68
239.323,64
241.343,62
243.363,65
245.383,79
246.393,75
247.403,74
250.433,78
252.453,66
254.473,74
256.493,82
258.513,71
259.523,64
261.543,60
263.563,64
265.583,74
267.603,74
268.613,77
269.623,80
270.633,80
272.653,76
274.673,65
276.693,51
278.713,45
280.733,39
281.743,39
282.753,40
283.763,36
285.783,26
286.793,34
287.803,37
289.823,44
291.843,62
292.853,73
294.873,90
296.893,99
297.903,98
298.913,103
300.933,87
302.953,61
305.983,55
308.003,40
309.013,33
311.033,46
312.043,51
314.063,53
316.083,46
317.093,52
319.113,65
321.133,63
323.153,73
325.173,84
326.183,83
327.193,82
328.203,85
329.213,85
330.223,83
332.243,71
334.263,59
336.283,54
337.293,52
338.303,48
339.313,47
340.323,50
341.333,55
343.353,61
345.373,77
347.393,86
349.413,91
350.423,90
352.443,94
354.463,94
356.483,89
357.493,89
358.503,88
359.513,91
360.523,91
361.533,90
362.543,85
363.553,86
365.573,83
367.593,78
369.613,70
370.623,70
371.633,69
372.643,70
374.663,75
375.673,77
376.683,75
378.703,80
380.723,86
381.733,88
382.743,93
383.753,98
385.773,99
387.793,102
388.803,98
389.813,96
391.833,89
393.853,51
394.863,42
395.873,28
396.883,20
398.903,12
400.923,18
401.933,17
403.953,51
404.963,62
405.973,67
407.993,47
409.003,36
410.013,19
411.023,15
412.033,9
414.053,1
418.093,35
419.103,60
421.123,70
423.143,71
424.153,67
425.163,68
427.183,52
429.203,22
430.213,13
432.233,10
434.253,12
436.273,30
438.293,45
439.303,54
440.313,67
441.323,77
443.343,89
444.353,93
446.373,98
447.383,99
448.393,103
450.413,106
451.423,105
452.433,107
454.453,104
456.473,87
458.493,48
460.513,25
461.523,25
462.533,22
463.543,21
464.553,21
465.563,29
466.573,41
467.583,54
469.603,92
471.623,101
473.643,100
474.653,99
476.673,87
478.693,91
479.703,90
480.713,80
482.733,75
484.753,80
485.763,87
487.783,89
489.803,79
491.823,90
493.843,81
495.863,70
496.873,65
498.893,59
499.903,64
500.913,69
502.933,63
504.953,50
506.973,51
507.983,54
510.003,52
511.013,53
512.023,47
514.043,43
516.063,42
518.083,19
