df_hash,22ZHK4.JN5XDQ
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Z542
person_label,V150
date_time_start,2026-06-08_18-01-19.110000_+03
date_time_start_unix,1780923679.11
date_time_end,2026-06-08_18-21-11.009000_+03
length_difference_noticed,no

time,respiration_rate
133.482,25
172.662,24
176.992,24
181.232,24
185.542,24
189.842,24
194.132,24
198.382,24
203.352,24
207.562,24
211.842,24
216.052,24
220.152,25
224.292,24
228.592,24
236.482,22
241.462,22
245.672,22
351.702,23
368.982,24
430.832,24
435.082,27
439.232,27
443.352,27
447.502,27
451.512,27
455.932,27
460.252,27
464.562,27
469.082,30
473.182,30
477.472,30
481.572,30
485.732,30
490.212,28
494.892,27
