df_hash,22ZHK4.JN5XDQ
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Z542
person_label,V150
date_time_start,2026-06-08_18-01-19.110000_+03
date_time_start_unix,1780923679.11
date_time_end,2026-06-08_18-21-11.009000_+03
length_difference_noticed,no

time,heart_rate
14.886,88
15.896,89
16.934,89
17.909,89
18.741,89
20.251,88
20.834,89
21.740,88
22.983,89
23.811,90
24.685,90
25.904,89
26.781,89
27.708,88
28.879,88
29.783,87
30.681,87
31.860,87
32.973,87
33.655,87
34.825,87
35.752,86
36.629,85
37.849,84
38.677,84
39.652,84
40.822,84
41.848,84
42.583,84
43.747,84
44.691,84
45.573,84
46.724,84
47.647,84
48.532,84
49.743,84
50.621,77
51.498,81
52.753,79
53.595,80
54.472,80
55.745,81
56.569,82
57.470,83
58.665,84
59.542,85
60.469,85
61.643,85
62.516,84
63.507,83
64.616,83
65.740,82
66.416,82
67.586,82
68.464,82
69.402,82
70.560,82
71.559,83
72.376,83
73.732,84
74.460,84
75.338,84
76.508,84
77.434,84
78.312,85
79.482,85
80.408,86
81.285,87
82.508,88
83.382,88
84.330,87
85.479,87
86.456,87
87.282,87
88.452,88
89.329,90
90.263,91
91.426,91
92.599,91
93.181,90
94.439,90
95.301,89
96.155,89
97.373,90
98.300,90
99.177,90
100.348,90
101.274,90
102.154,90
103.321,90
104.199,90
105.125,90
106.306,90
107.179,90
108.099,83
109.292,81
110.146,83
111.219,82
112.251,84
113.169,85
114.098,85
115.217,85
116.143,85
117.020,84
118.239,84
119.117,84
120.005,85
121.224,85
122.386,86
122.968,86
124.190,86
125.064,85
126.245,85
127.161,85
128.306,85
128.920,85
130.134,86
131.061,86
131.942,87
133.111,87
133.998,87
134.912,87
136.228,87
136.960,87
137.886,87
139.056,87
139.993,87
140.860,87
142.030,87
142.911,87
143.836,87
145.004,87
145.946,87
146.808,88
147.977,89
148.904,89
149.784,90
150.958,90
151.878,90
152.759,90
153.945,90
154.874,91
155.735,92
156.949,92
157.825,93
158.752,93
159.922,92
160.799,92
161.677,91
162.895,91
163.777,90
164.651,90
165.869,89
166.751,88
167.677,87
168.843,86
169.870,86
170.696,86
171.968,86
172.698,85
173.621,85
174.791,84
175.780,84
176.595,84
177.765,84
178.663,84
179.569,85
180.739,85
181.665,85
182.564,85
183.716,84
184.639,84
185.521,84
186.692,84
187.613,84
188.491,84
189.709,84
190.586,84
191.464,84
192.827,84
193.609,84
194.682,84
195.661,84
196.699,85
197.471,85
198.880,85
199.508,85
200.385,84
201.653,84
202.482,84
203.384,84
204.578,85
205.461,85
206.404,85
207.601,85
208.429,85
209.356,85
210.526,85
211.426,85
212.330,84
213.503,84
214.450,83
215.303,84
216.473,85
217.646,86
218.278,87
219.643,87
220.374,87
221.304,87
222.473,87
223.347,87
224.280,87
225.446,87
226.321,87
227.199,87
228.466,86
229.295,86
230.226,86
231.414,86
232.294,86
233.195,86
234.382,86
235.248,86
236.169,86
237.340,86
238.371,86
239.148,86
240.336,86
241.239,86
242.117,86
243.310,86
244.213,86
245.095,85
246.273,86
247.187,86
248.064,86
249.283,86
250.162,86
251.382,86
252.257,86
253.433,87
254.014,88
255.231,89
256.108,90
257.035,91
258.205,91
259.383,90
260.009,90
261.179,90
262.081,90
262.989,90
264.152,90
265.030,90
266.010,89
267.126,88
268.053,88
268.931,87
270.100,87
271.026,87
272.002,87
273.074,87
274.025,87
274.878,87
276.101,87
276.974,87
277.859,87
279.070,87
280.192,87
281.102,87
282.047,87
282.977,87
283.864,87
285.019,87
285.896,84
286.773,85
287.992,84
288.876,84
289.749,84
290.969,84
291.999,84
292.773,84
293.945,84
294.821,84
295.743,84
296.985,87
297.791,89
298.961,91
299.891,89
300.831,90
301.696,89
302.914,89
303.798,89
304.738,89
305.838,89
306.761,89
307.639,87
309.007,87
309.787,87
310.613,87
311.835,87
312.713,87
313.688,86
314.756,85
315.750,86
316.582,86
317.754,86
318.711,86
319.588,85
320.757,84
321.679,84
322.508,84
323.825,85
324.604,87
325.482,89
326.701,90
327.581,90
328.574,89
329.674,89
330.552,88
331.453,88
332.648,88
333.526,87
334.452,86
335.622,85
336.696,84
337.426,83
338.654,83
339.496,83
340.400,83
341.570,83
342.519,83
343.374,83
344.568,83
345.765,83
346.348,83
347.518,83
348.447,83
349.377,83
350.540,83
351.418,83
352.295,83
353.514,84
354.391,85
355.293,85
356.488,86
357.371,86
358.244,86
359.462,85
360.339,85
361.270,85
362.436,85
363.706,85
364.243,85
365.409,86
366.395,87
367.213,88
368.383,88
369.309,89
370.210,89
371.357,89
372.340,89
373.161,89
374.362,90
375.404,90
376.135,90
377.354,90
378.232,90
379.158,90
380.327,90
381.208,90
382.134,90
383.301,91
384.474,91
385.110,92
386.280,92
387.153,92
388.084,92
389.249,92
390.126,92
391.053,92
392.244,92
393.344,92
394.027,92
395.197,91
396.172,91
397.098,90
398.170,90
399.155,90
399.974,90
401.300,91
402.119,92
402.956,91
404.167,95
405.093,96
405.922,94
407.384,94
408.018,93
408.945,91
410.115,90
410.993,90
411.870,90
413.091,90
413.977,90
414.848,89
416.063,89
416.940,88
417.870,88
419.036,88
420.209,88
420.791,88
422.010,88
422.995,87
423.861,86
424.984,85
425.961,85
426.788,85
428.128,86
428.888,86
